trial_number,status,folds_completed,max_depth,learning_rate,subsample,min_samples_leaf,score
0,COMPLETE,5,2,0.22648248189516848,0.8659969709057025,12,0.9937
1,COMPLETE,5,1,0.0024345423962016913,0.5290418060840998,18,0.9837
2,COMPLETE,5,3,0.05675206026988748,0.5102922471479012,20,0.9942
3,COMPLETE,5,4,0.0033572967053517922,0.5909124836035503,4,0.9928
4,COMPLETE,5,2,0.0199473547030745,0.7159725093210578,6,0.9945
5,PRUNED,5,3,0.0022158645374549917,0.6460723242676091,8,0.993
6,COMPLETE,5,2,0.08810003129071789,0.5998368910791798,11,0.9949
7,PRUNED,2,3,0.0013033567475147442,0.8037724259507192,4,0.9934
8,COMPLETE,5,1,0.22413234378101138,0.9828160165372797,17,0.995
9,PRUNED,2,2,0.0017456037635797405,0.8421165132560784,9,0.9918
10,PRUNED,2,1,0.014876102716550306,0.9847685553939328,15,0.9826
11,COMPLETE,5,1,0.2015058796374336,0.9888601582273215,13,0.9947
12,PRUNED,2,1,0.07269513376404896,0.6824467713303426,16,0.9914
13,COMPLETE,5,2,0.088539707252718,0.903620901162529,11,0.995
14,PRUNED,2,1,0.2961318886795635,0.9112320253004814,1,0.992
15,PRUNED,2,2,0.03305535739870952,0.9115888635752988,14,0.9926
16,PRUNED,5,4,0.1318554906952933,0.7757261863295519,17,0.9938
17,PRUNED,2,1,0.010636155837890345,0.9318657440733,19,0.9725
18,PRUNED,2,2,0.006590007698560796,0.9973288104434902,9,0.9914
19,COMPLETE,5,3,0.12908857223216766,0.8578000233945275,15,0.9944
20,PRUNED,2,1,0.04103652238586884,0.9487578283450772,11,0.9881
21,PRUNED,2,2,0.10523759781017761,0.5966095627725959,11,0.9931
22,PRUNED,2,2,0.08604535409661983,0.7368471789040678,8,0.9932
23,PRUNED,2,2,0.03055193671620416,0.808292812393247,13,0.9911
24,COMPLETE,5,3,0.14162245944547536,0.8818736974574264,6,0.994
