threshold,true_negative_malignant_caught,missed_malignancy,unnecessary_biopsy,true_positive_benign_cleared,confusion_matrix_raw,confusion_matrix_labels,expected_cost
0.01,26,6,0,53,"[[26, 6], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",60.0
0.02,27,5,0,53,"[[27, 5], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",50.0
0.03,27,5,0,53,"[[27, 5], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",50.0
0.04,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.05,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.06,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.07,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.08,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.09,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.1,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.11,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.12,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.13,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.14,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.15,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.16,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.17,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.18,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.19,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.2,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.21,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.22,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.23,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.24,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.25,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.26,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.27,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.28,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.29,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.3,30,2,0,53,"[[30, 2], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",20.0
0.31,31,1,0,53,"[[31, 1], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",10.0
0.32,32,0,0,53,"[[32, 0], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",0.0
0.33,32,0,0,53,"[[32, 0], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",0.0
0.34,32,0,0,53,"[[32, 0], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",0.0
0.35,32,0,0,53,"[[32, 0], [0, 53]]","['true=0 (malignant)', 'true=1 (benign)']",0.0
0.36,32,0,1,52,"[[32, 0], [1, 52]]","['true=0 (malignant)', 'true=1 (benign)']",1.0
0.37,32,0,1,52,"[[32, 0], [1, 52]]","['true=0 (malignant)', 'true=1 (benign)']",1.0
0.38,32,0,1,52,"[[32, 0], [1, 52]]","['true=0 (malignant)', 'true=1 (benign)']",1.0
0.39,32,0,1,52,"[[32, 0], [1, 52]]","['true=0 (malignant)', 'true=1 (benign)']",1.0
0.4,32,0,1,52,"[[32, 0], [1, 52]]","['true=0 (malignant)', 'true=1 (benign)']",1.0
0.41,32,0,1,52,"[[32, 0], [1, 52]]","['true=0 (malignant)', 'true=1 (benign)']",1.0
0.42,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.43,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.44,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.45,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.46,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.47,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.48,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.49,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.5,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.51,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.52,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.53,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.54,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.55,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.56,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.57,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.58,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.59,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.6,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.61,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.62,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.63,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.64,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
0.65,32,0,2,51,"[[32, 0], [2, 51]]","['true=0 (malignant)', 'true=1 (benign)']",2.0
