feature,importance_mean,importance_std
coeff_variation_area,0.002028116303079852,0.00199905054675881
area error,0.0017393040647425639,0.0019603962576529113
concave points error,0.0012022184319755603,0.000763613535273789
mean concave points,0.0009302617678583868,0.0008230509816941386
mean texture,0.000696367186979624,0.0006328310809274981
mean area,0.0006748129130943747,0.0006662142477747192
radius error,0.0006378055821194606,0.0007339491351895302
worst concave points,0.0005609524419075973,0.0004886640782506734
mean radius,0.0005446686009164092,0.0004780808705077168
mean perimeter,0.0005090560653038756,0.000477289065821702
coeff_variation_radius,0.0004935522397252867,0.0004385111382443037
coeff_variation_smoothness,0.0004749943963187675,0.00025672501665677456
worst area,0.00041021524197524807,0.000626838470635757
mean compactness,0.00041014764306945286,0.0005796392950545933
worst radius,0.0003485256947343307,0.00045476744335522663
worst texture,0.00033665342127639497,0.0004312748872988992
ratio_worst_to_mean_area,0.00032691144608197885,0.000383642422536329
aggregate_worst_size_zscore,0.0002957851649556975,0.0003704288296407594
fractal dimension error,0.00026238413564866336,0.0001881204683967476
smoothness error,0.00024557309178173116,0.000251330509309393
mean concavity,0.00024373792485221646,0.0004263581712113002
worst perimeter,0.00022717453030732804,0.0003549984824587515
coeff_variation_compactness,0.00017470300489169643,0.00017470300489169646
coeff_variation_concave_points,0.00015692704905949096,0.0002330491763738873
worst compactness,0.00012295136004642493,0.00023011999039389194
worst concavity,0.000122658382715346,0.000278851752987516
coeff_variation_fractal_dimension,0.0001222921034241875,0.00016665604497152566
compactness error,0.0001222921034241875,0.00016665604497152566
coeff_variation_concavity,0.00010515143124613658,0.0001955501723958798
ratio_worst_to_mean_perimeter,0.00010515143124613658,0.0001955501723958798
mean smoothness,8.768113075696693e-05,0.0001884263377097569
ratio_worst_to_mean_radius,6.988120195667857e-05,0.00013976240391335714
coeff_variation_perimeter,3.5270229289458e-05,0.0001537393651882558
aggregate_worst_shape_irregularity,3.4940600978339285e-05,0.00010482180293501786
worst symmetry,3.4940600978339285e-05,0.00010482180293501786
texture error,1.7470300489169643e-05,7.615127434557967e-05
concavity error,1.7470300489169643e-05,7.615127434557967e-05
ratio_worst_to_mean_concavity,1.7470300489169643e-05,7.615127434557967e-05
ratio_worst_to_mean_texture,1.7470300489169643e-05,7.615127434557967e-05
worst smoothness,1.7470300489169643e-05,7.615127434557967e-05
symmetry error,0.0,0.0
perimeter error,0.0,0.0
mean fractal dimension,0.0,0.0
mean symmetry,0.0,0.0
coeff_variation_texture,0.0,0.0
worst fractal dimension,0.0,0.0
ratio_worst_to_mean_compactness,0.0,0.0
ratio_worst_to_mean_smoothness,0.0,0.0
coeff_variation_symmetry,0.0,0.0
ratio_worst_to_mean_symmetry,0.0,0.0
ratio_worst_to_mean_concave_points,0.0,0.0
ratio_worst_to_mean_fractal_dimension,0.0,0.0
