param_model__C,param_model__penalty,param_model__solver,mean_test_score,std_test_score,rank_test_score,mean_train_score
0.01,l2,liblinear,0.9961795328511641,0.004094295743565864,1,0.9958273394648425
0.1,l2,liblinear,0.9953218426540831,0.006296476883895868,2,0.9975479670871661
0.1,l1,liblinear,0.9947897107915427,0.0077914478949126596,3,0.9962281780860863
0.001,l2,liblinear,0.9930724731144963,0.0036184741465580296,4,0.9923956024176157
1.0,l2,liblinear,0.9929275782703927,0.008944963593716746,5,0.9991285143694973
1.0,l1,liblinear,0.9912536978985729,0.014936221930674646,6,0.9988755003631568
10.0,l2,liblinear,0.9890880652151312,0.012350722736919362,7,0.999866060564222
0.01,l1,liblinear,0.9876575945057855,0.004560658039557954,8,0.9872049958556323
100.0,l2,liblinear,0.9864475046924952,0.014948009482744625,9,1.0
10.0,l1,liblinear,0.9847070327461409,0.018428330044078022,10,0.9999801487611448
100.0,l1,liblinear,0.9784403575912306,0.025205943323077226,11,1.0
0.001,l1,liblinear,0.6281645569620252,0.003875774909467075,12,0.628142189625599
