log_id,student_id,job_id,model_version,rank_position,timestamp,clicked,applied,shortlisted,college_tier,region
L000000,S0244,J025,v1.0,4,2026-06-12T19:00:00,1,1,0,2,urban
L000001,S0281,J010,v1.2,5,2026-05-09T04:00:00,0,0,0,1,semi_urban
L000002,S0137,J004,v1.2,4,2026-06-23T23:00:00,0,0,0,2,semi_urban
L000003,S0253,J026,v1.2,3,2026-05-16T11:00:00,0,0,0,1,rural
L000004,S0264,J042,v1.0,2,2026-05-04T15:00:00,0,0,0,3,semi_urban
L000005,S0191,J037,v1.0,5,2026-04-25T02:00:00,0,0,0,1,semi_urban
L000006,S0127,J049,v1.1,1,2026-04-30T12:00:00,1,0,0,1,rural
L000007,S0266,J035,v1.1,3,2026-04-16T18:00:00,0,0,0,2,semi_urban
L000008,S0284,J028,v1.0,1,2026-06-03T13:00:00,1,0,0,2,rural
L000009,S0175,J038,v1.2,4,2026-05-14T13:00:00,0,0,0,1,urban
L000010,S0085,J000,v1.1,2,2026-05-01T08:00:00,0,0,0,1,rural
L000011,S0225,J047,v1.2,2,2026-04-22T04:00:00,0,0,0,3,urban
L000012,S0295,J000,v1.1,1,2026-06-17T08:00:00,0,0,0,3,urban
L000013,S0137,J025,v1.2,5,2026-05-15T00:00:00,1,1,0,2,semi_urban
L000014,S0102,J003,v1.2,4,2026-05-16T18:00:00,1,1,0,2,semi_urban
L000015,S0144,J018,v1.1,3,2026-05-13T11:00:00,0,0,0,2,urban
L000016,S0056,J038,v1.0,1,2026-06-04T05:00:00,0,0,0,2,semi_urban
L000017,S0258,J035,v1.2,5,2026-06-29T02:00:00,0,0,0,1,semi_urban
L000018,S0205,J040,v1.2,4,2026-05-27T22:00:00,0,0,0,1,semi_urban
L000019,S0189,J038,v1.0,1,2026-04-16T17:00:00,1,0,0,2,semi_urban
L000020,S0235,J020,v1.2,2,2026-04-01T16:00:00,0,0,0,3,urban
L000021,S0247,J041,v1.2,1,2026-04-24T18:00:00,1,0,0,2,urban
L000022,S0257,J044,v1.1,5,2026-05-01T23:00:00,0,0,0,1,urban
L000023,S0084,J013,v1.2,4,2026-04-23T14:00:00,0,0,0,1,urban
L000024,S0167,J010,v1.0,5,2026-05-22T13:00:00,0,0,0,3,rural
L000025,S0043,J029,v1.1,5,2026-04-19T17:00:00,0,0,0,2,semi_urban
L000026,S0022,J040,v1.1,3,2026-04-22T04:00:00,0,0,0,3,urban
L000027,S0070,J001,v1.2,4,2026-06-17T17:00:00,0,0,0,1,semi_urban
L000028,S0207,J043,v1.2,5,2026-04-07T05:00:00,0,0,0,2,rural
L000029,S0214,J031,v1.1,1,2026-05-13T04:00:00,1,0,0,3,urban
L000030,S0019,J027,v1.2,1,2026-05-19T19:00:00,0,0,0,2,rural
L000031,S0142,J004,v1.2,3,2026-04-13T12:00:00,0,0,0,3,semi_urban
L000032,S0054,J005,v1.0,3,2026-04-08T03:00:00,0,0,0,3,urban
L000033,S0283,J044,v1.2,5,2026-04-19T14:00:00,0,0,0,1,urban
L000034,S0246,J011,v1.2,4,2026-05-19T07:00:00,0,0,0,2,urban
L000035,S0187,J018,v1.2,4,2026-06-10T02:00:00,0,0,0,1,urban
L000036,S0214,J048,v1.2,5,2026-04-05T19:00:00,0,0,0,3,urban
L000037,S0168,J042,v1.1,3,2026-05-16T12:00:00,0,0,0,2,urban
L000038,S0176,J026,v1.1,4,2026-06-09T17:00:00,0,0,0,2,urban
L000039,S0006,J005,v1.2,4,2026-06-11T00:00:00,1,0,0,3,urban
L000040,S0168,J013,v1.2,3,2026-05-30T11:00:00,0,0,0,2,urban
L000041,S0047,J022,v1.1,4,2026-06-18T12:00:00,1,0,0,2,urban
L000042,S0170,J013,v1.1,2,2026-04-23T18:00:00,0,0,0,2,urban
L000043,S0133,J037,v1.0,2,2026-06-14T10:00:00,0,0,0,2,rural
L000044,S0257,J042,v1.1,4,2026-05-13T01:00:00,0,0,0,1,urban
L000045,S0178,J012,v1.2,1,2026-05-06T20:00:00,1,0,0,3,semi_urban
L000046,S0122,J017,v1.2,4,2026-04-27T05:00:00,0,0,0,1,urban
L000047,S0113,J012,v1.0,5,2026-04-21T08:00:00,1,1,1,2,rural
L000048,S0291,J024,v1.2,1,2026-06-23T12:00:00,0,0,0,1,urban
L000049,S0076,J006,v1.2,5,2026-04-19T20:00:00,0,0,0,2,rural
