job_id,required_skill,seniority,sector
J000,3.2,junior,tech
J001,3.7,mid,ops
J002,3.2,mid,tech
J003,1.9,mid,ops
J004,2.9,senior,tech
J005,3.5,senior,finance
J006,1.7,mid,data
J007,2.2,mid,tech
J008,3.6,mid,data
J009,3.2,junior,ops
J010,3.3,junior,data
J011,4.3,junior,tech
J012,3.3,junior,ops
J013,3.5,junior,data
J014,4.9,mid,data
J015,2.9,mid,tech
J016,2.4,senior,data
J017,3.3,mid,tech
J018,3.3,junior,ops
J019,2.6,junior,finance
J020,2.3,junior,ops
J021,4.6,senior,ops
J022,3.2,junior,tech
J023,2.5,mid,ops
J024,3.6,senior,data
J025,2.9,senior,finance
J026,2.8,junior,finance
J027,3.4,junior,data
J028,2.1,junior,tech
J029,3.2,junior,finance
J030,4.3,junior,ops
J031,3.3,mid,finance
J032,2.7,senior,data
J033,2.6,mid,finance
J034,2.7,mid,data
J035,2.8,junior,tech
J036,2.7,senior,ops
J037,3.6,mid,ops
J038,1.8,senior,tech
J039,3.6,senior,tech
J040,2.7,junior,ops
J041,3.3,junior,ops
J042,2.2,junior,ops
J043,3.9,mid,tech
J044,3.9,senior,ops
J045,3.7,junior,data
J046,1.9,mid,tech
J047,3.6,mid,finance
J048,3.3,junior,finance
J049,1.9,junior,data
