log_id,timestamp,student_id,job_id,model_version,rank_position,offline_score,served_score,skew,feat_skill_score,feat_skill_gap,feat_verified_skills,feat_years_exp,college_tier,region,defect_probability,is_predicted_defect,estimated_user_impact,clicked,applied,defect_category,defect_rank
L001344,2026-04-13T06:00:00,S0007,J040,v1.1,1,0.6872,0.8034,0.1163,3.628,0.87,8,1.7,3,semi_urban,0.9748,1,1.2016,1,1,skew_induced,1
L004914,2026-05-31T21:00:00,S0148,J035,v1.1,1,0.7068,0.8177,0.1109,4.225,1.37,4,1.4,2,urban,0.9706,1,1.1859,1,0,skew_induced,2
L004066,2026-04-29T18:00:00,S0193,J002,v1.1,1,0.7329,0.8472,0.1144,4.437,1.18,4,0.0,3,urban,0.9545,1,1.1728,0,0,false_positive,3
L006631,2026-06-04T20:00:00,S0082,J006,v1.2,1,0.7192,0.825,0.1058,2.793,1.04,5,0.4,3,semi_urban,0.9612,1,1.1645,1,1,skew_induced,4
L007292,2026-05-20T09:00:00,S0144,J034,v1.1,1,0.7534,0.8702,0.1169,3.958,1.2,2,1.2,2,urban,0.9421,1,1.1624,0,0,false_positive,5
L005301,2026-06-09T03:00:00,S0097,J035,v1.2,1,0.6926,0.8028,0.1101,3.725,0.87,5,1.5,1,urban,0.9519,1,1.1615,1,0,skew_induced,6
L007451,2026-06-01T09:00:00,S0149,J049,v1.2,1,0.686,0.7932,0.1073,3.284,1.33,5,0.7,1,semi_urban,0.9501,1,1.154,1,0,skew_induced,7
L007375,2026-06-01T11:00:00,S0241,J049,v1.1,1,0.7431,0.8564,0.1133,3.277,1.32,4,1.4,3,semi_urban,0.9394,1,1.1523,1,1,skew_induced,8
L004862,2026-06-16T20:00:00,S0264,J023,v1.1,1,0.6079,0.7247,0.1168,3.088,0.53,4,3.1,3,semi_urban,0.9252,1,1.1413,0,0,false_positive,9
L003395,2026-05-01T23:00:00,S0171,J038,v1.1,1,0.6558,0.7712,0.1154,2.758,0.9,8,3.1,2,urban,0.9266,1,1.1404,0,0,false_positive,10
L001648,2026-05-28T16:00:00,S0160,J015,v1.1,1,0.7018,0.8257,0.1239,3.712,0.75,2,1.5,1,semi_urban,0.9133,1,1.1396,1,0,skew_induced,11
L002623,2026-05-29T11:00:00,S0104,J040,v1.1,1,0.713,0.8068,0.0938,3.547,0.8,7,1.3,3,rural,0.9595,1,1.1395,1,0,skew_induced,12
L001235,2026-06-03T07:00:00,S0090,J046,v1.1,1,0.6821,0.7867,0.1046,3.442,1.49,2,1.6,1,semi_urban,0.9381,1,1.1344,1,1,skew_induced,13
L004729,2026-04-30T10:00:00,S0193,J036,v1.1,1,0.7194,0.8167,0.0973,4.429,1.68,4,0.0,3,urban,0.947,1,1.1312,1,0,skew_induced,14
L000362,2026-05-16T06:00:00,S0100,J032,v1.1,1,0.6844,0.7836,0.0992,3.39,0.64,5,1.4,3,urban,0.9439,1,1.1312,0,0,false_positive,15
L007432,2026-05-18T22:00:00,S0194,J015,v1.1,1,0.6994,0.7998,0.1004,4.14,1.19,3,0.5,1,semi_urban,0.9406,1,1.1295,1,0,skew_induced,16
L004863,2026-05-13T13:00:00,S0065,J031,v1.1,1,0.8215,0.9269,0.1054,4.693,1.34,7,1.3,2,urban,0.9323,1,1.1288,0,0,false_positive,17
L000037,2026-04-25T06:00:00,S0094,J038,v1.1,1,0.7217,0.8177,0.096,3.268,1.42,2,1.8,2,urban,0.9466,1,1.1283,0,0,false_positive,18
L003703,2026-05-26T02:00:00,S0241,J007,v1.1,1,0.7149,0.8071,0.0921,3.266,1.02,4,1.4,3,semi_urban,0.9511,1,1.1264,0,0,false_positive,19
L001676,2026-06-06T10:00:00,S0186,J009,v1.1,1,0.6063,0.7194,0.1131,3.567,0.31,7,2.2,2,urban,0.9167,1,1.124,1,0,skew_induced,20
