log_id,student_id,job_id,match_score_served,skill_score_served,skill_gap,verified_skills,years_exp,skew
L000000,S0244,J025,0.7197,4.15,1.25,3,2.0,0.0
L000001,S0281,J010,0.3051,1.517,-1.85,3,0.0,0.1336
L000002,S0137,J004,0.5385,2.877,-0.07,4,1.2,0.0938
L000003,S0253,J026,0.5492,3.333,0.52,6,2.8,0.027
L000004,S0264,J042,0.5364,3.03,0.83,4,3.1,0.0
L000005,S0191,J037,0.1889,1.98,-1.62,6,0.4,0.0
L000006,S0127,J049,0.9448,3.885,1.94,2,2.3,0.0899
L000007,S0266,J035,0.6252,2.973,0.13,2,1.6,0.0854
L000008,S0284,J028,0.4014,1.85,-0.25,3,0.0,0.0
L000009,S0175,J038,0.6504,2.212,0.39,6,0.7,0.0446
L000010,S0085,J000,0.4246,2.317,-0.92,3,2.2,0.0736
L000011,S0225,J047,0.5311,3.321,-0.32,7,0.3,0.082
L000012,S0295,J000,0.5706,3.623,0.38,8,2.5,0.0863
L000013,S0137,J025,0.4215,2.829,-0.07,4,1.2,-0.0025
L000014,S0102,J003,0.8445,2.928,0.97,4,2.9,0.116
L000015,S0144,J018,0.7329,3.955,0.6,2,1.2,0.1094
L000016,S0056,J038,0.4745,1.45,-0.35,4,1.7,0.0
L000017,S0258,J035,0.5355,2.324,-0.52,5,0.0,0.0871
L000018,S0205,J040,0.7801,4.468,1.74,6,2.0,0.0559
L000019,S0189,J038,0.6995,3.07,1.27,3,0.9,0.0
L000020,S0235,J020,0.7287,3.252,0.9,8,1.1,0.1031
L000021,S0247,J041,0.1826,1.533,-1.79,5,2.7,0.0456
L000022,S0257,J044,0.34,2.451,-1.5,4,0.0,0.1019
L000023,S0084,J013,0.4439,3.008,-0.51,7,2.5,0.0364
L000024,S0167,J010,0.3497,3.08,-0.22,7,2.3,0.0
L000025,S0043,J029,0.4423,2.688,-0.55,4,1.9,0.0764
L000026,S0022,J040,0.3155,1.613,-1.12,4,1.1,0.0663
L000027,S0070,J001,0.2381,1.667,-2.08,2,1.0,0.0936
L000028,S0207,J043,0.3648,3.049,-0.89,5,0.6,0.0784
L000029,S0214,J031,0.4291,2.048,-1.3,2,2.0,0.0952
L000030,S0019,J027,0.4392,2.616,-0.82,4,1.6,0.0724
L000031,S0142,J004,0.5428,2.193,-0.72,7,3.5,0.0267
L000032,S0054,J005,0.7723,5.0,1.5,6,1.0,0.0
L000033,S0283,J044,0.2063,2.274,-1.69,6,2.5,0.1277
L000034,S0246,J011,0.0844,1.352,-2.99,6,2.7,0.0844
L000035,S0187,J018,0.6235,3.31,-0.03,2,1.1,0.0802
L000036,S0214,J048,0.2447,2.05,-1.3,2,2.0,0.0995
L000037,S0168,J042,0.8274,3.77,1.54,7,1.3,0.0592
L000038,S0176,J026,0.8848,4.676,1.84,7,0.4,0.0729
L000039,S0006,J005,0.4132,2.216,-1.36,7,2.5,0.1516
L000040,S0168,J013,0.6619,3.77,0.24,7,1.3,0.0591
L000041,S0047,J022,0.56,3.396,0.18,4,0.6,0.0321
L000042,S0170,J013,0.5127,3.465,-0.09,3,3.0,0.1097
L000043,S0133,J037,0.3389,2.99,-0.61,6,2.7,0.0
L000044,S0257,J042,0.6319,2.432,0.2,4,0.0,0.0639
L000045,S0178,J012,0.5697,3.929,0.61,5,1.8,0.0385
L000046,S0122,J017,0.5037,2.873,-0.46,3,1.9,0.066
L000047,S0113,J012,0.4663,3.25,-0.05,5,1.5,0.0
L000048,S0291,J024,0.4689,2.563,-1.07,3,3.0,0.0664
L000049,S0076,J006,0.561,2.17,0.42,2,2.4,0.0992
L000050,S0210,J001,0.3802,2.872,-0.86,5,1.8,0.0641
L000051,S0086,J010,0.3643,2.73,-0.57,4,2.7,0.0
L000052,S0289,J028,0.4224,1.93,-0.17,2,1.8,0.0
L000053,S0060,J014,0.0736,2.147,-2.79,7,1.6,0.0736
L000054,S0225,J014,0.2143,3.317,-1.62,7,0.3,0.0743
L000055,S0207,J000,0.4911,3.01,-0.19,5,0.6,0.0
L000056,S0003,J030,0.0894,1.115,-3.23,7,1.5,0.0894
L000057,S0189,J005,0.4528,3.102,-0.43,3,0.9,0.063
L000058,S0215,J014,0.3943,3.435,-1.49,6,2.7,0.0491
L000059,S0264,J014,0.159,3.054,-1.87,4,3.1,0.0484
L000060,S0212,J029,0.3965,2.88,-0.32,5,1.5,0.0
