log_id,student_id,job_id,match_score_train,skill_gap,verified_skills,years_exp,model_score,skill_score_feature
L000000,S0239,J012,0.4139,-0.62,7,1.1,0.4139,2.38
L000001,S0020,J007,0.876,1.45,3,0.9,0.876,4.45
L000002,S0024,J043,0.3033,-1.36,7,0.7,0.3033,1.64
L000003,S0267,J009,0.484,-0.1,6,1.1,0.484,2.9
L000004,S0133,J032,0.4638,0.29,6,2.7,0.4638,3.29
L000005,S0141,J020,0.5661,0.42,3,0.8,0.5661,3.42
L000006,S0262,J045,0.3059,-0.97,7,0.4,0.3059,2.0300000000000002
L000007,S0028,J031,0.5291,0.13,4,1.6,0.5291,3.13
L000008,S0119,J032,0.2631,-1.56,5,1.1,0.2631,1.44
L000009,S0052,J043,0.0,-2.83,2,2.6,0.0,0.16999999999999993
L000010,S0215,J006,0.7526,1.71,6,2.7,0.7526,4.71
L000011,S0261,J024,0.6283,0.87,2,1.7,0.6283,3.87
L000012,S0094,J033,0.601,0.62,2,1.8,0.601,3.62
L000013,S0131,J037,0.3662,-0.78,4,1.6,0.3662,2.2199999999999998
L000014,S0200,J018,0.4037,0.02,7,0.8,0.4037,3.02
L000015,S0084,J035,0.5184,0.19,7,2.5,0.5184,3.19
L000016,S0044,J023,0.5837,0.53,7,2.7,0.5837,3.5300000000000002
L000017,S0058,J033,0.5221,0.17,3,1.8,0.5221,3.17
L000018,S0209,J029,0.4867,-0.16,8,1.6,0.4867,2.84
L000019,S0039,J023,0.7301,1.07,6,2.4,0.7301,4.07
L000020,S0013,J018,0.3454,-1.28,8,1.1,0.3454,1.72
L000021,S0212,J047,0.4386,-0.72,5,1.5,0.4386,2.2800000000000002
L000022,S0151,J040,0.4178,-0.61,3,0.2,0.4178,2.39
L000023,S0276,J048,0.4313,-0.28,3,1.5,0.4313,2.7199999999999998
L000024,S0073,J028,0.892,2.38,3,1.9,0.892,5.38
L000025,S0204,J015,0.5142,0.04,6,1.9,0.5142,3.04
L000026,S0133,J026,0.5025,0.19,6,2.7,0.5025,3.19
L000027,S0189,J019,0.5859,0.47,3,0.9,0.5859,3.4699999999999998
L000028,S0235,J021,0.1753,-1.4,8,1.1,0.1753,1.6
L000029,S0238,J009,0.5263,0.05,7,2.1,0.5263,3.05
L000030,S0111,J013,0.3082,-0.87,8,2.5,0.3082,2.13
L000031,S0169,J023,0.8,1.94,3,2.1,0.8,4.9399999999999995
L000032,S0022,J036,0.2897,-1.12,4,1.1,0.2897,1.88
L000033,S0135,J019,0.4345,-0.43,5,0.4,0.4345,2.57
L000034,S0010,J030,0.202,-1.97,6,1.1,0.202,1.03
L000035,S0007,J017,0.574,0.27,8,1.7,0.574,3.27
L000036,S0157,J008,0.4124,-0.38,2,2.2,0.4124,2.62
L000037,S0094,J038,0.7217,1.42,2,1.8,0.7217,4.42
L000038,S0066,J013,0.4514,-0.36,6,1.0,0.4514,2.64
L000039,S0024,J004,0.494,-0.36,7,0.7,0.494,2.64
L000040,S0270,J021,0.4139,-0.92,4,1.7,0.4139,2.08
L000041,S0104,J047,0.4893,-0.1,7,1.3,0.4893,2.9
L000042,S0079,J021,0.0,-2.3,8,1.9,0.0,0.7000000000000002
L000043,S0191,J040,0.3956,-0.72,6,0.4,0.3956,2.2800000000000002
L000044,S0016,J003,0.4631,-0.22,4,0.7,0.4631,2.78
L000045,S0267,J004,0.5013,0.2,6,1.1,0.5013,3.2
L000046,S0101,J026,0.5725,0.51,5,1.3,0.5725,3.51
L000047,S0125,J009,0.354,-1.02,2,2.3,0.354,1.98
L000048,S0158,J014,0.1763,-1.77,8,0.9,0.1763,1.23
L000049,S0208,J031,0.4821,-0.1,6,0.6,0.4821,2.9
L000050,S0092,J048,0.0725,-2.35,2,2.4,0.0725,0.6499999999999999
L000051,S0144,J005,0.4912,0.4,2,1.2,0.4912,3.4
L000052,S0124,J047,0.342,-0.8,8,2.3,0.342,2.2
L000053,S0296,J008,0.369,-0.55,7,0.9,0.369,2.45
L000054,S0055,J042,0.5793,0.48,8,2.6,0.5793,3.48
L000055,S0055,J024,0.2653,-0.92,8,2.6,0.2653,2.08
L000056,S0149,J002,0.4821,0.03,5,0.7,0.4821,3.03
L000057,S0216,J035,0.5671,0.51,8,2.5,0.5671,3.51
L000058,S0110,J022,0.6918,1.0,3,1.4,0.6918,4.0
L000059,S0288,J000,0.5746,0.46,7,1.0,0.5746,3.46
L000060,S0093,J020,0.7337,1.33,8,1.2,0.7337,4.33
L000061,S0278,J031,0.4781,-0.29,8,2.0,0.4781,2.71
L000062,S0071,J012,0.4363,-0.17,5,2.5,0.4363,2.83
L000063,S0157,J006,0.7266,1.52,2,2.2,0.7266,4.52
L000064,S0167,J001,0.3903,-0.62,7,2.3,0.3903,2.38
L000065,S0294,J026,0.3644,-0.61,8,0.3,0.3644,2.39
L000066,S0053,J025,0.7092,1.39,3,3.7,0.7092,4.39
L000067,S0147,J007,0.4452,0.06,7,0.0,0.4452,3.06
L000068,S0279,J015,0.5823,0.37,8,2.1,0.5823,3.37
L000069,S0142,J044,0.1576,-1.72,7,3.5,0.1576,1.28
L000070,S0227,J005,0.6809,0.53,8,2.7,0.6809,3.5300000000000002
L000071,S0165,J030,0.0795,-2.12,7,1.4,0.0795,0.8799999999999999
L000072,S0105,J005,0.5374,0.5,5,0.0,0.5374,3.5
L000073,S0025,J011,0.5901,-0.28,7,1.9,0.5901,2.7199999999999998
L000074,S0003,J022,0.2019,-2.13,7,1.5,0.2019,0.8700000000000001
L000075,S0169,J038,0.9191,2.64,3,2.1,0.9191,5.640000000000001
L000076,S0298,J001,0.0,-2.27,8,1.5,0.0,0.73
L000077,S0066,J001,0.4547,-0.56,6,1.0,0.4547,2.44
L000078,S0026,J008,0.2191,-1.1,7,0.5,0.2191,1.9
L000079,S0258,J031,0.2238,-1.02,5,0.0,0.2238,1.98
L000080,S0208,J046,0.7058,1.3,6,0.6,0.7058,4.3
L000081,S0213,J005,0.2815,-1.1,3,2.0,0.2815,1.9
L000082,S0153,J034,0.6188,0.66,8,1.6,0.6188,3.66
L000083,S0197,J021,0.2275,-1.59,4,2.5,0.2275,1.41
L000084,S0147,J015,0.418,-0.64,7,0.0,0.418,2.36
L000085,S0069,J031,0.5727,0.19,4,1.6,0.5727,3.19
L000086,S0066,J032,0.6129,0.44,6,1.0,0.6129,3.44
L000087,S0130,J036,0.6724,0.75,2,2.1,0.6724,3.75
L000088,S0158,J043,0.3903,-0.77,8,0.9,0.3903,2.23
L000089,S0227,J003,0.8384,2.13,8,2.7,0.8384,5.13
L000090,S0097,J017,0.4917,0.37,5,1.5,0.4917,3.37
L000091,S0172,J008,0.2083,-1.31,5,0.5,0.2083,1.69
L000092,S0035,J014,0.0,-3.04,3,1.9,0.0,-0.040000000000000036
L000093,S0065,J025,0.8048,1.74,7,1.3,0.8048,4.74
L000094,S0083,J028,0.3492,-0.45,5,0.9,0.3492,2.55
L000095,S0161,J025,0.2985,-1.2,7,0.4,0.2985,1.8
L000096,S0244,J014,0.3989,-0.75,3,2.0,0.3989,2.25
L000097,S0156,J022,0.4089,-0.35,5,0.4,0.4089,2.65
L000098,S0004,J000,0.2434,-1.13,4,1.5,0.2434,1.87
L000099,S0075,J044,0.4961,0.43,6,2.5,0.4961,3.43
