query_id,day,arm,candidate_id,rank,segment,impression,click,application,shortlist
0,13,control,on_0_24,0,segment_A,1,0,0,0
0,13,control,on_0_12,1,segment_A,1,0,0,0
0,13,control,on_0_4,2,segment_A,1,0,0,0
0,13,control,on_0_15,3,segment_A,1,0,0,0
0,13,control,on_0_30,4,segment_B,1,0,0,0
0,13,control,on_0_39,5,segment_B,1,0,0,0
0,13,control,on_0_6,6,segment_A,1,0,0,0
0,13,control,on_0_9,7,segment_A,1,0,0,0
0,13,control,on_0_0,8,segment_B,1,1,0,0
0,13,control,on_0_34,9,segment_A,1,0,0,0
1,8,control,on_1_13,0,segment_A,1,0,0,0
1,8,control,on_1_37,1,segment_A,1,0,0,0
1,8,control,on_1_20,2,segment_B,1,0,0,0
1,8,control,on_1_23,3,segment_A,1,0,0,0
1,8,control,on_1_25,4,segment_B,1,0,0,0
1,8,control,on_1_27,5,segment_B,1,0,0,0
1,8,control,on_1_7,6,segment_B,1,0,0,0
1,8,control,on_1_34,7,segment_A,1,0,0,0
1,8,control,on_1_5,8,segment_A,1,0,0,0
1,8,control,on_1_21,9,segment_A,1,0,0,0
2,3,control,on_2_3,0,segment_B,1,0,0,0
2,3,control,on_2_36,1,segment_A,1,0,0,0
2,3,control,on_2_26,2,segment_B,1,0,0,0
2,3,control,on_2_25,3,segment_A,1,0,0,0
2,3,control,on_2_2,4,segment_A,1,0,0,0
2,3,control,on_2_8,5,segment_A,1,0,0,0
2,3,control,on_2_18,6,segment_A,1,1,0,0
2,3,control,on_2_7,7,segment_A,1,0,0,0
2,3,control,on_2_1,8,segment_A,1,0,0,0
2,3,control,on_2_16,9,segment_A,1,0,0,0
3,11,treatment,on_3_37,0,segment_A,1,0,0,0
3,11,treatment,on_3_13,1,segment_B,1,1,1,0
3,11,treatment,on_3_17,2,segment_B,1,0,0,0
3,11,treatment,on_3_2,3,segment_B,1,0,0,0
3,11,treatment,on_3_26,4,segment_A,1,0,0,0
3,11,treatment,on_3_7,5,segment_B,1,0,0,0
3,11,treatment,on_3_20,6,segment_B,1,0,0,0
3,11,treatment,on_3_25,7,segment_A,1,0,0,0
3,11,treatment,on_3_9,8,segment_B,1,0,0,0
3,11,treatment,on_3_15,9,segment_B,1,0,0,0
4,7,treatment,on_4_11,0,segment_A,1,0,0,0
4,7,treatment,on_4_12,1,segment_A,1,0,0,0
4,7,treatment,on_4_30,2,segment_A,1,0,0,0
4,7,treatment,on_4_14,3,segment_B,1,0,0,0
4,7,treatment,on_4_7,4,segment_B,1,0,0,0
4,7,treatment,on_4_24,5,segment_A,1,0,0,0
4,7,treatment,on_4_13,6,segment_B,1,1,1,0
4,7,treatment,on_4_21,7,segment_B,1,0,0,0
4,7,treatment,on_4_37,8,segment_B,1,0,0,0
4,7,treatment,on_4_4,9,segment_A,1,0,0,0
5,12,treatment,on_5_1,0,segment_B,1,0,0,0
5,12,treatment,on_5_4,1,segment_B,1,0,0,0
5,12,treatment,on_5_13,2,segment_A,1,0,0,0
5,12,treatment,on_5_38,3,segment_A,1,0,0,0
5,12,treatment,on_5_19,4,segment_B,1,0,0,0
5,12,treatment,on_5_7,5,segment_B,1,0,0,0
5,12,treatment,on_5_11,6,segment_A,1,0,0,0
5,12,treatment,on_5_6,7,segment_B,1,0,0,0
5,12,treatment,on_5_28,8,segment_B,1,0,0,0
5,12,treatment,on_5_30,9,segment_A,1,0,0,0
6,2,control,on_6_8,0,segment_A,1,0,0,0
6,2,control,on_6_32,1,segment_B,1,0,0,0
6,2,control,on_6_25,2,segment_A,1,0,0,0
6,2,control,on_6_19,3,segment_A,1,1,0,0
6,2,control,on_6_27,4,segment_B,1,0,0,0
6,2,control,on_6_7,5,segment_A,1,0,0,0
6,2,control,on_6_17,6,segment_A,1,0,0,0
6,2,control,on_6_30,7,segment_A,1,1,1,0
6,2,control,on_6_35,8,segment_B,1,0,0,0
6,2,control,on_6_20,9,segment_B,1,0,0,0
7,3,control,on_7_15,0,segment_B,1,0,0,0
7,3,control,on_7_20,1,segment_B,1,1,1,0
7,3,control,on_7_31,2,segment_A,1,0,0,0
7,3,control,on_7_22,3,segment_B,1,0,0,0
7,3,control,on_7_9,4,segment_B,1,0,0,0
7,3,control,on_7_1,5,segment_B,1,0,0,0
7,3,control,on_7_33,6,segment_A,1,0,0,0
7,3,control,on_7_39,7,segment_B,1,0,0,0
7,3,control,on_7_14,8,segment_A,1,0,0,0
7,3,control,on_7_37,9,segment_B,1,0,0,0
8,2,treatment,on_8_9,0,segment_B,1,0,0,0
8,2,treatment,on_8_23,1,segment_B,1,0,0,0
8,2,treatment,on_8_24,2,segment_A,1,1,1,0
8,2,treatment,on_8_29,3,segment_B,1,0,0,0
8,2,treatment,on_8_16,4,segment_A,1,0,0,0
8,2,treatment,on_8_21,5,segment_B,1,0,0,0
8,2,treatment,on_8_26,6,segment_B,1,0,0,0
8,2,treatment,on_8_2,7,segment_A,1,1,0,0
8,2,treatment,on_8_13,8,segment_B,1,0,0,0
8,2,treatment,on_8_31,9,segment_B,1,0,0,0
9,6,control,on_9_29,0,segment_A,1,0,0,0
9,6,control,on_9_30,1,segment_A,1,0,0,0
9,6,control,on_9_16,2,segment_B,1,0,0,0
9,6,control,on_9_32,3,segment_A,1,0,0,0
9,6,control,on_9_35,4,segment_B,1,0,0,0
9,6,control,on_9_38,5,segment_B,1,0,0,0
9,6,control,on_9_7,6,segment_A,1,0,0,0
9,6,control,on_9_33,7,segment_A,1,0,0,0
9,6,control,on_9_28,8,segment_A,1,0,0,0
9,6,control,on_9_0,9,segment_A,1,0,0,0
10,2,control,on_10_18,0,segment_A,1,0,0,0
10,2,control,on_10_25,1,segment_A,1,1,1,0
10,2,control,on_10_31,2,segment_B,1,0,0,0
10,2,control,on_10_0,3,segment_B,1,0,0,0
10,2,control,on_10_24,4,segment_B,1,0,0,0
10,2,control,on_10_21,5,segment_A,1,0,0,0
10,2,control,on_10_3,6,segment_B,1,0,0,0
10,2,control,on_10_9,7,segment_A,1,0,0,0
10,2,control,on_10_16,8,segment_A,1,0,0,0
10,2,control,on_10_27,9,segment_B,1,0,0,0
11,6,control,on_11_14,0,segment_B,1,0,0,0
11,6,control,on_11_26,1,segment_B,1,1,0,0
11,6,control,on_11_18,2,segment_B,1,1,1,0
11,6,control,on_11_12,3,segment_A,1,0,0,0
11,6,control,on_11_31,4,segment_B,1,0,0,0
11,6,control,on_11_34,5,segment_B,1,0,0,0
11,6,control,on_11_5,6,segment_A,1,0,0,0
11,6,control,on_11_1,7,segment_A,1,1,0,0
11,6,control,on_11_28,8,segment_A,1,0,0,0
11,6,control,on_11_6,9,segment_A,1,0,0,0
12,5,control,on_12_21,0,segment_A,1,0,0,0
12,5,control,on_12_12,1,segment_B,1,0,0,0
12,5,control,on_12_10,2,segment_A,1,0,0,0
12,5,control,on_12_1,3,segment_B,1,0,0,0
12,5,control,on_12_6,4,segment_B,1,0,0,0
12,5,control,on_12_29,5,segment_B,1,0,0,0
12,5,control,on_12_24,6,segment_A,1,0,0,0
12,5,control,on_12_7,7,segment_A,1,0,0,0
12,5,control,on_12_5,8,segment_A,1,0,0,0
12,5,control,on_12_9,9,segment_A,1,0,0,0
13,9,treatment,on_13_27,0,segment_A,1,0,0,0
13,9,treatment,on_13_16,1,segment_A,1,0,0,0
13,9,treatment,on_13_15,2,segment_B,1,0,0,0
13,9,treatment,on_13_0,3,segment_A,1,0,0,0
13,9,treatment,on_13_32,4,segment_A,1,0,0,0
13,9,treatment,on_13_29,5,segment_A,1,0,0,0
13,9,treatment,on_13_17,6,segment_A,1,1,0,0
13,9,treatment,on_13_6,7,segment_B,1,0,0,0
13,9,treatment,on_13_38,8,segment_A,1,0,0,0
13,9,treatment,on_13_8,9,segment_B,1,0,0,0
14,1,treatment,on_14_35,0,segment_A,1,0,0,0
14,1,treatment,on_14_19,1,segment_A,1,0,0,0
14,1,treatment,on_14_16,2,segment_A,1,0,0,0
14,1,treatment,on_14_20,3,segment_A,1,1,0,0
14,1,treatment,on_14_24,4,segment_B,1,0,0,0
14,1,treatment,on_14_12,5,segment_A,1,0,0,0
14,1,treatment,on_14_2,6,segment_A,1,1,0,0
14,1,treatment,on_14_38,7,segment_B,1,1,0,0
14,1,treatment,on_14_1,8,segment_B,1,0,0,0
14,1,treatment,on_14_7,9,segment_B,1,0,0,0
15,11,control,on_15_3,0,segment_A,1,0,0,0
15,11,control,on_15_13,1,segment_A,1,0,0,0
15,11,control,on_15_10,2,segment_B,1,0,0,0
15,11,control,on_15_7,3,segment_A,1,0,0,0
15,11,control,on_15_33,4,segment_A,1,0,0,0
15,11,control,on_15_9,5,segment_B,1,0,0,0
15,11,control,on_15_18,6,segment_B,1,0,0,0
15,11,control,on_15_11,7,segment_B,1,0,0,0
