candidate_id,job_id,skill_overlap,seniority_gap,same_location,recency_days,candidate_activity,clicked,applied,shortlisted,label
35,92,3,0,0,39,0.3643,1,1,0,2
175,93,2,2,0,38,0.5408,0,0,0,0
110,75,3,2,0,9,0.1769,1,1,0,2
303,89,2,3,0,40,0.1509,0,0,0,0
132,27,7,3,1,33,0.5237,1,1,1,3
267,28,0,1,1,40,0.2906,0,0,0,0
110,93,2,1,0,33,0.1004,1,0,0,1
183,68,2,0,0,38,0.2782,1,0,0,1
397,102,1,3,1,2,0.1292,0,0,0,0
93,119,3,0,0,39,0.2777,1,1,1,3
360,60,1,1,0,56,0.3416,0,0,0,0
60,115,3,0,1,5,0.0785,0,0,0,0
105,93,1,1,0,15,0.2008,1,0,0,1
286,97,0,3,0,34,0.1733,0,0,0,0
56,70,2,2,0,5,0.114,1,1,0,2
259,95,1,0,1,10,0.2435,0,0,0,0
167,57,2,0,0,28,0.5138,1,0,0,1
313,101,3,1,0,26,0.2293,1,0,0,1
47,33,3,1,1,14,0.4194,1,1,1,3
263,37,2,1,0,49,0.3006,1,0,0,1
72,19,3,0,0,31,0.2745,1,0,0,1
17,40,2,3,0,39,0.2862,0,0,0,0
12,14,0,3,0,4,0.144,0,0,0,0
332,119,5,2,0,46,0.2183,1,1,1,3
118,60,1,0,0,55,0.1187,0,0,0,0
277,52,1,1,0,7,0.3734,0,0,0,0
208,34,4,2,0,57,0.216,1,0,0,1
369,19,3,2,0,35,0.2673,1,0,0,1
100,95,1,2,1,27,0.2885,0,0,0,0
93,115,1,3,0,52,0.1426,0,0,0,0
352,7,3,0,0,28,0.4303,1,1,1,3
237,54,1,0,1,6,0.2099,1,1,0,2
393,60,0,1,0,44,0.1676,0,0,0,0
350,33,3,1,0,2,0.103,0,0,0,0
320,108,2,0,0,14,0.191,1,0,0,1
391,116,2,1,0,51,0.0125,0,0,0,0
66,50,0,1,1,36,0.0842,0,0,0,0
93,95,1,0,0,56,0.2479,0,0,0,0
80,96,5,2,1,33,0.1971,1,1,1,3
213,76,2,3,0,5,0.7231,0,0,0,0
162,71,2,0,0,26,0.1622,0,0,0,0
313,20,2,1,0,10,0.7431,0,0,0,0
207,59,5,3,0,14,0.3347,1,1,1,3
239,87,4,0,0,20,0.2735,1,1,0,2
222,52,2,0,0,44,0.5864,1,0,0,1
153,0,2,3,0,43,0.2042,0,0,0,0
12,82,0,3,0,32,0.6196,0,0,0,0
4,61,2,1,0,55,0.6223,0,0,0,0
17,12,5,2,0,39,0.1273,1,1,0,2
399,97,1,0,0,11,0.227,0,0,0,0
392,96,4,1,0,57,0.0159,1,0,0,1
95,53,3,0,0,2,0.1613,1,1,0,2
21,23,4,1,0,0,0.5636,1,0,0,1
108,55,1,1,0,42,0.4683,0,0,0,0
101,76,5,2,0,52,0.3547,1,0,0,1
228,18,4,1,0,8,0.1276,1,1,1,3
314,73,0,1,0,24,0.5121,0,0,0,0
253,35,6,3,0,25,0.6613,1,1,1,3
98,94,1,1,0,20,0.0436,0,0,0,0
219,15,3,0,0,55,0.3341,1,1,1,3
