candidate_id,protected_group,experience_years,skills,true_quality
C00000,B,4,"risk_modeling,excel,communication,leadership,audit",0.7917198570690578
C00001,A,12,"communication,java,python,underwriting,sql,risk_modeling",0.6966062450662882
C00002,B,0,"compliance,sql,excel,underwriting,audit",0.480196977663957
C00003,B,6,"aws,communication,leadership,excel",0.5144818754989309
C00004,A,12,"risk_modeling,python,compliance,audit",0.30774409956895965
C00005,B,14,"sql,risk_modeling,java",0.8811523080817487
C00006,B,3,"compliance,aws,risk_modeling",0.4720582855185794
C00007,B,9,"communication,underwriting,leadership,audit,ml",0.6810614708005238
C00008,A,2,"sql,java",0.6422193746336379
C00009,A,1,"aws,excel",0.28584320837097493
C00010,A,5,"compliance,python,sql",0.38379764935726574
C00011,B,13,"aws,java,compliance,communication,excel",0.9084635832699889
C00012,B,10,"java,underwriting,leadership,sql,compliance",0.6522783928230379
C00013,B,7,"ml,excel,java,leadership",0.4654945804262671
C00014,A,4,"aws,audit,java,python",0.5172575379970421
C00015,A,2,"communication,leadership",0.715522642869911
C00016,B,4,"underwriting,leadership,risk_modeling",0.7081766063521748
C00017,A,2,"risk_modeling,audit",0.2561052827968643
C00018,B,2,"python,risk_modeling,compliance,java,communication",0.8141710918609406
C00019,B,10,"communication,audit,java,excel,sql",0.7739066455797623
C00020,B,1,"aws,ml,underwriting",0.48255445511851447
C00021,A,0,"sql,java,compliance",0.28548996024439033
C00022,B,8,"java,audit,leadership",0.7697215552109665
C00023,B,4,"leadership,communication,risk_modeling,aws,python,java",0.6257569500530316
C00024,B,6,"audit,sql,ml,risk_modeling",0.2975962919460023
C00025,A,2,"underwriting,audit,excel,communication,java",0.47822594643549216
C00026,A,3,"aws,excel,sql,python",1.0
C00027,A,6,"communication,compliance,java,excel,leadership",0.5629703163345958
C00028,A,10,"sql,aws,ml,communication",0.4664452930195817
C00029,B,6,"underwriting,risk_modeling,java",0.3784706074448047
C00030,B,8,"java,audit,compliance,underwriting,risk_modeling,ml",0.8989778170172954
C00031,B,7,"communication,underwriting,ml,leadership,compliance",0.7225967081239839
C00032,A,4,"underwriting,java,aws,leadership,communication",0.793339040505101
C00033,A,4,"java,leadership,excel,risk_modeling,underwriting,aws",0.5846733511365885
C00034,A,6,"java,communication,underwriting",0.7857234623599016
C00035,A,0,"aws,ml",0.3473023298813761
C00036,A,10,"python,communication,audit,compliance",0.6292663765647105
C00037,A,9,"underwriting,aws,compliance",0.6416696326950925
C00038,A,4,"sql,leadership,java,python",0.7888404477375398
C00039,B,5,"leadership,sql,python",0.607391747225282
C00040,A,4,"aws,ml,excel",0.42740788648748135
C00041,B,9,"python,risk_modeling,leadership",0.6015332910056673
C00042,B,11,"leadership,python,java",0.3082456235571567
C00043,A,1,"compliance,underwriting,excel,python,sql",0.09222562801135191
C00044,B,6,"communication,compliance,leadership,excel",0.7096414466194916
C00045,B,0,"python,leadership,aws,java",0.4325461004648581
C00046,A,6,"python,audit",0.5129448861835518
C00047,A,3,"aws,java,excel,ml",0.6795704022859907
C00048,B,5,"ml,communication",0.8014618693080279
C00049,A,6,"sql,aws,risk_modeling",0.656207831868965
C00050,A,4,"leadership,ml,java,python",0.8870531094392062
C00051,A,5,"communication,ml",0.64048404413031
C00052,B,11,"aws,excel,risk_modeling",0.664398423444399
C00053,B,12,"underwriting,aws,excel",0.6632699880508278
