candidate_id,job_id,protected_group,skill_overlap,experience_years,latent_match_score,clicked,shortlisted,hired,tenant
C00389,J018,B,0.75,8,0.8128535901063623,0,0,0,AcmeFinServ_Pilot
C01457,J020,A,1.0,5,0.6908478153299605,1,0,0,AcmeFinServ_Pilot
C00894,J032,B,0.25,7,0.4535803316977606,0,0,0,AcmeFinServ_Pilot
C00713,J010,B,0.0,7,0.12293312339176221,0,0,0,AcmeFinServ_Pilot
C00131,J002,B,0.6666666666666666,13,0.5302434755561024,1,1,0,AcmeFinServ_Pilot
C00261,J018,B,0.5,3,0.5751748954534213,1,0,0,AcmeFinServ_Pilot
C01528,J024,A,0.5,0,0.42885367641263417,0,0,0,AcmeFinServ_Pilot
C01724,J019,A,0.5,3,0.5426344692528489,0,0,0,AcmeFinServ_Pilot
C00582,J028,A,0.0,2,0.2988551767520693,1,1,0,AcmeFinServ_Pilot
C01656,J010,A,1.0,12,0.7951315391341629,1,1,0,AcmeFinServ_Pilot
C01104,J000,A,0.5,1,0.3738117378713745,0,0,0,AcmeFinServ_Pilot
C00702,J031,A,0.5,8,0.6252830610673086,1,0,0,AcmeFinServ_Pilot
C00902,J034,A,0.25,9,0.4856154197271338,1,0,0,AcmeFinServ_Pilot
C01380,J024,A,0.0,2,0.1436416793890326,0,0,0,AcmeFinServ_Pilot
C01818,J012,A,0.3333333333333333,5,0.45697761221088307,1,0,0,AcmeFinServ_Pilot
C00984,J014,A,1.0,2,0.8533249069225856,1,1,0,AcmeFinServ_Pilot
C00693,J019,A,0.25,12,0.5068775334943776,1,0,0,AcmeFinServ_Pilot
C01521,J016,A,0.75,9,0.6738307146808526,1,0,0,AcmeFinServ_Pilot
C01050,J008,B,0.5,6,0.5481761542876334,1,0,0,AcmeFinServ_Pilot
C00780,J014,A,0.5,12,0.48758496893012204,0,0,0,AcmeFinServ_Pilot
C00919,J011,B,0.5,7,0.6481551011020967,0,0,0,AcmeFinServ_Pilot
C01071,J017,B,1.0,8,0.7137386697086967,1,0,0,AcmeFinServ_Pilot
C00280,J015,A,0.5,7,0.38108090593104793,0,0,0,AcmeFinServ_Pilot
C00115,J021,B,0.0,7,0.32244964334553416,0,0,0,AcmeFinServ_Pilot
C01329,J032,A,0.5,7,0.49333541195567254,1,0,0,AcmeFinServ_Pilot
C00349,J013,A,0.75,5,0.6540765467892574,1,0,0,AcmeFinServ_Pilot
C01063,J002,B,0.3333333333333333,9,0.44055794074311183,1,0,0,AcmeFinServ_Pilot
C01563,J032,B,0.25,1,0.459960898787338,0,0,0,AcmeFinServ_Pilot
C00429,J007,B,0.0,13,0.3165611416230199,0,0,0,AcmeFinServ_Pilot
C00763,J037,A,0.5,3,0.45570138698999535,1,0,0,AcmeFinServ_Pilot
C01956,J021,B,0.0,3,0.27106692425637324,0,0,0,AcmeFinServ_Pilot
C00070,J020,A,0.0,1,0.2945080995241643,0,0,0,AcmeFinServ_Pilot
C01511,J016,A,0.25,11,0.49503424269490137,1,0,0,AcmeFinServ_Pilot
C00335,J028,B,0.5,6,0.5090232356792876,1,1,1,AcmeFinServ_Pilot
C01811,J026,A,0.3333333333333333,9,0.4581922980377463,0,0,0,AcmeFinServ_Pilot
C00823,J037,B,0.25,14,0.27943640566724126,0,0,0,AcmeFinServ_Pilot
C00013,J000,B,0.0,7,0.23274729021313356,0,0,0,AcmeFinServ_Pilot
C01435,J007,B,0.0,14,0.34853634072219614,1,0,0,AcmeFinServ_Pilot
C00294,J011,B,0.25,13,0.5199245842231943,0,0,0,AcmeFinServ_Pilot
C00726,J007,A,0.5,1,0.5085381711072476,0,0,0,AcmeFinServ_Pilot
C01004,J037,B,0.25,11,0.40330314121767996,0,0,0,AcmeFinServ_Pilot
C01490,J002,A,0.3333333333333333,7,0.45966792192605554,1,0,0,AcmeFinServ_Pilot
C00837,J004,B,0.25,1,0.26696487301082605,0,0,0,AcmeFinServ_Pilot
C01716,J017,A,0.5,2,0.568358603773264,1,0,0,AcmeFinServ_Pilot
C00963,J010,A,0.0,3,0.26123267163414604,1,1,0,AcmeFinServ_Pilot
C00682,J013,A,0.5,10,0.40336454773772296,0,0,0,AcmeFinServ_Pilot
C00674,J024,B,0.5,12,0.5248152622565935,1,1,0,AcmeFinServ_Pilot
C01600,J022,B,0.0,5,0.25957926203135023,0,0,0,AcmeFinServ_Pilot
C01329,J034,A,0.0,7,0.24333541195567257,0,0,0,AcmeFinServ_Pilot
C00253,J018,A,0.5,5,0.5434679656158548,0,0,0,AcmeFinServ_Pilot
C01500,J037,B,0.75,14,0.6958973346735102,1,0,0,AcmeFinServ_Pilot
C00830,J007,B,1.0,5,0.7635242386856659,1,0,0,AcmeFinServ_Pilot
C00697,J007,B,0.5,1,0.3929875360586693,0,0,0,AcmeFinServ_Pilot
C00195,J015,A,0.0,7,0.23839386889717182,1,0,0,AcmeFinServ_Pilot
C01996,J004,A,0.5,12,0.6319037978353315,1,1,0,AcmeFinServ_Pilot
C00105,J001,B,1.0,6,0.8712680212238788,1,1,0,AcmeFinServ_Pilot
C01993,J014,A,0.25,9,0.5746023156117479,0,0,0,AcmeFinServ_Pilot
C00129,J021,B,0.3333333333333333,6,0.4601579634318216,0,0,0,AcmeFinServ_Pilot
C01010,J011,B,0.25,12,0.46159201572216657,0,0,0,AcmeFinServ_Pilot
C00209,J010,A,0.5,9,0.4626997190070297,1,1,0,AcmeFinServ_Pilot
