candidate_id,job_id,rating,timestamp_unix,timestamp,age,gender,occupation,zip,Action,Comedy,Drama,SciFi,Romance,click,shortlist,application,relevance_grade,protected_group,age_norm
196,242,3,881250949,1997-12-04 15:55:49,49,M,writer,55105,0,1,0,0,0,1,0,0,1,0,0.49
186,302,3,891717742,1998-04-04 19:22:22,39,F,executive,00000,0,0,0,0,0,1,0,0,1,1,0.39
22,377,1,878887116,1997-11-07 07:18:36,25,M,writer,40206,0,1,0,0,0,0,0,0,0,0,0.25
244,51,2,880606923,1997-11-27 05:02:03,28,M,technician,80525,0,0,1,0,1,0,0,0,0,0,0.28
166,346,1,886397596,1998-02-02 05:33:16,47,M,educator,55113,0,0,1,0,0,0,0,0,0,0,0.47
298,474,4,884182806,1998-01-07 14:20:06,44,M,executive,01581,0,0,0,1,0,1,1,0,2,0,0.44
115,265,2,881171488,1997-12-03 17:51:28,31,M,engineer,17110,1,0,0,0,0,0,0,0,0,0,0.31
253,465,5,891628467,1998-04-03 18:34:27,26,F,librarian,22903,0,0,0,0,1,1,1,1,3,1,0.26
305,451,3,886324817,1998-02-01 09:20:17,23,M,programmer,94086,0,1,0,0,1,1,0,0,1,0,0.23
6,86,3,883603013,1997-12-31 21:16:53,42,M,executive,98101,0,0,1,0,0,1,0,0,1,0,0.42
62,257,2,879372434,1997-11-12 22:07:14,27,F,administrator,97214,1,1,0,1,0,0,0,0,0,1,0.27
286,1014,5,879781125,1997-11-17 15:38:45,27,M,student,15217,0,1,0,0,0,1,1,1,3,0,0.27
200,222,5,876042340,1997-10-05 09:05:40,40,M,programmer,93402,1,0,0,1,0,1,1,1,3,0,0.4
210,40,3,891035994,1998-03-27 21:59:54,39,M,engineer,03060,0,1,0,0,0,1,0,0,1,0,0.39
224,29,3,888104457,1998-02-21 23:40:57,31,F,educator,43512,1,1,0,0,0,1,0,0,1,1,0.31
303,785,3,879485318,1997-11-14 05:28:38,19,M,student,14853,0,1,0,0,1,1,0,0,1,0,0.19
122,387,5,879270459,1997-11-11 17:47:39,32,F,writer,22206,0,0,1,0,0,1,1,1,3,1,0.32
194,274,2,879539794,1997-11-14 20:36:34,38,M,administrator,02154,0,1,0,0,1,0,0,0,0,0,0.38
