candidate_id,years_experience,skill_match_score,profile_completeness,protected_group,consent_ts
C00000,0.9,0.374,0.714,B,2025-12-14T00:00:00
C00001,0.0,0.093,0.712,A,2025-04-06T00:00:00
C00002,8.1,0.719,0.511,B,2025-08-02T00:00:00
C00003,11.3,0.548,0.739,B,2025-12-18T00:00:00
C00004,2.6,0.568,0.44,A,2026-03-24T00:00:00
C00005,0.0,0.262,0.698,B,2025-08-07T00:00:00
C00006,0.0,0.38,0.787,B,2025-02-07T00:00:00
C00007,3.3,0.504,0.765,B,2025-07-26T00:00:00
C00008,3.1,0.466,0.688,A,2025-11-18T00:00:00
C00009,2.0,0.624,0.737,A,2026-03-14T00:00:00
C00010,4.7,0.717,0.632,A,2026-02-21T00:00:00
C00011,5.2,1.0,0.752,B,2026-01-15T00:00:00
C00012,5.0,0.596,0.759,B,2025-03-24T00:00:00
C00013,3.1,0.823,0.615,B,2025-09-17T00:00:00
C00014,0.7,0.434,0.79,A,2025-10-16T00:00:00
C00015,6.0,0.265,0.789,A,2025-08-23T00:00:00
C00016,4.0,0.53,0.725,B,2026-04-07T00:00:00
C00017,6.7,0.28,1.0,A,2026-04-25T00:00:00
C00018,6.4,0.603,0.729,B,2025-04-16T00:00:00
C00019,0.0,0.444,0.708,B,2026-04-24T00:00:00
C00020,0.0,0.209,0.687,B,2026-02-28T00:00:00
C00021,1.7,0.947,0.604,A,2025-12-19T00:00:00
C00022,0.8,0.492,0.853,B,2025-07-10T00:00:00
C00023,6.3,0.272,0.647,B,2026-01-16T00:00:00
C00024,5.1,0.78,0.665,B,2025-10-21T00:00:00
C00025,7.3,0.454,0.669,A,2026-03-26T00:00:00
C00026,5.2,0.818,0.602,A,2025-12-22T00:00:00
C00027,4.6,0.453,0.487,A,2026-04-28T00:00:00
C00028,7.6,0.492,0.681,A,2025-07-29T00:00:00
C00029,5.4,0.669,0.881,B,2025-02-11T00:00:00
C00030,4.2,0.719,0.78,B,2025-09-03T00:00:00
C00031,8.4,0.754,0.984,B,2026-05-14T00:00:00
C00032,4.3,0.582,0.863,A,2025-11-24T00:00:00
C00033,3.1,0.706,0.829,A,2025-12-18T00:00:00
C00034,1.5,0.749,1.0,A,2025-11-09T00:00:00
C00035,6.1,0.64,0.735,A,2025-10-24T00:00:00
C00036,7.7,0.571,0.759,A,2025-01-31T00:00:00
C00037,3.8,0.311,0.748,A,2025-07-26T00:00:00
C00038,7.9,0.72,0.982,A,2025-02-13T00:00:00
C00039,0.0,0.608,0.75,B,2025-06-18T00:00:00
C00040,3.8,0.517,0.653,A,2025-12-26T00:00:00
C00041,3.9,0.856,0.838,B,2026-02-07T00:00:00
C00042,1.8,0.314,0.628,B,2025-04-22T00:00:00
C00043,11.2,0.929,0.83,A,2025-11-24T00:00:00
C00044,3.8,0.596,0.812,B,2025-04-24T00:00:00
C00045,2.8,0.664,0.722,B,2025-04-11T00:00:00
C00046,4.1,0.521,0.835,A,2026-04-25T00:00:00
C00047,0.0,0.267,0.527,A,2025-11-01T00:00:00
C00048,1.7,0.572,0.774,B,2025-04-09T00:00:00
