impression_id,candidate_id,job_id,years_experience,skill_match_score,profile_completeness,seniority_level,req_skill_score,recency_feature_train,recency_feature_serve,event_ts,clicked,applied,shortlisted,true_relevance
I0000000,C01089,J0025,6.3,0.28,0.719,3,0.501,390,9360.0,2025-05-07,0,0,0,0.6704
I0000001,C00125,J0060,5.8,0.641,0.851,1,0.633,399,9576.0,2025-04-28,0,0,0,0.8493
I0000002,C00088,J0059,7.0,1.0,0.731,2,0.808,301,7224.0,2025-08-04,0,0,0,0.706
I0000003,C03863,J0134,2.4,0.811,0.371,2,0.353,342,8208.0,2025-06-24,0,0,0,0.3392
I0000004,C00473,J0123,4.9,0.581,0.653,3,0.315,99,2376.0,2026-02-22,0,0,0,0.5964
I0000005,C03636,J0064,0.0,0.711,0.733,1,0.487,233,5592.0,2025-10-11,0,0,0,0.5656
I0000006,C00666,J0115,7.1,0.227,0.712,1,0.627,43,1032.0,2026-04-19,0,0,0,0.5558
I0000007,C00338,J0092,4.6,0.645,0.686,4,0.623,230,5520.0,2025-10-14,1,0,0,0.7726
I0000008,C02182,J0083,4.7,0.344,0.967,3,0.691,46,1104.0,2026-04-16,0,0,0,0.6244
I0000009,C03473,J0128,1.6,0.701,0.767,3,0.677,24,576.0,2026-05-08,0,0,0,0.7433
I0000010,C00286,J0093,7.8,0.821,1.0,3,0.757,3,72.0,2026-05-29,0,0,0,0.8857
I0000011,C01314,J0031,8.1,0.642,0.862,3,0.886,330,7920.0,2025-07-06,0,0,0,0.7249
I0000012,C03010,J0059,3.0,0.422,0.553,2,0.808,134,3216.0,2026-01-18,0,0,0,0.4514
I0000013,C00270,J0060,0.0,0.561,0.949,1,0.633,374,8976.0,2025-05-23,0,0,0,0.7337
I0000014,C00678,J0126,5.5,0.72,0.658,2,0.635,369,8856.0,2025-05-28,1,0,0,0.7355
I0000015,C01224,J0021,4.0,0.508,0.854,2,0.438,94,2256.0,2026-02-27,0,0,0,0.776
I0000016,C03226,J0071,2.9,0.53,0.958,2,0.587,399,9576.0,2025-04-28,0,0,0,0.7959
I0000017,C03235,J0081,6.7,0.939,0.946,2,0.644,93,2232.0,2026-02-28,0,0,0,0.689
I0000018,C02837,J0143,5.0,0.607,0.833,1,0.714,171,4104.0,2025-12-12,0,0,0,0.7609
I0000019,C02663,J0118,7.8,0.456,0.809,2,0.57,183,4392.0,2025-11-30,0,0,0,0.7966
I0000020,C00104,J0039,6.1,0.63,0.718,1,0.53,208,4992.0,2025-11-05,0,0,0,0.752
I0000021,C00954,J0008,6.0,0.524,0.431,2,0.441,57,1368.0,2026-04-05,0,0,0,0.6814
I0000022,C03686,J0019,3.9,0.799,0.734,1,0.693,124,2976.0,2026-01-28,0,0,0,0.7151
I0000023,C02876,J0009,2.9,0.804,0.897,3,0.437,149,3576.0,2026-01-03,1,0,0,0.5601
I0000024,C00964,J0060,0.0,0.225,0.984,1,0.633,373,8952.0,2025-05-24,0,0,0,0.5067
I0000025,C02831,J0111,1.0,0.361,0.426,1,0.646,56,1344.0,2026-04-06,0,0,0,0.453
I0000026,C02897,J0098,2.6,0.347,0.741,1,0.723,338,8112.0,2025-06-28,0,0,0,0.5047
I0000027,C02971,J0106,4.4,0.365,0.61,3,0.884,183,4392.0,2025-11-30,0,0,0,0.3974
I0000028,C03920,J0079,7.5,0.667,0.834,2,0.518,176,4224.0,2025-12-07,0,0,0,0.7739
I0000029,C02162,J0060,0.7,0.75,1.0,1,0.633,195,4680.0,2025-11-18,0,0,0,0.7282
I0000030,C00239,J0123,10.0,0.551,0.41,3,0.315,183,4392.0,2025-11-30,0,0,0,0.6353
