impression_id,candidate_id,job_id,years_experience,skill_match_score,profile_completeness,seniority_level,req_skill_score,recency_feature_train,recency_feature_serve,event_ts,clicked,applied,shortlisted,true_relevance
I0012628,C02089,J0100,8.8,0.617,0.791,1,0.169,126,3024.0,2026-01-26,0,0,0,0.573
I0037730,C00358,J0057,1.6,0.867,0.707,2,0.372,110,2640.0,2026-02-11,0,0,0,0.3943
I0039991,C03637,J0016,8.8,0.666,0.613,4,0.643,57,1368.0,2026-04-05,1,0,0,0.8224
I0008525,C03545,J0113,0.0,0.4,0.744,1,0.579,234,5616.0,2025-10-10,1,0,0,0.6005
I0008279,C01568,J0074,1.4,0.339,0.7,1,0.343,330,7920.0,2025-07-06,0,0,0,0.7351
I0051012,C03742,J0051,0.0,0.351,0.619,3,0.624,236,5664.0,2025-10-08,0,0,0,0.4989
I0014871,C02856,J0006,2.9,0.711,0.801,3,0.665,57,1368.0,2026-04-05,0,0,0,0.7593
I0015127,C03509,J0088,1.7,0.432,0.589,2,0.856,45,1080.0,2026-04-17,0,0,0,0.4128
I0009366,C03456,J0029,3.9,0.305,0.633,1,0.913,398,9552.0,2025-04-29,0,0,0,0.3327
I0033322,C01851,J0120,0.0,0.703,0.841,2,0.522,271,6504.0,2025-09-03,0,0,0,0.6264
I0053390,C01487,J0125,5.9,0.626,0.59,1,0.475,29,696.0,2026-05-03,0,0,0,0.6766
I0021819,C03982,J0057,4.0,0.53,0.816,2,0.372,191,4584.0,2025-11-22,0,0,0,0.7032
I0005026,C03258,J0128,6.0,0.33,0.6,3,0.677,93,2232.0,2026-02-28,0,0,0,0.5429
I0023428,C01490,J0102,0.0,0.455,0.452,2,0.438,256,6144.0,2025-09-18,1,0,0,0.6323
I0045297,C00513,J0124,6.3,0.525,0.816,4,0.309,159,3816.0,2025-12-24,0,0,0,0.7013
I0026354,C01286,J0138,8.2,0.227,0.646,2,0.343,46,1104.0,2026-04-16,0,0,0,0.756
I0030195,C02531,J0039,8.3,0.508,0.502,1,0.53,396,9504.0,2025-05-01,0,0,0,0.7833
I0047038,C00473,J0018,4.9,0.581,0.653,4,0.73,247,5928.0,2025-09-27,0,0,0,0.6788
I0020731,C02801,J0088,8.5,0.587,0.701,2,0.856,349,8376.0,2025-06-17,1,0,0,0.6687
I0034047,C03666,J0146,4.0,0.543,0.689,3,0.57,321,7704.0,2025-07-15,0,0,0,0.7598
I0026064,C03779,J0087,5.5,0.657,0.938,3,0.578,108,2592.0,2026-02-13,0,0,0,0.8187
I0042469,C03847,J0041,3.2,0.582,0.816,4,0.655,6,144.0,2026-05-26,0,0,0,0.7496
I0029746,C03848,J0107,5.6,0.688,0.618,2,0.389,161,3864.0,2025-12-22,0,0,0,0.5751
I0014522,C03367,J0056,2.2,0.889,0.924,3,0.397,18,432.0,2026-05-14,0,0,0,0.4678
I0031572,C02480,J0118,2.4,0.632,0.541,2,0.57,371,8904.0,2025-05-26,0,0,0,0.6663
I0054949,C02698,J0135,3.6,0.795,0.787,3,0.587,73,1752.0,2026-03-20,0,0,0,0.653
I0019368,C00086,J0145,5.8,0.483,0.687,4,0.701,85,2040.0,2026-03-08,0,0,0,0.655
I0003803,C01190,J0112,1.2,0.511,0.665,2,0.583,21,504.0,2026-05-11,0,0,0,0.6739
I0053325,C00688,J0046,2.9,0.604,0.723,3,0.767,159,3816.0,2025-12-24,0,0,0,0.6549
I0014300,C03617,J0060,8.5,0.817,0.902,1,0.633,346,8304.0,2025-06-20,0,0,0,0.7853
I0051301,C02836,J0021,5.6,0.533,1.0,2,0.438,365,8760.0,2025-06-01,0,0,0,0.8266
I0009008,C03662,J0145,0.0,0.592,0.841,4,0.701,53,1272.0,2026-04-09,0,0,0,0.6771
I0047521,C01651,J0078,0.0,0.076,0.714,2,0.5,388,9312.0,2025-05-09,0,0,0,0.4193
I0025224,C01589,J0086,5.8,0.97,0.694,3,0.489,141,3384.0,2026-01-11,0,0,0,0.4716
I0048921,C02555,J0116,6.3,0.693,0.854,4,0.696,334,8016.0,2025-07-02,0,0,0,0.8621
I0037978,C01827,J0111,0.0,0.302,0.781,1,0.646,50,1200.0,2026-04-12,0,0,0,0.4946
I0044171,C03965,J0123,2.3,1.0,0.903,3,0.315,333,7992.0,2025-07-03,0,0,0,0.3275
I0026303,C03914,J0125,4.5,0.315,0.752,1,0.475,372,8928.0,2025-05-25,0,0,0,0.6922
I0019458,C02662,J0012,1.9,0.811,0.959,1,0.468,51,1224.0,2026-04-11,1,0,0,0.5776
I0005369,C00125,J0107,5.8,0.641,0.851,2,0.389,8,192.0,2026-05-24,0,0,0,0.6773
I0050291,C01049,J0100,0.0,0.808,0.723,1,0.169,144,3456.0,2026-01-08,0,0,0,0.2703
I0025951,C00724,J0114,1.3,0.45,0.617,4,0.554,188,4512.0,2025-11-25,0,0,0,0.6395
I0054908,C02994,J0009,1.8,0.44,0.917,3,0.437,3,72.0,2026-05-29,1,0,0,0.8038
I0056362,C03017,J0064,1.1,0.726,0.984,1,0.487,179,4296.0,2025-12-04,0,0,0,0.6444
I0032218,C01508,J0077,5.8,0.561,0.592,4,0.837,91,2184.0,2026-03-02,0,0,0,0.5873
I0002885,C03354,J0011,7.4,0.645,0.508,3,0.484,55,1320.0,2026-04-07,0,0,0,0.6718
I0036559,C01582,J0026,3.2,0.746,0.804,1,0.881,266,6384.0,2025-09-08,0,0,0,0.7025
I0008966,C03378,J0103,,0.805,0.929,4,0.476,64,1536.0,2026-03-29,0,0,0,0.5942
