job_id,seniority_level,req_skill_score
J0000,4,0.534
J0001,3,0.47
J0002,3,0.479
J0003,1,0.462
J0004,2,0.655
J0005,1,0.566
J0006,3,0.665
J0007,3,0.673
J0008,2,0.441
J0009,3,0.437
J0010,4,0.566
J0011,3,0.484
J0012,1,0.468
J0013,3,0.854
J0014,1,0.37
J0015,2,0.903
J0016,4,0.643
J0017,2,0.748
J0018,4,0.73
J0019,1,0.693
J0020,4,0.849
J0021,2,0.438
J0022,1,0.577
J0023,2,0.472
J0024,1,0.346
J0025,3,0.501
J0026,1,0.881
J0027,1,0.574
J0028,3,0.898
J0029,1,0.913
J0030,2,1.0
J0031,3,0.886
J0032,2,0.954
J0033,1,0.649
J0034,1,0.634
J0035,4,0.644
J0036,4,0.6
J0037,2,0.622
J0038,4,0.713
J0039,1,0.53
J0040,1,0.393
J0041,4,0.655
J0042,3,0.496
J0043,3,0.512
J0044,2,0.579
J0045,4,0.544
J0046,3,0.767
J0047,2,0.575
J0048,2,0.774
J0049,2,0.631
J0050,3,0.587
J0051,3,0.624
J0052,4,0.406
J0053,2,0.651
J0054,2,0.727
J0055,3,0.749
J0056,3,0.397
J0057,2,0.372
J0058,1,0.519
J0059,2,0.808
J0060,1,0.633
J0061,1,0.484
J0062,4,0.382
J0063,4,0.497
J0064,1,0.487
J0065,2,0.74
J0066,2,0.752
J0067,4,0.443
J0068,2,0.713
J0069,2,0.698
J0070,3,0.423
J0071,2,0.587
J0072,1,0.651
J0073,2,0.624
J0074,1,0.343
J0075,3,0.62
J0076,4,0.695
J0077,4,0.837
J0078,2,0.5
J0079,2,0.518
J0080,1,0.569
J0081,2,0.644
J0082,1,0.615
J0083,3,0.691
J0084,4,0.431
J0085,1,0.66
J0086,3,0.489
J0087,3,0.578
J0088,2,0.856
J0089,3,0.39
J0090,3,0.558
J0091,2,0.409
J0092,4,0.623
J0093,3,0.757
J0094,2,0.625
J0095,3,0.582
J0096,3,0.799
J0097,1,0.65
J0098,1,0.723
J0099,2,0.707
J0100,1,0.169
J0101,2,0.588
J0102,2,0.438
J0103,4,0.476
J0104,1,0.821
J0105,3,0.544
J0106,3,0.884
J0107,2,0.389
J0108,4,0.437
J0109,2,0.714
J0110,2,0.549
J0111,1,0.646
J0112,2,0.583
J0113,1,0.579
J0114,4,0.554
J0115,1,0.627
J0116,4,0.696
J0117,1,0.842
J0118,2,0.57
J0119,1,0.541
J0120,2,0.522
J0121,3,0.82
J0122,2,0.704
J0123,3,0.315
J0124,4,0.309
J0125,1,0.475
J0126,2,0.635
J0127,3,0.595
J0128,3,0.677
J0129,1,0.574
J0130,1,0.81
J0131,2,0.716
J0132,3,0.612
J0133,4,0.772
J0134,2,0.353
J0135,3,0.587
J0136,2,0.621
J0137,1,0.69
J0138,2,0.343
J0139,2,0.561
J0140,1,0.66
J0141,3,0.672
J0142,2,0.778
J0143,1,0.714
J0144,2,0.591
J0145,4,0.701
J0146,3,0.57
J0147,2,0.622
J0148,4,0.719
J0149,1,0.593
