candidate_id,skill_score,exp_years,group
0,0.3540396841506309,1,B
1,-0.004965368265851146,4,A
2,-0.5315980204626579,11,A
3,-2.27656646738474,3,B
4,0.018715377503071538,11,A
5,0.9273688169889243,4,A
6,1.04333471223595,2,A
7,-0.5361980682592878,12,A
8,2.2293638251358496,4,A
9,1.9436919725173452,4,B
10,-0.2282261494011879,7,A
11,-0.15518113263191194,13,A
12,0.9589650032946045,2,B
13,-0.2547654546817906,8,B
14,0.22476604786943014,10,B
15,1.2198602161614789,13,A
16,1.189720511179412,13,A
17,-0.5298005225309926,0,A
18,-0.4556210442596798,2,B
19,-0.5490484899641733,3,A
20,-0.014158213733149905,0,A
21,0.07491487644629682,6,B
22,-0.3886871673952396,12,A
23,0.7746939773858059,1,B
24,0.04961166685080974,3,A
25,0.013364802881392435,2,A
26,-1.9687560808282676,14,B
27,-1.3848386724173019,2,A
28,-0.6952254251309311,8,A
29,0.3604558900085395,7,A
30,-0.8661642515899808,6,B
31,1.559258571445595,0,A
32,0.14763065225772823,14,A
33,0.2571032861402623,8,B
34,0.1199626794847736,3,A
35,0.4926233230275515,1,A
36,0.9239783608193567,8,A
37,-0.5509024272675509,4,A
38,1.5685336676461867,10,B
39,-0.7791051049437804,10,B
40,0.5174087168164516,3,B
41,-0.20632348156510463,12,B
42,-0.16641061421632186,7,A
43,0.6701483778463362,10,A
44,0.20181373342498857,7,A
45,1.6074200032750119,13,A
46,-0.5078405440907392,3,B
47,0.5163087627818853,9,A
48,0.5838730930775634,8,B
49,2.1121054998208346,4,A
50,1.6093174391556833,13,B
51,0.7045759857576647,4,B
52,1.6725192258085841,2,A
53,0.8497750841524744,0,B
54,-0.7818255157008109,8,A
55,0.33119384393163476,13,B
56,1.227485959152611,8,B
57,-0.5220961113147181,6,A
58,1.5266260054596967,1,B
59,0.35555790705890916,3,A
60,-0.6288846266806212,11,A
61,0.46295922718201793,7,A
62,-1.5698195128766215,7,B
63,-0.6888920698507784,11,A
64,-1.0452707205120946,5,A
65,0.49902375919967346,9,B
66,-1.023240343333598,12,B
67,-1.564364570748956,12,B
68,0.30398989800332243,8,B
69,-0.4797152597893526,2,A
70,-0.7249728556054829,10,A
71,-0.5960752834847165,2,A
72,1.0466201734360112,5,A
73,0.1715199048852369,8,B
74,-0.7508374432014661,6,A
75,2.802191825660094,10,B
76,0.4890519444162596,11,A
77,1.9148703924731834,7,B
78,1.0518056762151695,0,B
79,1.366146289456645,1,A
80,-0.8759603141970402,5,B
81,-0.5707127573516251,7,A
82,0.6441810001727681,7,A
83,-0.08400139404617617,12,A
84,0.07818210748558983,8,A
85,1.0882973630235406,11,B
86,-2.3025247930851296,1,B
87,-0.3328811763022821,14,B
88,1.5363519294637775,7,B
89,-0.4673171070238983,6,A
90,0.041992303204161155,5,A
91,0.38256312625742755,9,A
92,0.31958617786344307,5,A
93,0.31618644120889516,12,B
94,-0.9325361463811137,10,A
95,0.33399171339768363,13,A
96,-0.602237443375247,1,A
97,1.5785244939153444,9,A
98,-0.6262742446348667,7,B
99,0.25522243799622374,10,A
100,-0.19937099369709496,6,A
101,1.130903263293041,12,B
102,0.12103378053967322,12,A
103,0.7092786454983112,5,A
104,-0.5647659329909674,9,A
105,-0.3806761889938276,1,B
106,-0.9458063186005585,3,B
107,-0.17089587113955884,6,B
108,-0.2827983177543794,7,A
109,-1.1331129242121305,8,B
110,-1.2564169602676096,2,A
111,0.15964547558969563,0,A
112,-0.17118107075927452,6,B
113,-0.7068636312580265,12,A
114,-0.9205985499460365,3,B
115,-1.1079230421515438,12,A
116,0.09720268613504214,13,B
117,-0.5341761055420519,3,B
118,-0.6368553916681325,6,A
