stage,step,metric,value,unix_time
train,train_ranker,train_seconds,0.75,1786194361
train,train_ranker,train_rows,39926,1786194361
train,train_ranker,test_rows,20074,1786194361
offline_eval,model,nDCG_at_10,0.953580314969306,1786194380
offline_eval,model,MAP_at_10,0.5957098873706136,1786194380
offline_eval,model,Precision_at_10,0.25658814927840295,1786194380
offline_eval,model,n_queries,2996,1786194380
offline_eval,baseline,nDCG_at_10,0.9097846084090558,1786194380
offline_eval,baseline,MAP_at_10,0.5261741448916015,1786194380
offline_eval,baseline,Precision_at_10,0.2565547714412868,1786194380
offline_eval,baseline,n_queries,2996,1786194380
online_proxy,ips,estimated_ctr_new_policy,0.4509,1786194401
online_proxy,ips,estimated_application_rate_new_policy,0.2011,1786194401
fairness,audit,demographic_parity_gap,0.0008,1786194416
fairness,audit,equal_opportunity_gap,0.0004,1786194416
fairness,audit,demographic_parity_gap,0.0096,1786194432
fairness,audit,equal_opportunity_gap,0.0037,1786194432
latency_cost,bench,p95_ms,0.446,1786194450
latency_cost,bench,cost_per_1000,0.000014,1786194450
monitoring,rollout,rollback_triggered,True,1786194465
monitoring,rollout,rollback_day,20,1786194465
dr,failover_test,requests_tested,500,1786194480
dr,failover_test,fallback_rate,0.160,1786194480
train,train_ranker,train_seconds,0.24,1786283195
train,train_ranker,train_rows,39926,1786283195
train,train_ranker,test_rows,20074,1786283195
offline_eval,model,nDCG_at_10,0.953580314969306,1786283200
offline_eval,model,MAP_at_10,0.5958971741233209,1786283200
offline_eval,model,Precision_at_10,0.25658814927840295,1786283200
offline_eval,model,n_queries,2996,1786283200
offline_eval,baseline,nDCG_at_10,0.9097846084090558,1786283200
offline_eval,baseline,MAP_at_10,0.5260624218534766,1786283200
offline_eval,baseline,Precision_at_10,0.2565547714412868,1786283200
offline_eval,baseline,n_queries,2996,1786283200
online_proxy,ips,estimated_ctr_new_policy,0.4509,1786283203
online_proxy,ips,estimated_application_rate_new_policy,0.2011,1786283203
fairness,audit,demographic_parity_gap,0.0096,1786283205
fairness,audit,equal_opportunity_gap,0.0037,1786283205
latency_cost,bench,p95_ms,0.435,1786283211
latency_cost,bench,cost_per_1000,0.000013,1786283211
monitoring,rollout,rollback_triggered,True,1786283211
monitoring,rollout,rollback_day,20,1786283211
dr,failover_test,requests_tested,500,1786283214
dr,failover_test,fallback_rate,0.160,1786283214
train,train_ranker,train_seconds,0.46,1786286093
train,train_ranker,train_rows,39926,1786286093
train,train_ranker,test_rows,20074,1786286093
offline_eval,model,nDCG_at_10,0.953580314969306,1786286103
offline_eval,model,MAP_at_10,0.5958971741233209,1786286103
offline_eval,model,Precision_at_10,0.25658814927840295,1786286103
offline_eval,model,n_queries,2996,1786286103
offline_eval,baseline,nDCG_at_10,0.9097846084090558,1786286103
offline_eval,baseline,MAP_at_10,0.5260624218534766,1786286103
offline_eval,baseline,Precision_at_10,0.2565547714412868,1786286103
offline_eval,baseline,n_queries,2996,1786286103
dr,failover_test,requests_tested,500,1786286113
dr,failover_test,fallback_rate,0.160,1786286113
monitoring,rollout,rollback_triggered,True,1786286118
monitoring,rollout,rollback_day,20,1786286118
