day,rollout_stage,psi_skill_score,psi_exp_years,psi_job_seniority,psi_job_comp_level,rollback_triggered
20,5%,0.0066,4.2054,0.0041,0.0031,True
21,5%,0.0056,4.2003,0.004,0.0063,True
22,25%,0.0062,4.2128,0.0014,0.0022,True
23,25%,0.0027,4.1907,0.0025,0.0082,True
24,25%,0.0029,4.1893,0.009,0.0033,True
25,100%,0.0033,4.2156,0.0058,0.0067,True
26,100%,0.0042,4.1991,0.0055,0.0039,True
27,100%,0.0044,4.1916,0.0015,0.0048,True
28,100%,0.0048,4.2104,0.0037,0.0038,True
29,100%,0.0042,4.1974,0.0043,0.006,True
