model_version,position,impressions,clicks,ctr
mv-2026.07.01,1,1698,1316,0.7750294464075382
mv-2026.07.01,2,1698,914,0.5382803297997645
mv-2026.07.01,3,1698,738,0.43462897526501765
mv-2026.07.01,4,1698,617,0.36336866902237924
mv-2026.07.01,5,1698,597,0.35159010600706714
mv-2026.07.01,6,1698,480,0.2826855123674912
mv-2026.07.01,7,1698,463,0.27267373380447585
mv-2026.07.01,8,1698,425,0.2502944640753828
mv-2026.07.01,9,1698,370,0.21790341578327443
mv-2026.07.01,10,1698,368,0.21672555948174324
mv-2026.07.01,11,1698,329,0.19375736160188456
mv-2026.07.01,12,1698,335,0.1972909305064782
mv-2026.07.15,1,1693,1330,0.7855877141169522
mv-2026.07.15,2,1693,924,0.5457767277023036
mv-2026.07.15,3,1693,780,0.4607206142941524
mv-2026.07.15,4,1693,618,0.3650324867099823
mv-2026.07.15,5,1693,576,0.34022445363260484
mv-2026.07.15,6,1693,523,0.30891907855877143
mv-2026.07.15,7,1693,460,0.27170702894270526
mv-2026.07.15,8,1693,431,0.25457767277023036
mv-2026.07.15,9,1693,422,0.2492616656822209
mv-2026.07.15,10,1693,373,0.22031896042528057
mv-2026.07.15,11,1693,356,0.21027761370348494
mv-2026.07.15,12,1693,344,0.20318960425280566
v0-static,1,109,87,0.7981651376146789
v0-static,2,109,60,0.5504587155963303
v0-static,3,109,50,0.45871559633027525
v0-static,4,109,50,0.45871559633027525
v0-static,5,109,36,0.3302752293577982
v0-static,6,109,28,0.25688073394495414
v0-static,7,109,27,0.24770642201834864
v0-static,8,109,29,0.26605504587155965
v0-static,9,109,26,0.23853211009174313
v0-static,10,109,21,0.1926605504587156
v0-static,11,109,35,0.3211009174311927
v0-static,12,109,22,0.2018348623853211
