candidate_id,as_of_date,days_since_signup,days_since_last_event,events_7d,events_14d,events_30d,events_90d,apply_30d,apply_90d,login_30d,distinct_event_types_30d,recency_trend_ratio,seniority_enc,city_tier_enc,channel_enc,device_enc,fairness_group,churned
C100011,2025-03-01,45,12,0,1,4,7,0,1,2,2,0.5,0,1,3,0,group_B,0
C100023,2025-03-01,19,10,0,3,3,3,1,1,1,3,0.25,1,0,2,0,group_A,0
C100045,2025-03-01,43,2,5,8,16,19,3,5,4,5,1.5,1,0,3,0,group_B,0
C100060,2025-03-01,16,4,2,3,4,4,1,1,0,3,1.5,0,1,0,0,group_B,1
C100063,2025-03-01,41,1,1,1,1,3,0,0,0,1,2.0,2,0,1,0,group_B,0
C100066,2025-03-01,7,7,0,0,0,0,0,0,0,0,0.0,2,2,1,0,group_A,0
C100080,2025-03-01,26,4,2,7,11,11,1,1,6,3,0.5,0,1,0,2,group_B,0
C100140,2025-03-01,49,1,4,6,11,22,2,2,4,5,1.6666666666666667,2,1,2,0,group_A,0
C100144,2025-03-01,55,3,1,3,3,6,1,1,1,3,0.6666666666666666,1,2,3,1,group_A,0
C100152,2025-03-01,14,1,4,8,8,8,3,3,3,4,1.0,1,1,0,0,group_A,0
C100160,2025-03-01,56,2,1,2,7,12,1,1,4,4,1.0,1,0,1,0,group_B,0
C100180,2025-03-01,25,1,1,1,3,3,0,0,1,2,2.0,0,0,1,1,group_A,0
C100194,2025-03-01,37,34,0,0,0,2,0,0,0,0,1.0,3,1,2,1,group_B,0
C100199,2025-03-01,38,3,2,3,5,7,2,2,2,3,1.5,1,1,2,2,group_A,0
C100201,2025-03-01,9,1,3,3,3,3,0,0,1,2,4.0,1,0,2,2,group_B,0
C100207,2025-03-01,42,6,2,3,9,12,0,0,4,4,1.5,1,0,0,2,group_A,0
C100263,2025-03-01,18,4,1,1,2,2,0,0,2,1,2.0,0,1,1,0,group_B,0
C100264,2025-03-01,53,0,2,3,5,11,0,1,2,3,1.5,1,0,0,2,group_B,0
C100273,2025-03-01,36,1,1,3,7,7,0,0,5,3,0.6666666666666666,0,1,2,2,group_B,0
C100285,2025-03-01,25,2,2,3,4,4,1,1,2,3,1.5,1,0,1,0,group_B,0
C100292,2025-03-01,33,3,1,1,1,2,0,0,0,1,2.0,0,1,0,0,group_A,1
C100318,2025-03-01,25,9,0,1,2,2,0,0,2,1,0.5,0,1,1,1,group_B,0
C100323,2025-03-01,13,4,2,4,4,4,0,0,2,2,1.0,3,1,2,0,group_B,0
C100324,2025-03-01,45,0,6,10,14,16,2,2,7,4,1.4,0,1,0,0,group_B,0
C100336,2025-03-01,38,11,0,2,6,6,3,3,1,4,0.3333333333333333,1,2,2,0,group_B,1
C100339,2025-03-01,33,10,0,1,6,6,0,0,4,2,0.5,0,0,2,2,group_B,0
C100344,2025-03-01,7,0,1,1,1,1,0,0,1,1,2.0,0,1,2,2,group_A,0
C100346,2025-03-01,54,3,1,1,4,17,1,5,2,3,2.0,3,0,0,1,group_A,0
C100347,2025-03-01,24,2,3,5,7,7,0,0,3,4,1.3333333333333333,2,0,0,0,group_A,0
C100354,2025-03-01,42,2,4,6,15,18,3,3,7,4,1.6666666666666667,2,0,1,2,group_A,0
C100355,2025-03-01,54,6,1,3,7,14,2,3,3,4,0.6666666666666666,0,0,3,0,group_A,0
C100381,2025-03-01,24,0,2,7,8,8,1,1,3,5,0.5,1,1,2,1,group_B,0
C100382,2025-03-01,30,0,8,10,20,20,1,1,6,6,3.0,1,2,2,0,group_A,0
C100400,2025-03-01,57,3,4,7,15,27,0,1,12,3,1.25,1,2,0,1,group_A,0
C100403,2025-03-01,43,1,2,3,9,14,4,4,4,3,1.5,0,1,0,2,group_A,0
C100408,2025-03-01,23,2,3,8,9,9,2,2,2,4,0.6666666666666666,0,0,0,1,group_A,0
C100416,2025-03-01,42,9,0,1,5,7,0,1,3,3,0.5,0,1,1,0,group_A,0
C100420,2025-03-01,19,2,3,4,4,4,2,2,1,3,2.0,0,2,2,2,group_B,0
C100437,2025-03-01,19,3,1,5,6,6,1,1,2,3,0.4,2,1,1,0,group_B,0
C100440,2025-03-01,44,0,2,2,7,11,2,3,5,2,3.0,2,1,0,0,group_A,0
C100447,2025-03-01,34,1,5,7,18,20,2,3,8,5,2.0,2,0,3,0,group_A,0
C100450,2025-03-01,37,5,1,2,7,10,0,1,2,3,1.0,1,0,0,2,group_B,0
C100451,2025-03-01,18,3,3,11,11,11,0,0,7,3,0.4444444444444444,1,1,2,2,group_B,0
C100465,2025-03-01,40,2,2,5,5,8,2,2,1,3,0.75,2,0,3,2,group_A,0
C100469,2025-03-01,22,1,3,5,5,5,3,3,1,3,1.3333333333333333,1,2,0,0,group_A,0
C100490,2025-03-01,22,3,2,7,10,10,0,0,1,4,0.5,1,0,0,2,group_B,0
C100498,2025-03-01,18,1,8,10,10,10,1,1,2,4,3.0,3,0,3,0,group_A,0
C100502,2025-03-01,38,0,3,5,15,18,1,1,10,4,1.3333333333333333,0,0,0,0,group_B,0
C100510,2025-03-01,56,8,0,1,4,4,0,0,1,2,0.5,3,0,3,1,group_A,0
C100514,2025-03-01,36,13,0,1,5,8,2,2,1,4,0.5,0,0,0,1,group_A,0
C100526,2025-03-01,17,16,0,0,1,1,1,1,0,1,1.0,0,2,0,1,group_B,0
C100528,2025-03-01,12,7,1,1,1,1,0,0,1,1,2.0,2,0,0,0,group_A,0
C100529,2025-03-01,15,0,2,4,4,4,1,1,1,3,1.0,1,1,0,2,group_B,0
C100554,2025-03-01,50,4,1,2,6,8,1,1,4,3,1.0,0,0,0,2,group_B,0
C100570,2025-03-01,31,5,2,4,8,8,1,1,4,3,1.0,0,0,1,1,group_B,0
C100576,2025-03-01,18,4,4,4,6,6,1,1,1,4,5.0,0,0,0,0,group_A,0
C100585,2025-03-01,18,0,2,3,4,4,1,1,1,4,1.5,0,1,1,0,group_A,0
C100593,2025-03-01,47,4,2,2,6,8,1,2,2,4,3.0,2,0,0,0,group_B,0
C100608,2025-03-01,41,2,3,4,7,7,1,1,3,4,2.0,1,0,2,1,group_A,0
C100639,2025-03-01,31,1,2,4,6,6,1,1,2,4,1.0,2,1,1,2,group_B,0
C100641,2025-03-01,13,2,3,4,4,4,1,1,3,2,2.0,2,2,0,0,group_A,0
C100648,2025-03-01,37,3,2,7,17,18,4,4,7,3,0.5,1,1,3,0,group_A,0
C100668,2025-03-01,14,4,1,3,3,3,1,1,0,2,0.6666666666666666,2,2,0,0,group_B,0
C100670,2025-03-01,33,0,3,4,8,8,2,2,1,5,2.0,2,0,0,2,group_A,0
C100679,2025-03-01,24,4,1,5,6,6,0,0,2,2,0.4,1,0,0,0,group_B,0
C100682,2025-03-01,37,6,1,1,3,4,0,0,2,2,2.0,0,0,2,1,group_A,0
C100683,2025-03-01,36,1,2,5,7,9,0,0,5,2,0.75,0,0,2,0,group_B,0
C100690,2025-03-01,57,3,2,6,9,12,1,1,4,4,0.6,2,1,2,0,group_B,0
C100692,2025-03-01,21,5,1,3,3,3,1,1,0,2,0.6666666666666666,0,0,2,0,group_A,0
C100693,2025-03-01,29,8,0,5,11,11,3,3,3,4,0.16666666666666666,0,0,3,0,group_A,0
C100714,2025-03-01,15,1,3,7,7,7,0,0,4,3,0.8,1,1,0,2,group_B,0
C100721,2025-03-01,21,0,4,5,7,7,0,0,5,3,2.5,1,0,2,0,group_A,0
