rank,candidate_id,risk_score,days_since_last_event,apply_30d,events_30d,reason_codes,suggested_lever,as_of_date,model_version
1,C105462,0.9303,107,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
2,C107370,0.9303,83,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
3,C100061,0.9303,162,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
4,C106137,0.9303,111,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.0); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
5,C105709,0.9303,49,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
6,C110811,0.9303,86,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.0); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
7,C103729,0.9302,127,0,0,activity in the last 90 days is lower than typical (z=-1.3); activity in the last 30 days is lower than typical (z=-1.2); account age is higher than typical (z=1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
8,C104358,0.9301,127,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
9,C105336,0.9301,48,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
10,C102708,0.9301,107,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.0); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
11,C101203,0.9301,83,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
12,C104914,0.9301,82,0,0,account age is higher than typical (z=2.4); activity in the last 90 days is lower than typical (z=-1.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
13,C108197,0.9301,58,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.7); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
14,C104177,0.9301,102,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
15,C111255,0.9301,81,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.3); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
16,C104907,0.9301,154,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
17,C110708,0.9301,90,0,0,account age is higher than typical (z=2.4); activity in the last 90 days is lower than typical (z=-1.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
18,C107009,0.9301,50,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.9); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
19,C104214,0.9301,49,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.6); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
20,C104083,0.9301,97,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.5); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
21,C104554,0.9301,54,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
22,C110335,0.9301,117,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.2); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
23,C111984,0.9301,71,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.6); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
24,C106206,0.9301,74,0,0,activity in the last 90 days is lower than typical (z=-1.1); account age is higher than typical (z=1.8); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
25,C105022,0.9301,59,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=1.6); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
26,C101035,0.9301,94,0,0,activity in the last 90 days is lower than typical (z=-1.3); account age is higher than typical (z=2.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
27,C103361,0.9301,57,0,0,activity in the last 90 days is lower than typical (z=-1.2); account age is higher than typical (z=2.1); activity in the last 30 days is lower than typical (z=-1.2),Re-engagement push notification / email,2026-01-10,churn_model_v1
