student_id,assessment_id,subject,difficulty_level,student_skill_level,time_spent_minutes,study_sessions_count,study_hours_mean,study_hours_variance,days_since_last_study,previous_scores_avg,previous_scores_trend,questions_attempted,questions_correct,assessment_score,passed
8270,263,English,3,9,97.4,7,2.258,0.3479,2.7,80.06,-0.3911,48,38,99.2,1
1860,475,Mathematics,1,2,80.7,6,1.875,0.2312,6.4,54.06,5.4248,19,8,51.7,0
6390,752,English,3,8,,4,2.342,0.3773,3.5,72.47,-3.2471,38,20,83.6,1
6191,367,Science,3,9,50.2,11,2.332,0.1961,9.7,68.13,-1.2901,50,42,99.9,1
6734,648,English,2,2,86.2,8,1.844,0.1019,4.2,49.96,-1.4298,19,9,70.7,1
7265,173,Mathematics,4,9,27.4,7,2.54,0.0776,5.0,81.21,-3.134,14,10,83.1,1
1466,607,Mathematics,5,7,102.4,6,2.288,0.3422,7.7,72.79,-1.0793,45,31,65.4,1
5426,172,Science,3,9,59.0,3,1.799,0.0433,0.7,82.11,9.3052,22,13,87.6,1
6578,407,Mathematics,5,6,73.4,5,2.047,0.1171,4.4,63.89,-0.5805,34,19,55.1,0
9322,298,History,2,2,49.0,6,1.812,0.227,0.4,44.14,-1.7515,20,5,49.6,0
2685,229,Computer Science,1,8,48.6,3,2.183,0.4036,1.5,69.83,2.6051,13,9,80.7,1
1769,857,English,3,10,37.0,5,1.954,0.1687,1.2,82.12,-7.257,42,35,90.6,1
7949,923,History,4,9,98.4,8,2.196,0.1684,4.2,73.74,-5.0704,25,17,83.9,1
3433,671,English,2,8,74.8,6,2.204,0.2835,9.3,69.9,-1.7113,48,26,84.2,1
6311,890,History,5,2,35.8,7,1.527,0.3116,0.7,47.63,2.2037,50,10,38.9,0
6051,714,English,1,8,77.6,4,2.263,0.0018,7.3,67.58,6.8864,49,35,100.0,1
7420,907,Science,5,3,83.5,3,1.3,0.2345,0.8,48.77,0.9043,42,15,49.8,0
2184,931,Mathematics,4,3,87.0,8,1.483,0.0959,1.1,52.15,0.962,25,9,57.9,0
5555,586,Mathematics,3,9,67.0,1,2.855,0.0,12.4,74.97,0.158,23,17,86.7,1
4385,952,Science,4,9,64.3,5,2.316,0.0735,0.0,80.86,1.4285,24,13,97.1,1
7396,250,History,5,9,36.7,6,2.238,0.126,1.1,73.82,-2.1114,45,25,80.2,1
9666,768,Computer Science,5,4,93.3,5,1.579,0.2515,1.2,54.44,-2.0491,45,17,62.2,1
3558,305,History,4,7,76.7,5,2.044,0.2037,1.7,76.28,-5.5774,49,28,81.3,1
8849,278,Mathematics,4,8,84.7,5,2.296,0.2297,2.3,69.42,1.4512,41,28,68.3,1
3047,296,Computer Science,4,5,12.9,5,1.623,0.3464,0.5,63.05,1.7961,31,11,43.7,0
3747,834,English,1,1,83.9,6,1.256,0.4268,3.2,38.05,-1.4464,11,3,39.2,0
1189,188,Computer Science,5,9,60.6,5,2.147,0.1107,2.5,76.39,0.0131,18,11,74.8,1
3734,898,History,2,6,80.7,5,1.93,0.0674,4.9,63.18,0.3002,37,27,70.6,1
4005,533,Science,1,3,30.1,8,2.01,0.1251,10.1,50.31,2.056,18,7,81.5,1
5658,887,English,1,3,105.3,3,2.005,0.05,1.8,53.86,0.8107,49,22,65.6,1
2899,847,History,1,10,43.7,5,2.47,0.0436,4.0,86.87,0.8999,43,36,100.0,1
8734,282,English,2,1,88.8,3,1.46,0.1527,2.3,42.91,-0.0896,10,3,36.4,0
2267,308,Computer Science,4,8,54.9,3,2.371,0.3383,0.2,71.12,1.5079,36,24,80.3,1
2528,592,Mathematics,5,2,106.3,7,1.367,0.2939,8.6,46.67,-0.3695,19,3,25.4,0
4556,229,History,3,1,67.4,4,1.833,0.0434,5.0,41.12,1.0718,26,7,40.6,0
4890,764,Science,3,7,107.1,4,1.829,0.0499,0.0,72.05,2.599,12,6,67.1,1
9838,112,Computer Science,5,9,58.2,2,2.871,0.1543,1.4,79.13,-0.0825,25,16,82.2,1
6393,733,History,2,6,32.2,6,2.351,0.0844,1.8,60.68,-1.6817,27,17,86.7,1
9792,970,Science,3,8,67.4,3,2.159,0.0265,8.3,69.13,4.3035,35,26,73.1,1
9433,831,History,1,8,56.7,7,2.145,0.2503,7.2,73.26,-0.1868,25,21,98.6,1
8513,205,Computer Science,3,9,44.9,7,1.825,0.4102,2.5,78.01,-4.5034,27,21,94.8,1
3612,474,History,5,7,91.1,8,2.307,0.1064,0.9,72.39,6.4074,18,8,83.3,1
8041,681,English,1,9,26.2,6,2.292,0.0429,2.4,76.39,3.3854,22,21,100.0,1
7235,806,Computer Science,3,9,107.8,7,2.278,0.0936,8.3,70.29,5.6096,36,21,89.7,1
6486,797,History,5,1,55.4,4,1.524,0.6243,3.0,44.41,0.7005,21,6,44.0,0
8099,198,Mathematics,2,6,25.9,7,2.338,0.0214,0.6,62.9,4.5198,39,21,74.4,1
1775,693,History,5,8,69.7,2,2.489,0.1809,0.2,71.67,0.4932,41,26,77.7,1
9226,686,English,2,10,64.6,5,2.923,0.3188,2.0,80.15,1.3602,14,12,100.0,1
4152,985,Science,1,9,56.2,3,2.289,0.2621,0.8,79.04,1.1447,43,34,97.9,1
2585,951,Science,5,4,44.3,7,1.938,0.0895,,49.95,7.3385,21,6,57.2,0
4943,291,Science,4,2,92.9,5,1.596,0.0372,1.6,43.35,-0.2847,33,7,52.0,0
8555,424,Mathematics,4,9,73.5,7,2.662,0.3685,10.5,74.21,-3.6456,42,24,74.9,1
4073,825,English,4,9,47.9,9,2.632,0.1325,4.8,74.37,1.2105,11,7,72.8,1
2021,926,Computer Science,4,8,70.0,6,2.389,0.0544,2.5,65.27,-1.9363,45,22,74.2,1
4843,566,Science,4,3,40.5,5,1.916,0.3652,4.7,47.04,-1.5906,15,7,53.8,0
8989,993,English,2,5,84.5,7,2.072,0.4668,1.7,,1.0392,50,31,79.3,1
7873,466,History,5,2,112.4,1,0.969,0.0,0.8,47.08,4.8486,41,10,34.7,0
6675,417,Mathematics,1,3,87.7,3,2.414,0.0292,16.6,49.1,2.1683,43,21,50.6,0
1161,243,English,4,1,43.5,3,1.474,0.0565,4.1,40.73,-0.8992,35,13,35.0,0
5297,483,English,4,4,35.9,11,1.806,0.0954,0.0,56.46,1.1513,42,19,65.3,1
1995,315,Computer Science,1,5,62.5,4,1.681,0.0816,1.9,61.61,-1.4938,11,6,93.2,1
8629,460,English,1,2,19.8,2,1.762,0.3464,0.9,46.66,1.1791,23,10,65.9,1
2016,423,Computer Science,4,3,82.9,5,1.934,0.3672,1.5,54.78,0.5217,46,20,53.5,0
8869,114,Mathematics,2,6,76.6,7,1.975,0.3123,0.3,63.99,2.8284,24,15,83.8,1
7439,316,Mathematics,1,6,56.2,2,1.492,0.048,1.4,63.12,-4.9122,26,16,74.0,1
8892,591,History,5,7,52.7,5,2.499,0.491,5.7,72.09,-5.8127,37,20,59.3,0
7863,646,Computer Science,5,9,57.2,2,2.539,1.0515,8.6,71.34,-0.9061,31,20,72.2,1
8916,282,Computer Science,2,4,,1,2.329,0.0,2.1,57.71,-2.3837,50,27,63.9,1
9529,369,Science,3,5,,6,2.287,0.1445,3.7,60.86,2.9237,29,11,72.4,1
1878,566,Science,2,2,30.1,4,1.939,0.1342,0.2,51.84,1.3142,37,13,49.2,0
5887,969,History,4,6,40.5,7,1.862,0.1942,0.5,61.47,1.1145,28,15,74.5,1
5859,711,Mathematics,3,4,84.7,7,1.82,0.1371,4.0,58.17,-0.7622,28,9,64.7,1
7331,618,Science,4,5,36.0,6,2.063,0.0425,9.2,65.71,3.7351,13,5,52.6,0
9571,641,English,5,7,90.0,6,2.107,0.0788,0.5,66.67,-6.0526,16,7,77.2,1
