Job ID,Company Name,Role,Required Skills,Minimum Skill Scores,Minimum CGPA,Experience Requirement
1001,Startup_10,Research Scientist,"ML,Python","60,63",7.9,2
1002,Corp_8,ML Engineer,"Python,ML","67,82",7.5,1
1003,TechCompany_13,Research Scientist,"Python,ML,SQL","73,63,89",6.5,2
1004,TechCompany_10,ML Engineer,"Python,ML","62,67",6.7,3
1005,TechCompany_4,Data Scientist,"SQL,ML","72,72",7.9,0
1006,TechCompany_8,Python Developer,Python,88,6.7,1
1007,TechCompany_20,Python Developer,Python,75,7.9,0
1008,Startup_6,Research Scientist,"ML,SQL,Python","82,61,69",7.0,1
1009,Corp_9,Data Scientist,"SQL,ML","87,61",6.6,0
1010,TechCompany_17,Data Engineer,"Python,ML","83,74",6.9,1
1011,Corp_7,Research Scientist,"ML,SQL","66,62",8.1,1
1012,TechCompany_3,Data Engineer,"SQL,ML","83,89",7.0,1
1013,TechCompany_12,ML Engineer,"Python,ML","88,66",7.5,0
1014,Startup_8,Data Engineer,"Python,SQL,ML","76,68,89",8.5,0
1015,Startup_2,Python Developer,Python,78,7.2,0
1016,TechCompany_7,ML Engineer,"Python,ML","84,81",6.9,2
1017,TechCompany_11,AI Specialist,"Python,ML","82,89",7.4,3
1018,Startup_7,ML Engineer,"Python,ML","67,81",6.6,3
1019,Corp_2,Research Scientist,"ML,SQL,Python","77,73,77",7.9,3
1020,TechCompany_6,Python Developer,Python,80,8.1,1
1021,TechCompany_17,ML Engineer,"Python,ML","89,63",6.8,2
1022,TechCompany_8,ML Engineer,"Python,ML","67,77",7.3,2
1023,Startup_6,AI Specialist,"Python,ML","73,61",6.8,1
1024,Corp_3,AI Specialist,"Python,ML","70,68",8.0,2
1025,TechCompany_1,AI Specialist,"Python,ML","84,76",7.5,1
1026,Corp_5,Research Scientist,"SQL,Python,ML","77,81,65",8.3,3
1027,Startup_4,Data Engineer,"ML,SQL,Python","77,67,68",7.2,3
1028,TechCompany_18,Data Analyst,"Python,SQL","84,88",8.4,0
1029,Startup_9,ML Engineer,"Python,ML","60,70",7.0,2
1030,Corp_2,Research Scientist,"Python,ML","61,71",7.6,1
1031,TechCompany_11,Research Scientist,"ML,Python,SQL","74,78,72",7.3,1
1032,TechCompany_15,Data Scientist,"SQL,Python","75,83",8.4,0
1033,TechCompany_10,Research Scientist,"ML,SQL,Python","76,85,82",7.5,0
1034,Corp_1,Python Developer,Python,87,7.8,3
1035,TechCompany_16,Python Developer,Python,82,6.5,2
1036,Corp_6,Python Developer,Python,80,7.9,0
1037,Startup_5,Data Analyst,SQL,64,8.4,3
1038,Corp_3,Data Engineer,"Python,SQL","70,76",7.9,0
1039,Startup_7,AI Specialist,"Python,ML","89,68",6.7,2
1040,Corp_3,ML Engineer,"Python,ML","78,71",8.5,0
1041,TechCompany_1,ML Engineer,"Python,ML","64,81",8.4,3
1042,TechCompany_20,ML Engineer,"Python,ML","68,62",7.4,1
1043,Corp_8,AI Specialist,"Python,ML","73,62",7.2,3
1044,Corp_2,Data Engineer,"SQL,ML","66,68",6.9,0
1045,Startup_2,ML Engineer,"Python,ML","72,63",8.2,3
1046,Corp_5,Data Engineer,"SQL,ML,Python","68,68,65",7.4,3
1047,TechCompany_16,Research Scientist,"Python,SQL,ML","81,60,63",7.9,0
1048,Corp_1,ML Engineer,"Python,ML","72,61",7.3,3
1049,Startup_5,Research Scientist,"ML,Python,SQL","66,63,77",8.0,1
1050,TechCompany_9,Data Scientist,"Python,SQL,ML","71,71,80",7.9,1
1051,Startup_10,Data Engineer,"ML,Python","81,60",8.3,3
1052,TechCompany_10,Python Developer,Python,70,7.2,0
1053,Corp_1,Data Scientist,"SQL,ML,Python","76,81,81",7.5,3
1054,Startup_2,AI Specialist,"Python,ML","74,80",7.9,0
1055,Corp_5,AI Specialist,"Python,ML","64,65",7.2,1
1056,Startup_1,Python Developer,Python,76,6.7,1
1057,Corp_2,Research Scientist,"ML,Python","62,84",8.0,1
1058,TechCompany_19,Data Analyst,"Python,SQL","76,71",7.7,3
1059,TechCompany_6,Research Scientist,"Python,ML,SQL","88,70,84",8.4,3
1060,TechCompany_20,Data Analyst,"Python,SQL","85,65",8.0,2
1061,Startup_1,Data Scientist,"SQL,ML","87,75",8.0,3
1062,Startup_8,ML Engineer,"Python,ML","87,85",8.2,1
1063,TechCompany_16,Data Analyst,"Python,SQL","80,69",8.0,1
1064,TechCompany_12,Data Engineer,"Python,ML","68,61",6.9,2
1065,Startup_5,Data Engineer,"SQL,Python","80,84",8.0,1
1066,Startup_10,Data Analyst,"Python,SQL","66,79",7.8,3
1067,TechCompany_17,Python Developer,Python,75,7.6,0
1068,TechCompany_1,Research Scientist,"SQL,Python,ML","63,72,66",8.3,2
1069,Startup_3,Python Developer,Python,68,7.6,3
1070,TechCompany_20,Data Engineer,"ML,SQL,Python","60,82,84",7.1,0
1071,TechCompany_20,AI Specialist,"Python,ML","81,86",7.1,2
1072,Startup_5,Data Analyst,"Python,SQL","88,68",8.4,1
1073,TechCompany_16,Data Scientist,"ML,SQL,Python","87,72,74",6.6,3
1074,TechCompany_19,Research Scientist,"ML,SQL","85,63",8.4,0
1075,TechCompany_1,ML Engineer,"Python,ML","82,64",7.6,3
1076,TechCompany_4,Data Engineer,"SQL,Python,ML","77,70,74",7.6,1
1077,TechCompany_13,Data Analyst,"Python,SQL","68,76",7.0,3
1078,TechCompany_9,Research Scientist,"ML,Python","66,69",8.3,0
1079,Startup_9,ML Engineer,"Python,ML","69,86",7.7,2
1080,Corp_8,Data Scientist,"ML,Python,SQL","72,80,67",7.8,2
1081,Startup_1,ML Engineer,"Python,ML","87,70",7.0,0
1082,Startup_7,Research Scientist,"Python,ML","74,79",7.2,1
1083,Corp_5,AI Specialist,"Python,ML","87,84",8.3,0
1084,Corp_4,ML Engineer,"Python,ML","73,77",7.9,1
1085,TechCompany_18,Data Engineer,"SQL,ML","64,79",7.8,2
1086,TechCompany_19,AI Specialist,"Python,ML","83,81",7.3,1
1087,Startup_2,Research Scientist,"SQL,Python","86,61",7.0,0
1088,TechCompany_15,Data Analyst,"Python,SQL","85,80",8.4,1
1089,Startup_6,Research Scientist,"Python,SQL,ML","65,89,81",8.0,1
1090,Corp_5,ML Engineer,"Python,ML","69,73",7.4,1
1091,Startup_10,Data Scientist,"ML,SQL,Python","62,89,65",7.4,3
1092,Startup_4,AI Specialist,"Python,ML","72,70",7.8,0
1093,TechCompany_15,Data Scientist,"Python,SQL,ML","75,70,72",7.6,2
1094,TechCompany_5,Research Scientist,"ML,SQL,Python","87,71,65",6.7,3
1095,TechCompany_9,Data Scientist,"Python,SQL","62,87",8.5,3
1096,TechCompany_8,Python Developer,Python,86,8.5,0
1097,TechCompany_16,Data Scientist,"SQL,ML","71,70",7.4,1
1098,Corp_5,ML Engineer,"Python,ML","78,82",6.6,1
1099,Corp_8,Python Developer,Python,77,8.5,3
1100,TechCompany_10,Research Scientist,"ML,Python,SQL","71,78,88",8.3,1
