job_id,python_threshold,machine_learning_threshold,sql_threshold,data_analysis_threshold,communication_threshold
1,58,69,75,94,65
2,58,62,67,47,62
3,38,61,63,67,72
4,60,49,61,52,81
5,75,30,66,46,100
6,45,32,63,59,82
7,80,69,44,62,87
8,72,55,60,100,62
9,53,52,43,57,54
10,62,46,61,43,70
11,88,48,52,64,71
12,76,75,98,28,53
13,65,48,59,58,67
14,61,28,38,60,75
15,66,69,57,71,75
16,57,50,67,74,77
17,33,55,85,52,74
18,95,87,51,57,62
19,67,54,36,48,62
20,70,60,72,43,52
21,64,31,39,64,96
22,53,50,53,40,70
23,62,67,56,53,66
24,41,23,58,45,56
25,99,59,70,68,100
26,46,57,49,87,53
27,49,55,55,40,63
28,58,75,59,32,76
29,84,61,62,58,79
30,65,84,61,60,84
31,46,35,66,63,97
32,83,57,72,53,77
33,75,56,65,56,54
34,73,33,66,65,66
35,75,74,36,75,74
36,100,100,60,30,100
37,97,54,67,54,49
38,54,65,70,63,88
39,89,56,49,46,72
40,70,40,50,85,82
41,72,18,51,50,68
42,39,40,68,59,57
43,62,27,75,68,81
44,52,89,53,51,79
45,77,52,73,32,84
46,81,48,61,53,69
47,33,72,58,75,61
48,64,32,56,54,46
49,81,39,71,47,82
50,62,56,64,73,76
