student_id,python,machine_learning,sql,data_analysis,communication
1,77,87,68,30,69
2,67,78,73,49,79
3,79,61,67,57,80
4,92,47,71,98,85
5,66,73,56,75,63
6,66,67,77,40,87
7,93,77,75,73,47
8,81,72,66,37,72
9,62,80,81,84,74
10,78,49,84,56,87
11,63,86,58,63,80
12,63,63,67,88,63
13,73,100,67,41,68
14,41,46,65,39,82
15,44,94,83,54,79
16,61,63,73,83,73
17,54,46,72,37,74
18,74,50,54,14,88
19,56,53,81,56,73
20,48,68,62,74,78
21,91,70,75,86,100
22,66,48,77,56,62
23,71,59,88,57,57
24,48,100,61,85,89
25,61,94,44,31,71
26,71,68,76,58,76
27,52,60,93,68,70
28,75,62,87,73,76
29,60,72,77,55,99
30,65,39,70,65,89
31,60,54,83,20,90
32,97,26,65,53,63
33,69,67,79,73,66
34,54,72,80,47,45
35,82,50,85,66,70
36,51,91,100,73,91
37,73,35,78,58,86
38,40,30,69,68,77
39,50,64,74,47,79
40,72,80,57,61,71
41,81,93,68,75,82
42,72,50,70,67,89
43,68,81,69,54,60
44,65,59,76,69,83
45,47,56,66,77,91
46,59,77,86,28,75
47,63,73,75,85,88
48,85,28,74,58,100
49,75,89,71,72,78
50,43,87,76,86,84
51,74,47,83,40,71
52,64,67,66,52,82
53,59,69,68,59,85
54,79,65,71,50,82
55,85,48,61,96,67
56,83,46,66,49,82
57,57,59,70,55,97
58,65,83,83,68,85
59,74,70,77,43,91
60,84,52,76,57,77
61,62,75,83,70,88
62,67,3,73,59,83
63,53,82,78,63,68
64,52,25,73,55,83
65,82,52,77,37,68
66,90,37,69,70,72
67,68,34,50,96,82
68,85,83,73,65,83
69,75,50,89,69,65
70,60,66,84,77,92
71,75,59,84,42,86
72,93,69,87,95,71
73,69,61,75,68,61
74,93,34,76,94,78
75,30,79,68,51,74
76,82,50,71,97,81
77,71,28,81,78,75
78,65,51,87,74,55
79,71,90,73,69,75
80,40,77,70,60,76
81,66,53,75,86,87
82,75,53,81,67,71
83,92,53,60,29,100
84,62,100,52,44,57
85,57,67,69,61,95
86,62,68,62,70,77
87,83,80,69,63,90
88,74,64,73,86,80
89,62,54,70,29,93
90,77,56,89,67,75
91,71,58,78,32,66
92,84,59,78,78,97
93,59,74,81,63,78
94,65,61,63,72,82
95,64,74,85,49,94
96,48,58,74,88,67
97,74,61,81,83,87
98,73,20,64,75,72
99,70,78,59,62,78
100,66,66,83,75,80
101,48,79,78,52,61
102,63,2,65,80,70
103,64,100,66,94,96
104,57,57,86,84,90
105,67,82,63,51,79
106,76,39,91,71,82
107,98,72,65,41,76
108,72,38,81,75,96
109,73,47,71,73,77
110,68,98,81,31,82
111,41,56,69,44,93
112,69,64,73,59,70
113,70,77,75,59,98
114,100,69,64,43,61
115,67,63,82,72,99
116,74,67,69,69,75
117,69,100,72,61,77
118,52,58,65,51,57
119,87,64,49,83,74
120,81,81,73,94,67
121,81,82,99,56,72
122,56,83,82,53,78
123,91,72,74,73,91
124,48,37,72,58,82
125,78,92,75,62,83
126,100,37,80,78,66
127,55,66,63,30,69
128,61,44,86,88,100
129,71,58,82,66,71
130,62,66,82,57,99
131,46,66,79,63,77
132,71,68,75,64,80
133,54,92,81,33,92
134,77,69,80,91,95
135,56,55,71,65,78
136,93,79,69,72,75
137,58,83,76,82,79
138,65,35,90,46,84
139,82,71,62,73,90
140,51,74,60,60,80
141,73,54,76,80,87
142,89,87,75,26,99
143,45,56,76,63,84
144,72,62,77,54,83
145,73,56,72,72,61
146,81,60,89,73,48
147,51,38,58,52,84
148,50,31,66,52,78
149,77,91,73,63,73
150,74,43,58,48,82
151,73,40,73,80,79
152,75,16,91,58,93
153,59,47,75,12,81
154,73,33,77,58,71
155,74,92,62,46,91
156,59,80,68,35,77
157,97,46,71,42,86
158,77,100,71,66,74
159,52,79,87,88,72
160,79,53,80,70,81
161,55,10,63,54,80
162,81,100,77,73,85
163,87,32,79,56,76
164,57,27,86,52,57
165,84,80,90,44,74
166,76,100,64,33,89
167,82,87,66,57,76
168,98,71,62,67,77
169,66,71,72,63,91
170,58,77,79,57,71
171,56,75,84,47,61
172,57,65,74,75,78
173,68,62,71,41,74
174,75,58,76,78,68
175,74,44,66,46,77
176,82,54,95,51,85
177,70,26,58,38,79
178,91,58,76,55,83
179,66,40,95,82,100
180,100,37,75,74,75
181,79,63,73,82,83
182,57,87,71,74,73
183,53,78,73,45,69
184,77,28,88,59,72
185,66,40,52,50,74
186,80,78,90,88,84
187,77,40,60,43,100
188,68,55,72,81,71
189,57,71,70,81,75
190,47,40,80,97,79
191,63,62,59,57,84
192,82,33,79,77,83
193,73,47,95,100,95
194,51,66,61,53,50
195,72,28,76,37,51
196,75,68,68,31,74
197,56,59,79,77,93
198,72,71,75,31,61
199,70,64,68,58,43
200,52,87,79,72,86
201,75,62,93,68,82
202,78,51,73,72,66
203,86,62,82,69,68
204,85,70,62,88,68
205,49,60,65,47,81
206,55,60,79,52,72
207,77,45,89,51,85
208,77,46,78,79,45
209,77,31,71,81,69
210,100,94,74,73,66
211,78,35,62,86,76
212,87,46,81,43,73
213,84,45,83,95,89
214,79,77,70,92,57
215,65,54,70,78,80
216,81,84,77,97,86
217,58,46,70,35,100
218,66,65,74,55,74
219,62,43,95,51,83
220,71,100,72,77,58
221,100,36,71,46,51
222,41,66,68,78,90
223,80,72,82,89,79
224,45,68,73,77,94
225,62,56,68,70,63
226,86,57,88,47,86
227,70,60,89,49,100
228,53,57,68,87,85
229,59,79,56,79,83
230,80,100,85,64,80
231,59,48,68,57,61
232,73,32,82,28,96
233,70,58,55,45,72
234,60,100,83,99,86
235,100,43,62,41,61
236,79,92,82,68,65
237,39,93,75,83,97
238,72,48,65,42,75
239,60,71,70,68,97
240,82,92,81,81,79
241,58,52,76,65,57
242,68,55,80,100,90
243,77,48,94,34,72
244,82,39,59,84,88
245,51,47,91,61,80
246,64,35,76,78,61
247,62,60,66,72,81
248,60,44,61,51,100
249,96,64,73,69,85
250,76,28,84,31,79
251,51,66,73,75,92
252,83,76,90,70,82
253,100,20,60,76,82
254,85,67,74,84,66
255,47,84,62,71,82
256,62,35,78,67,92
257,89,93,83,49,69
258,59,68,70,52,97
259,76,45,48,86,78
260,81,58,76,90,69
261,56,71,79,60,91
262,69,61,79,65,76
263,21,70,87,48,89
264,54,41,64,86,76
265,66,63,81,76,79
266,51,31,86,99,85
267,94,57,57,49,83
268,48,41,78,58,56
269,63,45,69,69,66
270,71,84,74,76,91
271,91,81,78,61,78
272,48,72,70,49,73
273,87,38,68,80,63
274,70,53,75,77,67
275,55,84,64,48,55
276,76,62,64,89,78
277,72,100,81,86,72
278,60,67,63,67,68
279,71,63,81,66,79
280,64,53,79,74,84
281,71,62,57,49,100
282,79,56,68,65,61
283,93,74,86,26,93
284,51,79,65,80,91
285,100,44,70,36,70
286,40,33,79,92,82
287,67,23,82,59,74
288,78,70,72,61,82
289,74,37,69,53,98
290,60,16,89,59,87
291,66,67,92,90,86
292,62,100,84,20,74
293,61,59,75,87,62
294,82,76,66,71,77
295,75,61,66,43,94
296,59,58,80,45,61
297,83,78,79,95,67
298,74,54,89,47,81
299,82,65,81,44,68
300,79,66,59,85,70
301,57,46,85,71,74
302,61,79,65,48,63
303,81,56,71,68,68
304,79,44,77,46,88
305,69,70,94,84,64
306,71,42,100,84,60
307,89,60,81,74,72
308,61,59,73,71,88
309,78,81,80,96,77
310,66,69,83,64,74
311,66,59,71,43,80
312,86,76,92,73,59
313,82,87,77,100,85
314,82,71,79,46,84
315,89,60,81,58,75
316,70,33,79,72,92
317,80,38,83,64,66
318,65,53,68,47,93
319,74,47,69,85,81
320,68,56,63,100,75
321,71,61,79,68,79
322,78,70,82,48,78
323,57,58,79,37,94
324,100,69,91,69,67
325,54,61,74,84,70
326,51,20,81,73,92
327,87,41,64,64,72
328,81,57,71,54,90
329,79,35,81,45,100
330,79,71,83,80,75
331,69,90,72,81,88
332,56,84,74,37,66
333,71,55,59,93,89
334,59,89,71,75,82
335,84,62,83,90,85
336,67,53,80,40,72
337,57,47,80,40,60
338,65,53,75,62,86
339,76,52,75,74,55
340,61,63,68,97,76
341,57,63,81,77,91
342,73,60,79,60,82
343,73,68,79,46,100
344,62,83,69,87,92
345,62,78,53,47,72
346,73,30,85,94,80
347,48,8,70,59,79
348,48,78,66,93,61
349,59,32,81,77,68
350,66,55,71,62,73
351,74,36,85,55,55
352,92,23,81,58,80
353,82,70,81,72,77
354,67,75,61,66,59
355,69,48,87,54,84
356,54,8,77,62,88
357,69,49,71,66,82
358,65,67,76,26,76
359,74,30,57,73,87
360,57,63,79,47,88
361,77,59,64,44,83
362,92,71,61,34,70
363,68,62,59,32,83
364,76,40,86,40,94
365,80,83,68,52,72
366,63,56,90,100,100
367,73,59,69,55,73
368,70,41,57,68,80
369,71,51,63,72,71
370,58,42,87,67,82
371,70,56,73,63,59
372,77,94,69,43,73
373,91,32,76,91,66
374,84,27,80,97,81
