student_id,job_id,successful_match
S00386,J00983,0
S00667,J00996,0
S03868,J00748,0
S02352,J00035,1
S03788,J00501,0
S01675,J00897,0
S04592,J00695,0
S00619,J00419,1
S02850,J00549,0
S00861,J00739,1
S02984,J00346,0
S02118,J00790,0
S02022,J00377,0
S02268,J00749,0
S01026,J00899,0
S04332,J00983,1
S01495,J00025,0
S00015,J00904,0
S03154,J00381,0
S01212,J00068,0
S04025,J00180,0
S04746,J00509,0
S01939,J00349,0
S02096,J00996,0
S00443,J00778,0
S03525,J00145,1
S03166,J00668,0
S04350,J00630,1
S03044,J00750,0
S01037,J00846,0
S03350,J00316,0
S04895,J00113,0
S04208,J00640,0
S01152,J00529,1
S02824,J00893,0
S03740,J00037,1
S01655,J00294,0
S03250,J00222,0
S03721,J00670,0
S00495,J00138,0
S02543,J00114,1
S02208,J00293,1
S02697,J00752,0
S00085,J00146,1
S02359,J00037,1
S03957,J00250,0
S04552,J00311,0
S04523,J00952,0
S01356,J00365,0
S04695,J00185,0
S00236,J00032,0
S01207,J00561,1
S02583,J00626,0
S02986,J00069,0
S01265,J00012,1
S03027,J00486,1
S02308,J00838,1
S03999,J00162,0
S00801,J00374,0
S00012,J00363,0
S04270,J00928,1
S04104,J00568,1
S00616,J00718,0
S02191,J00602,0
S01913,J00519,1
S03959,J00662,0
S01978,J00333,1
S04129,J00429,1
S02103,J00772,0
S01237,J00720,0
S02258,J00150,1
S03568,J00898,0
S01074,J00023,0
S02997,J00378,0
S01207,J00674,0
S00610,J00205,0
S00422,J00924,1
S04964,J00010,0
S04140,J00257,1
S00204,J00728,0
S01950,J00183,0
S00862,J00691,1
S04720,J00428,0
S01495,J00476,1
S02414,J00887,1
S02704,J00251,0
S01681,J00661,1
S04658,J00479,1
S01130,J00530,1
S01793,J00771,0
S01738,J00893,0
S02566,J00448,0
S03337,J00126,1
S01734,J00237,0
S00967,J00287,0
S03154,J00550,1
S01860,J00746,1
S04862,J00785,0
S01492,J00529,0
S02053,J00244,0
S03171,J00146,0
S01980,J00080,0
S00710,J00779,1
S02558,J00701,1
S00368,J00646,1
S02223,J00603,0
S00385,J00368,1
S03296,J00145,0
S00712,J00209,0
S04742,J00072,1
S00275,J00183,0
S03607,J00350,1
S01088,J00610,0
S04421,J00277,0
S03646,J00548,1
S04229,J00381,1
S00413,J00056,0
S02367,J00122,0
S02444,J00668,0
S03263,J00431,0
S02845,J00244,0
S00248,J00200,0
S01550,J00893,0
S03118,J00960,0
S01697,J00237,1
S02854,J00137,1
S00061,J00253,1
S04704,J00331,0
S04573,J00174,0
S04393,J00004,0
S01018,J00068,0
S03895,J00829,0
S04227,J00859,0
S03092,J00027,0
S00727,J00066,0
S04960,J00185,0
S04252,J00409,0
S04239,J00127,0
S04670,J00465,1
S01177,J00114,0
S00155,J00623,0
S03352,J00560,0
S01055,J00352,0
S04632,J00490,0
S04005,J00865,0
S00343,J00472,0
S02079,J00609,0
S00750,J00301,0
S04962,J00613,1
S00046,J00100,1
S01301,J00753,0
S02704,J00981,0
S03829,J00330,0
S00743,J00640,0
S01833,J00476,0
S04864,J00602,0
S02998,J00199,0
S00934,J00135,1
S03213,J00400,0
S04766,J00914,0
S04010,J00158,0
S00017,J00752,0
S01792,J00966,0
S00165,J00247,0
S03610,J00982,0
S02246,J00220,0
S01946,J00012,0
S02555,J00526,0
S03507,J00879,0
S03238,J00769,1
S00627,J00924,0
S00900,J00024,1
S00681,J00485,1
S01939,J00940,1
S02316,J00958,0
S01011,J00792,1
S03717,J00829,0
S04400,J00249,0
S04609,J00905,1
S02586,J00923,0
S00184,J00721,0
S03841,J00582,0
S02708,J00669,0
S03540,J00937,0
S02567,J00261,0
S03939,J00065,0
S00223,J00523,0
S01644,J00589,0
S02339,J00524,0
S04837,J00423,0
S04808,J00323,0
S04037,J00277,0
S03114,J00801,0
S03767,J00385,1
S04023,J00354,0
S01970,J00558,0
S04407,J00449,1
S02235,J00813,0
S01698,J00564,0
S03303,J00738,1
S04235,J00299,0
S04382,J00105,0
S00514,J00243,0
S00574,J00077,1
S04063,J00252,1
S02983,J00130,0
S01248,J00788,0
S00006,J00914,0
S04771,J00231,0
S02852,J00600,0
S02529,J00794,0
S01330,J00062,0
S00795,J00573,1
S03642,J00824,0
S01638,J00710,1
S00314,J00162,0
S00610,J00274,0
S03620,J00434,0
S01543,J00478,1
S03740,J00521,1
S02486,J00618,1
S01270,J00485,1
S02992,J00794,0
S03245,J00789,0
S03281,J00153,0
S00792,J00076,1
S03755,J00582,0
S03032,J00239,0
S03930,J00365,1
S02831,J00017,0
S00198,J00430,0
S00279,J00497,0
S01097,J00963,1
S01079,J00638,0
S03765,J00550,0
S02656,J00836,1
S01789,J00625,0
S00159,J00083,1
S01741,J00739,0
S02818,J00329,1
S00045,J00524,0
S00255,J00209,0
S04965,J00763,0
S01443,J00118,0
S01167,J00815,1
S00941,J00066,1
S04009,J00595,1
S02292,J00635,1
S01113,J00474,1
S01119,J00889,0
S02045,J00031,0
S03291,J00042,1
S03143,J00797,1
S03013,J00044,1
S02330,J00228,1
S04182,J00466,0
S04874,J00384,1
S01690,J00107,0
S00897,J00962,1
S00964,J00376,0
S04993,J00671,1
S00732,J00002,0
S02695,J00815,0
S02099,J00955,0
S02509,J00840,0
S00692,J00583,0
S00037,J00280,0
S02111,J00028,0
S03036,J00431,0
S01815,J00571,0
S02256,J00801,0
S04688,J00074,0
S00401,J00824,0
S04754,J00328,1
S01469,J00145,0
S03136,J00469,0
S03877,J00885,0
S04798,J00256,1
S03198,J00660,0
S01087,J00153,0
S01264,J00350,1
S02679,J00403,0
S02911,J00659,0
S04937,J00741,1
S00543,J00204,0
S02463,J00811,0
S01291,J00424,0
S04141,J00965,0
S03344,J00541,1
S04675,J00233,0
S04511,J00913,0
S03353,J00843,0
S00050,J00335,1
S02323,J00549,0
S02946,J00506,0
S01344,J00867,1
S01050,J00887,1
S01241,J00869,0
S01806,J00313,0
S01542,J00004,0
S00472,J00963,0
S02745,J00920,1
S02774,J00512,0
S04710,J00942,0
S02426,J00758,0
S01608,J00096,0
S04768,J00027,1
S03042,J00590,0
S03317,J00455,0
S04167,J00092,0
S00150,J00414,1
S04058,J00859,0
S01236,J00105,0
S01867,J00020,1
S03143,J00175,0
S02831,J00397,0
S04026,J00087,0
S04964,J00957,1
S02823,J00395,1
S02599,J00696,0
S00301,J00270,1
S00693,J00319,1
S00467,J00982,0
S01972,J00082,0
S00982,J00974,0
S01657,J00343,0
S01295,J00242,0
S02758,J00341,0
S04833,J00857,0
S01845,J00923,1
S00829,J00661,0
S02876,J00014,0
S04690,J00991,0
S01863,J00704,0
S00288,J00404,1
S04807,J00877,0
S04617,J00752,0
S03492,J00724,0
S03992,J00008,0
S03730,J00698,1
S03423,J00729,0
S04095,J00249,1
S04038,J00417,0
S03347,J00022,0
S04646,J00698,0
S04780,J00172,1
S04896,J00245,0
S02499,J00221,0
S03653,J00549,0
S03902,J00500,0
S03255,J00471,0
S04286,J00153,0
S04193,J00621,1
S04484,J00037,0
S01047,J00045,0
S04339,J00658,0
S04602,J00864,1
S02256,J00457,1
S03390,J00698,0
