job_id,required_skills,minimum_score
501,"Java,Project Management,Statistics,Python,React",54
502,"AWS,Kubernetes,C++,Git",59
503,"Communication,C++,Node.js,Project Management",79
504,"Agile,AWS",62
505,"SQL,Statistics,Communication,React",82
506,"Docker,Scrum",84
507,"SQL,NLP",86
508,"AWS,Docker,Java",65
509,"NLP,Java,SQL",88
510,"Scrum,Docker,Machine Learning,C++",54
511,"Agile,Kubernetes,SQL",63
512,"AWS,Project Management,NLP",56
513,"React,Machine Learning",62
514,"Communication,NLP,Machine Learning,Project Management,Git",56
515,"Project Management,Kubernetes,Python",87
516,"Communication,NLP,C++,Scrum,Python",66
517,"Docker,Project Management,Java,React,Git",80
518,"Kubernetes,Docker,AWS,React",67
519,"NLP,Communication,Java,Project Management",50
520,"Agile,Project Management,Scrum,Java",61
521,"Deep Learning,Kubernetes",56
522,"React,Scrum,Java,C++,Statistics",56
523,"C++,Kubernetes,Agile",69
524,"Agile,Project Management,Communication,Kubernetes",89
525,"Git,Data Analysis,React",60
526,"Statistics,Java,Scrum",89
527,"React,Agile,Project Management",88
528,"Docker,AWS,Git,Project Management,NLP",69
529,"Data Analysis,Kubernetes,React,Node.js",70
530,"Kubernetes,Deep Learning,Statistics,Scrum,Python",75
531,"Deep Learning,Node.js",58
532,"Docker,Python,C++,Agile,React",66
533,"Node.js,Python,React,Deep Learning",74
534,"Scrum,Git,C++,Agile",89
535,"Docker,Communication,Machine Learning,AWS,Agile",70
536,"Git,Project Management,SQL,Statistics,Node.js",81
537,"Docker,Statistics,SQL",56
538,"React,Docker",84
539,"NLP,Kubernetes,Communication,Project Management",58
540,"React,Deep Learning",59
541,"Git,Kubernetes,C++",85
542,"NLP,AWS",70
543,"Scrum,Agile,Kubernetes,Python",58
544,"React,Node.js",78
545,"Java,React,NLP",64
546,"Node.js,React,C++,Docker,Data Analysis",88
547,"Data Analysis,Communication",76
548,"Statistics,Project Management,SQL,Agile,NLP",82
549,"Python,Deep Learning,SQL,React",84
550,"Kubernetes,React,Machine Learning,Agile,Git",55
551,"Scrum,Java",82
552,"Git,NLP",89
