student_id,skills,experience_years,verified_score
101,"Communication,Python,Docker,AWS,Git,Machine Learning,Node.js",1,83
102,"Scrum,Machine Learning,Deep Learning,SQL,Python,Project Management,Communication",3,72
103,"Python,Scrum,C++,Deep Learning,Communication,AWS",9,57
104,"Java,Deep Learning",5,57
105,"C++,React,Communication",1,64
106,"Node.js,Git",9,56
107,"NLP,Scrum",1,99
108,"Machine Learning,Scrum,Kubernetes,Node.js,Agile",3,85
109,"SQL,AWS",4,45
110,"Communication,Statistics,Docker",7,80
111,"Java,Node.js,Scrum,C++",10,57
112,"Machine Learning,Java,AWS,Scrum,Agile,C++,Data Analysis",10,84
113,"AWS,React,SQL,Git,Deep Learning,Python",5,65
114,"Machine Learning,C++,React,Scrum",10,71
115,"NLP,Data Analysis,Docker,Scrum,Communication",8,74
116,"Git,Deep Learning,Statistics,Node.js",3,48
117,"Project Management,Machine Learning,SQL,Communication,Scrum,React",2,90
118,"Deep Learning,Machine Learning,Statistics,Agile,Kubernetes,AWS,Docker",4,75
119,"Communication,Scrum",4,89
120,"React,Communication,Kubernetes,Deep Learning,Machine Learning,AWS,Python",4,72
121,"Agile,Communication,Kubernetes",10,72
122,"C++,Data Analysis,Node.js,Java,Docker,Statistics",8,98
123,"React,Project Management",0,47
124,"Kubernetes,AWS,SQL,Scrum",9,100
125,"Machine Learning,Project Management",1,88
126,"Data Analysis,Git,Project Management,Java,Scrum,Docker",9,67
127,"Scrum,C++,Kubernetes",6,82
128,"Node.js,NLP,Agile,Scrum,SQL,Communication,Deep Learning",1,61
129,"Git,Scrum",3,77
130,"Python,Machine Learning,SQL",3,44
131,"React,Machine Learning",8,55
132,"Project Management,C++,Data Analysis,Git",3,90
133,"Deep Learning,C++,Communication,Agile,React",6,62
134,"Deep Learning,NLP,SQL,Communication,Python",6,86
135,"Communication,AWS,C++,Agile",8,68
136,"Deep Learning,Java,Docker",7,55
137,"NLP,Scrum",1,43
138,"Scrum,Python,Machine Learning,AWS,Agile,C++,Project Management",7,53
139,"SQL,Java,Statistics,Python,C++",4,99
140,"Kubernetes,Deep Learning,Project Management,Data Analysis,Communication",4,53
141,"Git,Scrum",0,87
142,"SQL,Git,Project Management,Java",0,72
143,"Java,Machine Learning",9,44
144,"AWS,Statistics,Communication,Git,Kubernetes,NLP,Python",9,45
145,"Git,Agile,React,Docker,Communication",10,85
146,"AWS,Docker,Statistics,Data Analysis",10,81
147,"NLP,React,Machine Learning,Python",7,79
148,"Communication,Machine Learning,C++,Docker,Scrum,Java",1,96
149,"Node.js,Kubernetes,Java",7,93
150,"Kubernetes,Agile,Python,Git,NLP,React",1,100
151,"Docker,Communication,Scrum",8,49
152,"Kubernetes,C++,React,Scrum",10,80
153,"Agile,Project Management,Docker,SQL",1,80
154,"Docker,SQL,Python,React,Statistics",2,80
155,"Java,NLP,Deep Learning,Python",1,44
156,"Data Analysis,Scrum,SQL,Node.js,Kubernetes,Docker,Machine Learning",6,48
157,"Kubernetes,Node.js",0,97
158,"C++,AWS,Communication,Node.js",8,96
159,"Data Analysis,AWS,Java,Agile,NLP",6,41
160,"React,Deep Learning,AWS",4,50
161,"Communication,Statistics,SQL,Project Management,Git,NLP,AWS",5,59
162,"AWS,Python,C++",6,61
163,"Machine Learning,Docker,Node.js,Statistics",10,93
164,"React,Python,Communication,Docker,Machine Learning,Kubernetes",4,42
165,"Deep Learning,Node.js",5,67
166,"Agile,Communication,Statistics,C++,Data Analysis,Python",6,40
167,"Scrum,C++,Node.js,Deep Learning,SQL,React",5,79
168,"Communication,Kubernetes,Agile,Scrum",10,66
169,"Statistics,Kubernetes,Data Analysis,C++",6,82
170,"Java,Kubernetes,Statistics,Python,Data Analysis",4,53
171,"Git,React,NLP,Agile,AWS",10,53
172,"Project Management,Java,Machine Learning,Kubernetes,Docker,React",10,79
173,"Machine Learning,AWS,Kubernetes,Scrum",3,49
174,"SQL,AWS",7,79
175,"NLP,Deep Learning",10,76
176,"Statistics,Project Management,Git",3,49
177,"Python,Communication,Deep Learning,AWS,Machine Learning,Statistics,Node.js",8,69
178,"Scrum,AWS",1,69
179,"NLP,Agile,React",7,79
180,"Agile,Deep Learning,NLP,Java,Node.js,Scrum,AWS",7,56
181,"Docker,Agile,Project Management",10,55
182,"NLP,Machine Learning,Kubernetes,AWS",4,61
183,"Scrum,Machine Learning,Data Analysis,Agile",3,64
184,"Data Analysis,C++,Machine Learning,Deep Learning,Scrum,Java,Docker",7,66
185,"C++,Deep Learning",6,97
186,"Python,Statistics,Project Management,Git,Java,Data Analysis",6,94
187,"Scrum,Git,AWS,Project Management,Communication",4,67
188,"Python,Statistics,React,Scrum,Node.js",2,93
189,"Data Analysis,Scrum,Python,Statistics,Kubernetes",9,82
190,"Machine Learning,Deep Learning",2,95
191,"Java,SQL,Docker,Statistics,Git",3,69
192,"React,Statistics,Docker,Deep Learning",4,93
193,"Project Management,Python",8,43
194,"AWS,Machine Learning,SQL,Python",3,52
195,"Data Analysis,AWS",2,70
196,"Communication,C++,NLP,Docker,Statistics,Java,Machine Learning",9,78
197,"Communication,Java,Kubernetes,Git,Agile,Python,Data Analysis",9,83
198,"Statistics,C++,Machine Learning,AWS,SQL",4,94
199,"Communication,SQL,Node.js,Deep Learning,React,Java,Scrum",8,81
200,"Python,Deep Learning,Project Management,Communication",6,63
201,"NLP,Data Analysis,Deep Learning,Java,Node.js,Docker,React",4,79
202,"Project Management,NLP,Deep Learning,Docker,Java,Agile",3,93
203,"Docker,NLP",3,88
204,"Git,Statistics,React,Python,AWS",5,51
205,"C++,Node.js,Docker,React,Data Analysis",9,84
206,"Scrum,Python,Agile,C++",1,55
207,"Deep Learning,Project Management,AWS,Scrum,React,Node.js,Agile",7,90
208,"Machine Learning,Kubernetes",3,65
209,"AWS,Kubernetes,Node.js,Project Management,Docker,NLP,Java",6,87
210,"React,Node.js,NLP,Docker,Data Analysis,Agile",3,47
211,"C++,React,Communication,Java,Agile,NLP,Node.js",7,57
212,"Git,Agile,Kubernetes,Communication,Deep Learning,Project Management,Data Analysis",3,63
213,"Kubernetes,Python,Data Analysis",4,42
214,"Scrum,Kubernetes",2,80
215,"Communication,Python,Kubernetes,Project Management,AWS",7,61
216,"SQL,Docker,Project Management",1,92
217,"Statistics,Project Management",1,76
218,"SQL,Data Analysis,Scrum,Kubernetes,Git,Communication,NLP",8,88
219,"AWS,Agile,Statistics,NLP,Project Management",7,59
220,"Deep Learning,Kubernetes,SQL,Communication,Statistics,Project Management",10,53
221,"Machine Learning,Java,AWS,Scrum",8,44
222,"Python,Deep Learning,NLP",9,70
223,"SQL,AWS,Kubernetes,Agile",7,44
224,"AWS,Docker,C++,Deep Learning,SQL,Scrum,Communication",10,49
225,"Data Analysis,Machine Learning,SQL,Java",4,78
226,"Git,Kubernetes,NLP,Communication,AWS,Node.js,Data Analysis",6,100
227,"Agile,Scrum,Project Management,NLP",1,78
228,"Deep Learning,React",9,56
229,"Machine Learning,AWS",10,93
230,"Git,Python,Docker,SQL,Statistics,NLP",2,70
231,"NLP,Docker,Java,Deep Learning,React,Project Management",7,45
232,"Node.js,Deep Learning,React,Agile,Project Management",1,94
233,"React,Deep Learning,Project Management",4,82
234,"Scrum,SQL,NLP,Machine Learning,Java",4,60
235,"Statistics,Agile",0,82
236,"NLP,Deep Learning,SQL,C++,Docker,Java",9,88
237,"NLP,SQL,C++,Docker,Project Management",2,99
238,"NLP,Project Management,Communication,Python",10,78
239,"Java,Kubernetes,Python",8,66
240,"AWS,Communication",7,100
241,"Data Analysis,Project Management",4,72
242,"Docker,Deep Learning,Project Management,Agile,Communication,AWS,Git",2,64
243,"Agile,Data Analysis,Machine Learning",4,89
244,"React,Agile,Docker,Python,Data Analysis",4,93
245,"Git,Project Management,Data Analysis,NLP,Docker,AWS",5,61
246,"Scrum,Statistics,NLP,React,Deep Learning,Communication",3,76
247,"AWS,Deep Learning,SQL,React,Node.js",7,85
248,"Statistics,Data Analysis,Project Management,SQL,Machine Learning",8,77
249,"Communication,NLP,Git,Scrum",0,86
250,"Deep Learning,Data Analysis,Machine Learning",7,90
251,"React,Statistics,Machine Learning,Git",10,94
252,"Statistics,React,Project Management,SQL,Kubernetes,Agile",3,80
253,"Kubernetes,AWS,Machine Learning,Deep Learning,SQL,Statistics,React",1,68
254,"Kubernetes,Python,SQL",5,90
255,"Kubernetes,Node.js",5,67
256,"AWS,Agile,Deep Learning",9,83
257,"Java,Git,Machine Learning",9,95
258,"AWS,Project Management,Data Analysis,Git,Scrum",10,56
259,"Docker,Python,NLP,Kubernetes,React",8,50
260,"NLP,Node.js",9,59
261,"Deep Learning,Docker,NLP,Kubernetes,Communication,C++,AWS",1,55
262,"Git,Node.js,Kubernetes,Agile,Python",10,65
263,"Python,SQL,Project Management,Kubernetes",3,78
264,"AWS,C++,Docker,Data Analysis",10,46
265,"SQL,Kubernetes,NLP,Git,Scrum,Java,Node.js",2,45
266,"React,Deep Learning,Java,C++",2,90
267,"Node.js,Agile,Scrum,Docker,Deep Learning,Machine Learning",4,98
268,"Kubernetes,React,Communication,NLP,SQL",2,88
269,"Statistics,Scrum,Node.js",1,90
270,"Python,Docker,Communication,NLP,Java",10,87
271,"Docker,Statistics,Node.js,Communication,React,Project Management,AWS",0,79
272,"React,AWS,Machine Learning,NLP,Project Management,Node.js",4,81
273,"Communication,Data Analysis,SQL,Agile,Scrum",7,47
274,"AWS,Scrum",2,64
275,"Node.js,Scrum,Deep Learning,Data Analysis,NLP",6,81
276,"Project Management,Deep Learning",4,42
277,"Node.js,C++,NLP,Agile,Communication,Deep Learning,Java",1,83
278,"Scrum,Node.js,SQL,Statistics",4,52
279,"NLP,Machine Learning",10,53
280,"Python,SQL,React,AWS,Machine Learning,Statistics,Kubernetes",3,44
281,"C++,Git,AWS,React,Statistics,Machine Learning",9,40
282,"Data Analysis,Git,Docker,Java",1,82
283,"Data Analysis,Python",5,90
284,"Git,React,Python",2,56
285,"Data Analysis,Deep Learning",8,47
286,"Machine Learning,Project Management,NLP,Node.js,Docker,Kubernetes,SQL",7,72
287,"SQL,Agile,Kubernetes",7,81
288,"SQL,Project Management",6,67
289,"Communication,Project Management,NLP,Machine Learning,Agile,SQL,Java",9,49
290,"Data Analysis,Docker",9,80
291,"Scrum,React,Statistics,Kubernetes,AWS,Docker",9,67
292,"Communication,Scrum",3,67
293,"AWS,Deep Learning,React,NLP,C++",6,86
294,"React,Deep Learning",5,82
295,"Node.js,Data Analysis,Project Management,Machine Learning",1,93
296,"Machine Learning,Deep Learning",1,87
297,"Node.js,Data Analysis,SQL,React,Project Management,Agile,C++",5,95
298,"Deep Learning,SQL,Kubernetes,Agile,Java,Scrum,Project Management",8,53
299,"Project Management,AWS,Communication",5,94
300,"Node.js,Communication,Docker,AWS,Statistics,C++",8,89
301,"Scrum,Python,Docker,Git,Machine Learning,Data Analysis",4,98
302,"Node.js,Python,Java,Data Analysis",9,82
303,"Machine Learning,Data Analysis,Python,Git,Node.js",8,53
304,"Deep Learning,NLP,React,Java,Project Management",4,86
305,"Git,Machine Learning,SQL,Data Analysis",2,88
306,"SQL,Machine Learning,Docker,NLP,React,C++",7,78
307,"Deep Learning,Docker,C++,Communication,Java",6,47
308,"Git,Project Management,Agile,Kubernetes",0,54
309,"SQL,Python,C++,Kubernetes,Communication",2,88
310,"Kubernetes,React,Communication,Python",7,87
311,"Java,Data Analysis,Statistics,AWS,Docker",8,93
312,"Node.js,Machine Learning,Statistics,SQL,C++,Python,AWS",1,95
313,"Git,Deep Learning,Statistics,Scrum",4,47
314,"Python,React,Java,NLP,Deep Learning",5,45
315,"Communication,AWS,Deep Learning,Statistics,Docker",1,65
316,"React,AWS,Git,Java",1,72
317,"Communication,Agile,Scrum,C++,NLP,Statistics,Java",5,86
318,"Data Analysis,AWS,Communication,Git,Project Management,Agile,Machine Learning",9,49
319,"Machine Learning,Java,Project Management,NLP,Statistics,Kubernetes,Agile",9,68
320,"Git,React,Scrum,Data Analysis,AWS,SQL,NLP",7,80
321,"Docker,SQL,Node.js,Machine Learning",4,69
322,"SQL,Git,Node.js,Kubernetes,Scrum",10,95
323,"Agile,Statistics",7,77
324,"SQL,NLP,C++,React,Kubernetes,AWS",8,49
325,"NLP,Communication",5,85
326,"Agile,Java",0,55
327,"NLP,Git,Agile,Java,Project Management,Scrum,Data Analysis",6,66
328,"SQL,React,Machine Learning,Scrum",1,75
329,"Statistics,Kubernetes,Docker,Data Analysis,Java,SQL,Scrum",10,49
330,"Kubernetes,Statistics,Data Analysis,Machine Learning",4,75
331,"React,Data Analysis,Agile,Machine Learning,Git",10,67
332,"Node.js,Python,Git,Kubernetes,Machine Learning,Communication",5,100
333,"C++,AWS,Data Analysis,Agile,SQL",4,94
334,"Agile,Scrum",8,42
335,"React,Data Analysis,Statistics,Scrum,Machine Learning,NLP,Node.js",9,91
336,"NLP,SQL,Deep Learning",5,83
337,"AWS,NLP,Kubernetes,Scrum,Communication,Docker,Project Management",4,91
338,"C++,Node.js,NLP,Agile,Statistics",4,89
339,"Agile,Git,Deep Learning,Java,Scrum",3,91
