student_id,verified_skills,skill_scores,experience,education
S001,"Data Engineering, Java, AWS, React, SQL, NLP, Docker, Node.js","{'Data Engineering': 64, 'Java': 60, 'AWS': 80, 'React': 85, 'SQL': 96, 'NLP': 88, 'Docker': 71, 'Node.js': 95}",0,Self-Taught
S002,"MLOps, R","{'MLOps': 54, 'R': 87}",1,Bootcamp
S003,"Deep Learning, Docker","{'Deep Learning': 50, 'Docker': 84}",4,Bachelors
S004,Java,{'Java': 90},0,PhD
S005,"C++, GCP, Statistics, Deep Learning, Data Engineering, Computer Vision","{'C++': 76, 'GCP': 83, 'Statistics': 90, 'Deep Learning': 51, 'Data Engineering': 50, 'Computer Vision': 51}",1,Self-Taught
S006,"MLOps, Kubernetes, Statistics, Deep Learning, Node.js, Java, React","{'MLOps': 69, 'Kubernetes': 56, 'Statistics': 82, 'Deep Learning': 40, 'Node.js': 97, 'Java': 91, 'React': 69}",4,Self-Taught
S007,"Machine Learning, Docker, C++","{'Machine Learning': 77, 'Docker': 59, 'C++': 80}",6,PhD
S008,"R, Computer Vision, AWS, GCP, MLOps, SQL, Deep Learning, React","{'R': 76, 'Computer Vision': 62, 'AWS': 76, 'GCP': 58, 'MLOps': 84, 'SQL': 58, 'Deep Learning': 41, 'React': 93}",6,PhD
S009,SQL,{'SQL': 98},7,PhD
S010,"C++, MLOps, Computer Vision, R","{'C++': 56, 'MLOps': 83, 'Computer Vision': 88, 'R': 86}",2,Bachelors
S011,R,{'R': 90},7,Bachelors
S012,"Statistics, Machine Learning, R, NLP, C++, Computer Vision","{'Statistics': 51, 'Machine Learning': 52, 'R': 48, 'NLP': 90, 'C++': 74, 'Computer Vision': 96}",5,Self-Taught
S013,"NLP, Data Engineering, Kubernetes, AWS, Statistics","{'NLP': 87, 'Data Engineering': 95, 'Kubernetes': 61, 'AWS': 91, 'Statistics': 47}",7,Bachelors
S014,"MLOps, AWS, C++","{'MLOps': 45, 'AWS': 90, 'C++': 65}",0,PhD
S015,"Docker, C++","{'Docker': 83, 'C++': 87}",4,Self-Taught
S016,"C++, Deep Learning, MLOps, Kubernetes, Python, R, Data Engineering","{'C++': 60, 'Deep Learning': 98, 'MLOps': 79, 'Kubernetes': 54, 'Python': 81, 'R': 44, 'Data Engineering': 80}",7,PhD
S017,"Deep Learning, Statistics, SQL, Python, React, MLOps, Kubernetes","{'Deep Learning': 46, 'Statistics': 55, 'SQL': 96, 'Python': 74, 'React': 48, 'MLOps': 64, 'Kubernetes': 69}",5,Self-Taught
S018,"Statistics, GCP, Deep Learning, React, MLOps, R, Computer Vision","{'Statistics': 100, 'GCP': 100, 'Deep Learning': 57, 'React': 42, 'MLOps': 84, 'R': 63, 'Computer Vision': 53}",7,Bootcamp
S019,"C++, Deep Learning, Node.js, Data Engineering","{'C++': 97, 'Deep Learning': 81, 'Node.js': 62, 'Data Engineering': 43}",6,PhD
S020,"Deep Learning, Docker, Machine Learning, Java","{'Deep Learning': 53, 'Docker': 81, 'Machine Learning': 80, 'Java': 78}",0,Bachelors
S021,"MLOps, Statistics, Computer Vision, SQL, GCP, AWS","{'MLOps': 75, 'Statistics': 53, 'Computer Vision': 77, 'SQL': 53, 'GCP': 92, 'AWS': 95}",3,PhD
