student_id,years_of_exposure,Python,JavaScript,React,Node.js,SQL,Docker,AWS,Machine Learning
S001,1.6,1.0,5.0,,,,1.0,,
S002,11.5,5.0,1.0,,2.0,3.0,,2.0,
S003,7.1,1.0,5.0,4.0,,,,5.0,3.0
S004,2.9,2.0,4.0,3.0,,,3.0,,
S005,3.6,3.0,5.0,,,3.0,1.0,1.0,4.0
S006,5.1,,4.0,,2.0,5.0,5.0,,5.0
S007,10.4,2.0,,4.0,4.0,4.0,,5.0,
S008,11.7,,3.0,4.0,,1.0,3.0,,
S009,10.6,,2.0,5.0,,,5.0,1.0,3.0
S010,11.6,1.0,5.0,,2.0,5.0,,5.0,4.0
S011,8.2,1.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0
S012,10.4,,,4.0,2.0,,3.0,4.0,
S013,5.8,1.0,2.0,2.0,3.0,,,,
S014,6.0,,,,,1.0,,2.0,4.0
S015,7.2,5.0,4.0,3.0,1.0,,5.0,,1.0
S016,2.0,5.0,5.0,,,5.0,3.0,3.0,4.0
S017,5.5,1.0,,,3.0,,3.0,2.0,2.0
S018,1.6,2.0,1.0,2.0,5.0,3.0,3.0,3.0,1.0
S019,5.4,4.0,4.0,1.0,,2.0,,3.0,2.0
S020,11.1,2.0,,3.0,,4.0,,2.0,
S021,10.4,3.0,4.0,2.0,1.0,,,1.0,
S022,5.1,,,2.0,2.0,3.0,,3.0,5.0
S023,4.7,4.0,3.0,5.0,5.0,1.0,1.0,5.0,2.0
S024,5.3,3.0,,4.0,,3.0,2.0,,
S025,6.4,2.0,,5.0,3.0,4.0,5.0,2.0,3.0
S026,9.5,,5.0,1.0,5.0,4.0,2.0,1.0,1.0
S027,7.5,,,,1.0,4.0,5.0,4.0,
S028,2.1,2.0,3.0,5.0,2.0,1.0,2.0,3.0,1.0
S029,11.4,3.0,4.0,,,,,4.0,5.0
S030,6.1,4.0,,4.0,5.0,,,2.0,
S031,5.4,4.0,,4.0,5.0,4.0,,1.0,
S032,9.2,4.0,4.0,1.0,5.0,,,2.0,1.0
S033,11.6,4.0,5.0,,4.0,3.0,,5.0,
S034,8.4,,,4.0,,2.0,,,
S035,10.3,5.0,3.0,3.0,,,1.0,,
S036,3.3,3.0,5.0,4.0,5.0,2.0,,1.0,4.0
S037,8.4,3.0,5.0,3.0,5.0,,1.0,4.0,2.0
S038,4.1,3.0,3.0,5.0,,5.0,4.0,3.0,2.0
S039,7.1,3.0,2.0,5.0,1.0,5.0,2.0,4.0,1.0
S040,7.5,1.0,1.0,1.0,5.0,1.0,1.0,,4.0
S041,0.5,5.0,,1.0,2.0,3.0,2.0,5.0,
S042,10.9,4.0,,3.0,5.0,2.0,,5.0,2.0
S043,1.0,4.0,4.0,5.0,,4.0,,,
S044,4.5,3.0,,2.0,4.0,2.0,4.0,4.0,4.0
S045,11.7,3.0,4.0,5.0,,,,,1.0
S046,9.7,5.0,,4.0,2.0,2.0,4.0,4.0,5.0
S047,6.4,,,,1.0,1.0,,2.0,3.0
S048,3.6,,4.0,,5.0,2.0,3.0,4.0,5.0
S049,4.8,,,4.0,,4.0,3.0,,5.0
S050,4.3,4.0,,,4.0,2.0,1.0,,5.0
S051,4.4,,,,2.0,,,,3.0
S052,10.9,,1.0,2.0,3.0,1.0,1.0,1.0,3.0
S053,7.5,4.0,,5.0,,,2.0,1.0,
S054,10.2,,1.0,4.0,5.0,4.0,5.0,4.0,4.0
S055,10.4,3.0,3.0,,,,,4.0,5.0
S056,4.1,,3.0,2.0,,,,2.0,1.0
S057,9.1,2.0,5.0,3.0,,3.0,3.0,4.0,3.0
S058,7.2,4.0,5.0,4.0,,4.0,,,3.0
S059,2.1,5.0,5.0,1.0,4.0,,3.0,,1.0
S060,10.7,5.0,,,4.0,5.0,2.0,,
S061,11.8,,,,4.0,2.0,,,1.0
S062,2.9,4.0,,5.0,1.0,,2.0,5.0,
S063,2.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,1.0
S064,6.1,2.0,1.0,,5.0,1.0,,4.0,1.0
S065,8.8,5.0,3.0,5.0,,4.0,4.0,,5.0
S066,1.3,,4.0,1.0,3.0,,,3.0,4.0
S067,5.2,5.0,,5.0,1.0,,,,
S068,0.8,4.0,,1.0,5.0,3.0,4.0,5.0,5.0
S069,5.3,,5.0,1.0,,1.0,,4.0,
S070,9.2,5.0,,,,,4.0,4.0,2.0
S071,1.1,5.0,,3.0,,,5.0,,
S072,1.3,,1.0,4.0,,4.0,,2.0,3.0
S073,0.7,5.0,,,4.0,,,4.0,4.0
S074,1.4,1.0,,5.0,1.0,3.0,,2.0,2.0
S075,2.5,,,2.0,2.0,,2.0,1.0,
S076,1.2,,3.0,1.0,3.0,5.0,,3.0,1.0
S077,11.8,1.0,5.0,,3.0,5.0,1.0,,3.0
S078,8.3,5.0,2.0,3.0,3.0,,,,
S079,8.1,4.0,,5.0,,,3.0,,
S080,4.7,,1.0,4.0,3.0,5.0,,5.0,
S081,4.4,2.0,3.0,1.0,5.0,5.0,,,
S082,11.8,,2.0,5.0,4.0,2.0,4.0,2.0,5.0
S083,2.3,2.0,,1.0,3.0,1.0,5.0,3.0,
S084,9.6,4.0,,2.0,1.0,,1.0,1.0,3.0
S085,9.4,1.0,1.0,2.0,5.0,,1.0,,
S086,3.3,5.0,1.0,,4.0,1.0,,5.0,
S087,9.5,4.0,,1.0,3.0,,,,5.0
S088,1.2,1.0,1.0,3.0,3.0,2.0,4.0,4.0,2.0
S089,5.5,5.0,5.0,1.0,2.0,1.0,3.0,,3.0
S090,5.6,,5.0,1.0,1.0,2.0,3.0,3.0,3.0
