candidate_id,job_id,baseline_score,prediction_score,is_success
168,71,28.57,40.03,1
127,106,50.0,60.14,0
249,10,40.0,36.62,1
250,27,60.0,61.34,1
297,58,33.33,47.37,0
210,86,57.14,51.59,0
297,26,75.0,78.51,1
179,34,50.0,49.21,0
153,13,0.0,8.36,0
160,103,33.33,31.33,1
178,99,50.0,62.37,1
167,46,42.86,48.98,0
163,120,42.86,52.21,1
247,100,66.67,65.88,1
139,110,0.0,9.32,0
129,119,50.0,53.34,0
55,2,50.0,44.69,0
73,102,100.0,89.74,1
42,15,57.14,56.65,0
210,95,50.0,50.5,0
241,59,66.67,65.87,1
171,41,14.29,9.24,1
177,104,40.0,48.08,1
73,44,33.33,27.84,1
72,39,40.0,51.43,1
2,112,25.0,18.62,0
101,96,33.33,28.94,1
262,40,66.67,70.13,1
219,80,33.33,26.25,0
63,95,66.67,77.83,1
24,37,33.33,47.59,1
113,90,33.33,44.5,0
227,37,66.67,62.96,1
161,62,60.0,53.93,1
155,118,0.0,0.0,0
195,113,71.43,77.39,1
83,53,50.0,63.41,1
117,79,40.0,36.67,0
8,28,57.14,63.56,1
244,84,16.67,16.6,1
237,73,20.0,34.86,0
39,31,66.67,66.57,0
57,106,50.0,48.18,1
193,25,57.14,46.6,0
102,29,40.0,41.21,0
296,61,16.67,7.63,1
65,39,60.0,63.99,0
75,51,60.0,61.37,0
99,11,40.0,45.21,1
296,25,14.29,25.28,1
56,44,66.67,53.93,1
158,63,33.33,44.06,0
29,102,0.0,0.0,0
144,72,33.33,30.46,0
210,60,80.0,65.52,1
8,33,50.0,36.54,1
110,40,33.33,47.34,0
39,18,100.0,87.3,1
150,61,33.33,35.09,1
206,116,66.67,68.34,0
238,72,33.33,47.45,1
271,1,57.14,48.7,1
240,29,20.0,21.74,0
276,5,20.0,10.51,1
33,13,75.0,88.97,0
114,79,20.0,26.03,0
207,34,50.0,51.95,1
46,17,25.0,17.63,1
12,77,33.33,39.15,1
34,115,40.0,40.12,0
140,117,50.0,63.6,0
202,84,33.33,25.92,0
216,112,25.0,39.85,0
203,86,57.14,47.92,1
122,12,0.0,0.0,0
79,116,50.0,51.4,0
1,24,0.0,0.0,0
177,9,50.0,61.91,1
9,36,33.33,34.07,1
27,27,80.0,79.01,1
63,114,40.0,35.98,0
110,3,28.57,25.56,1
201,19,66.67,79.01,1
265,93,0.0,0.0,0
131,104,40.0,40.56,1
186,90,16.67,22.91,0
79,2,66.67,73.42,1
34,43,57.14,44.57,1
179,109,20.0,23.35,0
120,95,33.33,34.2,0
142,68,20.0,26.79,0
220,45,83.33,83.29,1
97,6,20.0,9.04,0
265,5,40.0,47.75,0
282,110,20.0,34.67,0
195,88,75.0,74.19,1
186,92,0.0,10.62,0
131,95,33.33,40.74,1
74,50,0.0,0.0,0
128,41,14.29,26.39,0
52,40,66.67,72.22,1
250,3,57.14,64.65,0
144,92,60.0,66.36,0
279,56,66.67,71.12,1
128,105,33.33,40.51,1
251,106,50.0,51.8,0
14,88,75.0,70.07,1
57,14,0.0,0.0,0
267,1,42.86,37.43,1
28,46,71.43,58.63,0
8,14,66.67,65.95,1
43,119,50.0,52.33,1
51,20,50.0,40.26,1
218,110,0.0,8.44,0
34,75,25.0,21.92,0
271,10,40.0,40.74,0
89,117,25.0,18.86,1
116,81,20.0,14.45,0
229,81,80.0,83.03,1
127,69,66.67,64.16,1
163,78,42.86,30.48,1
143,37,66.67,55.54,1
236,41,71.43,63.48,0
48,14,33.33,25.73,0
66,38,66.67,64.51,0
47,35,66.67,64.55,0
252,115,40.0,26.0,1
150,62,20.0,20.91,0
117,80,66.67,60.07,1
8,15,57.14,57.69,1
286,44,66.67,70.12,1
174,44,0.0,0.0,0
286,58,66.67,81.09,1
208,115,20.0,11.2,0
14,78,57.14,61.43,0
98,50,60.0,55.05,0
206,88,75.0,65.42,1
275,59,33.33,47.14,0
248,70,28.57,22.81,0
78,62,40.0,49.1,1
128,45,16.67,3.39,0
214,108,50.0,64.06,1
211,19,0.0,7.13,0
257,80,33.33,21.34,0
99,14,0.0,0.0,0
176,3,0.0,0.0,0
57,103,33.33,19.37,0
39,66,33.33,25.1,0
127,98,28.57,27.1,0
91,87,66.67,69.45,0
73,117,50.0,44.8,1
215,47,50.0,47.36,0
246,52,33.33,48.03,0
205,91,50.0,53.97,0
173,51,60.0,49.36,1
149,77,33.33,47.64,1
41,39,100.0,100.0,1
249,111,33.33,39.1,0
189,39,20.0,20.73,0
260,51,40.0,28.29,0
117,108,33.33,44.44,1
298,10,60.0,64.11,0
50,4,42.86,41.47,1
156,21,100.0,93.05,1
110,85,16.67,6.68,0
288,118,40.0,54.82,1
7,120,28.57,40.81,0
268,98,71.43,62.66,0
161,37,66.67,52.61,1
180,57,25.0,26.48,0
262,55,42.86,31.32,1
166,23,0.0,11.17,0
216,46,42.86,40.09,1
246,25,42.86,54.72,0
204,100,33.33,43.19,0
55,72,33.33,33.22,0
121,106,25.0,39.39,0
174,106,50.0,64.61,1
74,65,28.57,40.23,1
150,79,20.0,27.71,0
143,51,60.0,46.44,0
11,14,33.33,44.02,1
63,73,40.0,40.88,0
253,11,60.0,64.06,1
93,63,66.67,78.45,1
238,19,66.67,79.75,1
209,48,66.67,65.8,1
295,61,33.33,36.55,0
4,94,40.0,51.9,0
112,73,40.0,44.94,0
191,109,20.0,5.76,0
10,64,33.33,31.34,0
117,36,33.33,18.47,0
68,80,33.33,42.92,1
154,12,75.0,87.89,1
91,71,57.14,70.17,1
244,119,33.33,39.48,0
186,75,0.0,14.5,0
255,105,33.33,39.0,0
271,11,40.0,33.89,1
140,76,42.86,42.33,1
1,108,33.33,33.79,0
196,105,66.67,68.9,1
117,71,42.86,41.52,0
117,117,25.0,23.8,0
217,87,33.33,42.47,0
253,108,33.33,32.74,0
183,54,0.0,0.0,0
288,45,33.33,18.46,1
190,20,33.33,34.86,0
131,44,66.67,63.68,1
41,25,71.43,59.42,1
207,27,40.0,54.52,0
51,113,57.14,64.66,0
124,13,50.0,46.05,1
121,16,14.29,4.77,0
167,39,60.0,51.96,1
17,19,33.33,36.49,0
296,67,16.67,16.75,1
185,27,20.0,16.72,0
119,80,0.0,0.79,0
3,36,0.0,0.0,0
300,9,66.67,79.36,1
168,99,33.33,20.58,0
242,34,25.0,16.41,0
239,54,33.33,35.26,0
201,56,66.67,60.61,0
7,79,40.0,49.29,1
62,84,50.0,38.3,0
229,104,80.0,93.03,1
182,106,50.0,49.78,1
46,100,33.33,46.27,0
221,11,40.0,54.85,0
138,23,33.33,42.41,1
15,56,66.67,63.48,1
294,72,0.0,0.0,0
185,102,33.33,33.01,0
19,62,40.0,48.8,1
4,71,42.86,51.72,0
1,37,66.67,78.86,1
171,53,0.0,10.34,0
220,3,85.71,73.79,1
237,52,33.33,32.29,0
199,5,60.0,64.15,1
135,103,100.0,88.6,1
20,48,33.33,28.78,1
274,26,50.0,40.23,0
120,16,28.57,37.05,0
20,5,60.0,45.21,1
103,43,42.86,51.98,0
87,18,66.67,65.97,0
32,74,33.33,22.41,0
78,69,33.33,24.11,0
278,84,66.67,53.01,1
282,114,0.0,10.94,0
186,20,0.0,11.02,0
291,17,50.0,37.36,0
179,104,20.0,17.97,0
69,81,40.0,25.37,1
93,100,0.0,14.9,0
87,86,42.86,46.05,1
194,28,71.43,82.72,0
172,104,60.0,63.71,0
87,54,0.0,14.8,0
153,119,16.67,29.3,0
241,37,33.33,38.66,0
88,15,71.43,66.24,1
151,25,42.86,36.43,1
114,34,25.0,26.57,1
112,12,50.0,42.37,1
269,81,40.0,29.76,1
89,60,40.0,35.68,0
287,9,33.33,44.64,0
179,60,20.0,24.86,0
83,119,83.33,80.15,1
135,65,57.14,69.17,0
231,47,50.0,55.28,0
64,25,0.0,14.05,0
68,15,28.57,42.08,1
135,36,0.0,3.08,0
234,109,20.0,25.44,0
117,48,33.33,25.23,1
25,120,14.29,28.06,0
239,89,50.0,38.27,1
149,62,40.0,39.63,0
244,7,40.0,44.12,0
24,16,42.86,51.25,1
156,113,42.86,40.33,0
2,106,25.0,32.29,0
88,118,20.0,14.14,0
120,46,14.29,19.61,0
143,64,50.0,39.28,0
299,108,33.33,33.77,1
