student_id,skill_id,proficiency
student_0,skill_96,30.0
student_0,skill_55,58.0
student_0,skill_89,94.0
student_0,skill_53,65.0
student_0,skill_48,99.0
student_0,skill_3,22.0
student_0,skill_94,23.0
student_0,skill_93,12.0
student_0,skill_4,62.0
student_0,skill_77,89.0
student_0,skill_78,22.0
student_0,skill_128,74.0
student_0,skill_31,14.0
student_0,skill_127,63.0
student_0,skill_116,68.0
student_0,skill_105,24.0
student_0,skill_134,70.0
student_0,skill_90,54.0
student_0,skill_132,69.0
student_0,skill_109,92.0
student_0,skill_85,
student_0,skill_29,57.0
student_0,skill_45,74.0
student_0,skill_58,94.0
student_0,skill_54,63.0
student_0,skill_47,10.0
student_0,skill_22,
student_0,skill_70,13.0
student_0,skill_76,57.0
student_1,skill_81,83.0
student_1,skill_85,90.0
student_1,skill_43,80.0
student_1,skill_146,51.0
student_1,skill_110,
student_1,skill_61,11.0
student_1,skill_142,85.0
student_1,skill_100,89.0
student_1,skill_49,20.0
student_1,skill_143,13.0
student_1,skill_13,26.0
student_1,skill_109,91.0
student_1,skill_32,55.0
student_1,skill_99,93.0
student_1,skill_44,48.0
student_1,skill_103,41.0
student_1,skill_149,58.0
student_1,skill_132,94.0
student_1,skill_40,20.0
student_1,skill_111,
student_1,skill_59,84.0
student_1,skill_25,24.0
student_1,skill_137,86.0
student_1,skill_64,28.0
student_1,skill_15,33.0
student_1,skill_80,73.0
student_2,skill_100,11.0
student_2,skill_25,94.0
student_2,skill_125,87.0
student_2,skill_5,25.0
student_2,skill_105,54.0
student_2,skill_18,88.0
student_2,skill_124,10.0
student_2,skill_19,42.0
student_2,skill_53,34.0
student_2,skill_107,
student_2,skill_96,75.0
student_2,skill_80,37.0
student_2,skill_115,24.0
student_2,skill_41,13.0
student_2,skill_46,38.0
student_2,skill_76,98.0
student_3,skill_70,23.0
student_3,skill_123,85.0
student_3,skill_51,36.0
student_3,skill_23,72.0
student_3,skill_89,67.0
student_3,skill_141,44.0
student_3,skill_75,89.0
student_3,skill_119,59.0
student_3,skill_126,82.0
student_3,skill_111,90.0
student_3,skill_131,67.0
student_3,skill_102,14.0
student_3,skill_49,42.0
student_3,skill_64,47.0
student_3,skill_44,92.0
student_3,skill_50,77.0
student_3,skill_71,13.0
student_3,skill_100,51.0
student_4,skill_91,39.0
student_4,skill_62,59.0
student_4,skill_18,37.0
student_4,skill_55,23.0
student_4,skill_95,87.0
student_4,skill_37,95.0
student_4,skill_80,92.0
student_4,skill_31,65.0
student_4,skill_2,50.0
student_4,skill_81,16.0
student_4,skill_84,73.0
