student_id,college_id,years_of_experience,degree
student_0,college_3,2,Bachelors
student_1,college_8,1,Masters
student_2,college_7,2,Masters
student_3,college_3,4,Bachelors
student_4,college_18,1,None
student_5,college_1,1,Bachelors
student_6,college_2,4,Masters
student_7,college_7,3,Bachelors
student_8,college_17,1,Masters
student_9,college_17,2,None
student_10,college_7,1,None
student_11,college_18,1,PhD
student_12,college_0,2,Masters
student_13,college_13,0,PhD
student_14,college_8,0,Masters
student_15,college_6,1,PhD
student_16,college_3,0,Bachelors
student_17,college_12,2,Bachelors
student_18,college_11,0,PhD
student_19,college_19,0,PhD
student_20,college_1,4,None
student_21,college_17,1,Bachelors
student_22,college_12,2,Bachelors
student_23,college_17,0,PhD
student_24,college_19,1,PhD
student_25,college_18,2,Masters
student_26,college_2,0,Bachelors
student_27,college_7,2,PhD
student_28,college_2,1,Masters
student_29,college_3,1,None
student_30,college_8,1,None
student_31,college_11,4,Masters
student_32,college_11,1,PhD
student_33,college_6,0,PhD
student_34,college_2,3,Masters
student_35,college_17,0,Masters
student_36,college_5,2,None
student_37,college_12,0,PhD
student_38,college_17,0,Masters
student_39,college_10,2,Bachelors
student_40,college_7,3,Bachelors
student_41,college_10,2,None
student_42,college_8,1,Bachelors
student_43,college_6,1,PhD
student_44,college_6,0,None
student_45,college_12,0,None
student_46,college_4,1,PhD
student_47,college_4,3,Masters
student_48,college_17,2,PhD
student_49,college_18,0,None
student_50,college_18,2,None
student_51,college_11,1,Masters
student_52,college_4,0,None
student_53,college_2,2,Bachelors
student_54,college_3,3,Masters
student_55,college_5,3,None
student_56,college_19,0,Bachelors
student_57,college_12,1,None
student_58,college_19,2,None
student_59,college_16,3,PhD
student_60,college_17,1,Bachelors
student_61,college_3,1,PhD
student_62,college_10,0,Bachelors
student_63,college_9,0,None
student_64,college_5,3,None
student_65,college_0,4,PhD
student_66,college_16,1,Masters
student_67,college_16,3,Bachelors
student_68,college_9,2,Masters
student_69,college_4,1,PhD
student_70,college_5,2,Bachelors
student_71,college_19,4,PhD
student_72,college_15,1,Bachelors
student_73,college_3,4,PhD
student_74,college_9,0,Masters
student_75,college_1,3,Masters
student_76,college_18,2,Bachelors
student_77,college_2,1,None
student_78,college_2,2,Masters
student_79,college_4,0,None
student_80,college_17,1,Masters
student_81,college_8,2,None
student_82,college_6,4,Masters
student_83,college_9,1,None
student_84,college_11,0,None
student_85,college_16,1,None
student_86,college_3,3,Masters
student_87,college_7,2,Bachelors
student_88,college_10,1,Bachelors
student_89,college_18,2,Masters
student_90,college_18,2,Masters
student_91,college_0,3,Bachelors
student_92,college_1,0,Masters
student_93,college_2,1,Bachelors
student_94,college_10,1,Bachelors
student_95,college_16,0,Masters
student_96,college_8,2,None
student_97,college_6,2,Masters
student_98,college_18,2,None
student_99,college_7,1,None
student_100,college_13,0,Masters
student_101,college_3,1,Bachelors
student_102,college_13,1,PhD
student_103,college_13,0,None
student_104,college_14,1,Bachelors
student_105,college_3,2,Bachelors
student_106,college_12,4,PhD
student_107,college_3,2,Masters
student_108,college_6,2,Masters
student_109,college_17,1,None
student_110,college_4,0,None
student_111,college_5,1,PhD
student_112,college_14,2,Masters
student_113,college_2,5,None
student_114,college_17,1,Bachelors
student_115,college_1,2,Bachelors
student_116,college_2,1,Masters
student_117,college_5,0,None
student_118,college_15,3,None
student_119,college_6,3,None
student_120,college_1,3,Masters
student_121,college_12,0,Bachelors
student_122,college_12,4,PhD
student_123,college_14,0,PhD
student_124,college_13,2,None
student_125,college_4,5,Masters
student_126,college_9,0,Masters
student_127,college_1,1,Bachelors
student_128,college_10,2,Bachelors
student_129,college_1,1,None
student_130,college_16,0,Masters
student_131,college_1,2,Bachelors
student_132,college_5,0,Bachelors
student_133,college_19,2,Bachelors
student_134,college_7,0,None
student_135,college_3,4,Masters
student_136,college_18,0,Bachelors
student_137,college_19,1,Bachelors
student_138,college_13,3,PhD
student_139,college_8,0,Masters
student_140,college_10,2,Masters
student_141,college_8,3,None
