student_id,college_id,job_id,match_score,skill_overlap_count,skill_gap_count,years_exposure_avg,jd_seniority_level,verified_skill_count,ai_trust_score
fresh_college_A_0,college_A,job_67,0.723,6,3,1.9,5,6,0.972
fresh_college_A_0,college_A,job_35,0.751,7,3,1.4,5,8,0.976
fresh_college_A_0,college_A,job_12,0.933,7,3,1.8,5,8,0.834
fresh_college_A_0,college_A,job_27,0.677,5,3,4.1,1,8,0.781
fresh_college_A_0,college_A,job_29,0.926,6,2,2.2,2,8,0.666
fresh_college_A_0,college_A,job_0,0.786,7,1,2.8,2,9,0.77
fresh_college_A_0,college_A,job_11,0.938,8,0,3.8,3,10,0.66
fresh_college_A_0,college_A,job_58,0.647,4,6,1.5,3,6,0.862
fresh_college_A_0,college_A,job_82,0.956,6,5,1.9,1,8,0.699
fresh_college_A_0,college_A,job_42,0.748,4,4,1.2,4,4,0.875
fresh_college_A_0,college_A,job_52,0.837,5,5,4.5,2,5,0.822
fresh_college_A_0,college_A,job_69,0.658,6,4,2.9,1,8,0.818
fresh_college_A_0,college_A,job_85,0.756,7,1,3.3,4,10,0.718
fresh_college_A_0,college_A,job_23,0.945,8,1,2.8,3,11,0.753
fresh_college_A_0,college_A,job_3,0.655,6,2,1.1,4,8,0.72
fresh_college_A_0,college_A,job_45,0.832,7,3,1.8,5,10,0.895
fresh_college_A_0,college_A,job_20,0.585,4,4,4.4,3,7,0.706
fresh_college_A_0,college_A,job_71,0.551,4,6,4.9,1,6,0.801
fresh_college_A_1,college_A,job_38,0.824,5,3,1.2,1,5,0.979
fresh_college_A_1,college_A,job_98,0.706,4,6,2.9,1,6,0.868
fresh_college_A_1,college_A,job_53,0.801,6,3,3.7,1,8,0.844
fresh_college_A_1,college_A,job_40,0.969,7,4,1.4,4,8,0.86
fresh_college_A_1,college_A,job_74,0.933,8,1,1.9,4,9,0.706
fresh_college_A_1,college_A,job_2,0.774,7,1,2.4,2,10,0.772
fresh_college_A_1,college_A,job_69,0.747,4,5,3.0,3,4,0.738
fresh_college_A_1,college_A,job_43,0.595,4,7,3.8,1,7,0.705
fresh_college_A_1,college_A,job_25,0.866,6,3,4.3,3,6,0.742
fresh_college_A_1,college_A,job_71,0.861,7,1,4.4,2,9,0.952
fresh_college_A_1,college_A,job_7,0.621,5,5,2.1,3,5,0.727
fresh_college_A_2,college_A,job_80,0.908,6,4,4.3,3,8,0.681
fresh_college_A_2,college_A,job_31,0.955,7,3,3.4,2,10,0.886
fresh_college_A_2,college_A,job_60,0.802,7,4,1.2,4,9,0.972
fresh_college_A_2,college_A,job_7,0.807,5,6,4.7,2,6,0.944
fresh_college_A_2,college_A,job_28,0.941,6,4,1.8,4,9,0.75
fresh_college_A_2,college_A,job_86,0.732,6,3,4.7,1,6,0.757
fresh_college_A_2,college_A,job_65,0.818,6,4,3.6,3,7,0.869
fresh_college_A_2,college_A,job_19,0.747,4,5,3.4,1,6,0.953
fresh_college_A_2,college_A,job_95,0.729,4,7,3.8,5,7,0.883
fresh_college_A_2,college_A,job_51,0.574,5,4,4.8,5,5,0.782
fresh_college_A_3,college_A,job_18,0.943,6,4,1.6,2,8,0.88
fresh_college_A_3,college_A,job_93,0.794,6,4,3.8,5,7,0.673
fresh_college_A_3,college_A,job_49,0.923,6,2,4.8,4,9,0.931
fresh_college_A_3,college_A,job_42,0.692,5,4,2.0,4,5,0.804
fresh_college_A_3,college_A,job_70,0.628,5,4,4.9,2,6,0.81
fresh_college_A_3,college_A,job_33,0.88,6,2,4.1,1,8,0.84
fresh_college_A_3,college_A,job_39,0.834,6,4,3.0,1,7,0.747
fresh_college_A_3,college_A,job_5,0.67,4,5,1.7,5,5,0.874
fresh_college_A_3,college_A,job_94,0.647,5,6,2.2,1,5,0.704
fresh_college_A_3,college_A,job_75,0.629,5,5,4.3,1,7,0.848
fresh_college_A_3,college_A,job_84,0.823,6,5,4.3,1,9,0.861
fresh_college_A_4,college_A,job_71,0.62,4,6,4.3,1,6,0.974
fresh_college_A_4,college_A,job_66,0.853,5,5,1.5,2,8,0.901
fresh_college_A_4,college_A,job_31,0.772,7,3,4.0,5,9,0.958
fresh_college_A_4,college_A,job_45,0.625,5,5,1.5,4,6,0.691
fresh_college_A_4,college_A,job_87,0.957,7,2,2.7,2,9,0.89
fresh_college_A_4,college_A,job_58,0.911,7,4,2.3,3,8,0.698
fresh_college_A_4,college_A,job_74,0.779,6,3,4.5,2,9,0.763
fresh_college_A_4,college_A,job_44,0.96,7,1,3.7,3,9,0.702
fresh_college_A_4,college_A,job_10,0.92,7,3,2.2,3,8,0.938
fresh_college_A_4,college_A,job_8,0.957,8,2,3.8,5,9,0.7
fresh_college_A_4,college_A,job_99,0.668,4,4,1.7,3,6,0.685
fresh_college_A_5,college_A,job_73,0.967,8,1,4.2,5,11,0.683
fresh_college_A_5,college_A,job_58,0.654,6,4,1.0,3,6,0.977
fresh_college_A_5,college_A,job_81,0.908,8,1,3.6,4,8,0.719
fresh_college_A_5,college_A,job_51,0.56,5,5,1.4,3,6,0.965
fresh_college_A_5,college_A,job_2,0.578,5,6,2.9,3,8,0.716
fresh_college_A_5,college_A,job_70,0.561,4,4,1.9,4,4,0.738
fresh_college_A_5,college_A,job_91,0.562,5,3,4.3,2,7,0.712
fresh_college_A_5,college_A,job_42,0.928,6,3,1.2,3,9,0.927
fresh_college_A_5,college_A,job_86,0.885,7,3,1.8,5,7,0.937
fresh_college_A_5,college_A,job_52,0.801,7,2,3.4,5,7,0.825
fresh_college_A_5,college_A,job_43,0.587,3,7,1.9,1,4,0.798
fresh_college_A_5,college_A,job_12,0.736,4,5,2.7,4,6,0.675
fresh_college_A_5,college_A,job_98,0.636,6,5,2.1,1,7,0.941
fresh_college_A_5,college_A,job_63,0.832,5,5,4.0,1,8,0.729
fresh_college_A_6,college_A,job_23,0.702,5,5,1.7,5,8,0.892
fresh_college_A_6,college_A,job_70,0.781,6,2,3.2,3,9,0.888
fresh_college_A_6,college_A,job_93,0.629,4,7,1.3,2,6,0.853
fresh_college_A_6,college_A,job_65,0.777,6,3,2.8,3,8,0.654
fresh_college_A_6,college_A,job_29,0.765,7,4,2.9,3,9,0.873
fresh_college_A_6,college_A,job_60,0.65,6,2,3.4,2,9,0.915
fresh_college_A_6,college_A,job_84,0.8,7,3,3.3,1,10,0.762
fresh_college_A_6,college_A,job_43,0.882,6,4,2.3,5,9,0.674
fresh_college_A_6,college_A,job_44,0.671,6,4,4.9,3,8,0.714
fresh_college_A_6,college_A,job_40,0.864,5,4,3.8,2,7,0.929
fresh_college_A_7,college_A,job_66,0.731,6,4,2.3,2,8,0.918
fresh_college_A_7,college_A,job_49,0.894,8,1,2.6,4,9,0.847
fresh_college_A_7,college_A,job_80,0.618,5,4,5.0,5,6,0.938
fresh_college_A_7,college_A,job_13,0.568,5,3,2.4,2,5,0.759
fresh_college_A_7,college_A,job_77,0.723,5,4,3.1,3,6,0.802
fresh_college_A_7,college_A,job_27,0.817,7,3,4.1,3,8,0.785
fresh_college_A_7,college_A,job_3,0.612,3,6,3.3,4,3,0.82
fresh_college_A_7,college_A,job_59,0.938,8,1,1.9,2,11,0.658
fresh_college_A_7,college_A,job_30,0.712,5,3,4.7,5,7,0.726
fresh_college_A_7,college_A,job_26,0.734,6,4,3.4,2,6,0.966
fresh_college_A_7,college_A,job_54,0.707,6,5,1.4,4,7,0.753
fresh_college_A_7,college_A,job_65,0.558,3,5,3.5,3,6,0.7
fresh_college_A_7,college_A,job_67,0.913,6,2,3.0,1,8,0.921
fresh_college_A_7,college_A,job_16,0.938,8,2,2.5,5,10,0.749
fresh_college_A_7,college_A,job_34,0.862,5,4,3.5,1,5,0.651
fresh_college_A_7,college_A,job_99,0.857,7,4,3.6,4,8,0.941
fresh_college_A_7,college_A,job_91,0.565,3,6,4.1,2,6,0.936
fresh_college_A_7,college_A,job_62,0.865,6,3,3.9,2,9,0.882
fresh_college_A_8,college_A,job_58,0.906,7,2,2.2,1,7,0.836
fresh_college_A_8,college_A,job_46,0.818,5,6,1.6,2,6,0.68
fresh_college_A_8,college_A,job_90,0.813,5,4,1.7,4,7,0.706
fresh_college_A_8,college_A,job_26,0.812,7,3,2.3,3,10,0.93
fresh_college_A_8,college_A,job_39,0.598,4,7,2.5,1,6,0.668
fresh_college_A_8,college_A,job_80,0.741,5,4,3.9,3,5,0.905
fresh_college_A_8,college_A,job_94,0.836,7,2,3.6,2,9,0.792
fresh_college_A_8,college_A,job_56,0.915,7,1,3.8,4,9,0.866
fresh_college_A_8,college_A,job_71,0.756,7,1,4.5,3,10,0.915
fresh_college_A_8,college_A,job_77,0.954,7,1,1.1,4,9,0.728
fresh_college_A_8,college_A,job_61,0.551,3,5,1.3,3,3,0.868
fresh_college_A_8,college_A,job_11,0.947,8,3,3.8,1,8,0.844
fresh_college_A_8,college_A,job_27,0.688,6,5,2.5,4,9,0.699
fresh_college_A_8,college_A,job_25,0.699,4,5,4.5,5,6,0.668
fresh_college_A_8,college_A,job_14,0.735,4,4,1.7,2,7,0.785
fresh_college_A_8,college_A,job_96,0.786,5,5,3.1,1,5,0.806
fresh_college_A_9,college_A,job_95,0.742,5,4,3.9,3,7,0.923
fresh_college_A_9,college_A,job_9,0.74,6,3,2.2,4,9,0.655
fresh_college_A_9,college_A,job_96,0.74,6,4,2.6,2,9,0.778
fresh_college_A_9,college_A,job_77,0.726,5,4,1.6,1,6,0.767
fresh_college_A_9,college_A,job_66,0.895,6,2,4.6,4,9,0.845
fresh_college_A_9,college_A,job_15,0.797,6,5,1.8,5,6,0.667
fresh_college_A_9,college_A,job_93,0.657,4,7,4.6,4,4,0.922
fresh_college_A_9,college_A,job_42,0.653,5,4,2.9,5,7,0.79
fresh_college_A_9,college_A,job_91,0.885,8,2,5.0,2,10,0.926
fresh_college_A_9,college_A,job_19,0.649,6,2,3.0,4,8,0.755
fresh_college_A_10,college_A,job_21,0.952,6,4,4.2,3,8,0.881
fresh_college_A_10,college_A,job_67,0.787,6,3,4.4,1,6,0.706
fresh_college_A_10,college_A,job_15,0.801,7,1,3.2,2,10,0.694
fresh_college_A_10,college_A,job_72,0.68,6,2,3.0,5,8,0.947
fresh_college_A_10,college_A,job_47,0.949,8,0,4.7,4,9,0.85
fresh_college_A_10,college_A,job_27,0.942,6,4,4.2,4,6,0.86
fresh_college_A_10,college_A,job_75,0.643,6,2,1.2,2,8,0.728
fresh_college_A_10,college_A,job_9,0.894,6,4,2.3,2,6,0.923
fresh_college_A_10,college_A,job_70,0.556,4,4,3.4,4,5,0.914
fresh_college_A_10,college_A,job_58,0.804,7,2,3.4,5,10,0.666
fresh_college_A_10,college_A,job_51,0.959,8,2,4.7,1,9,0.674
fresh_college_A_10,college_A,job_14,0.72,5,6,2.0,5,5,0.917
fresh_college_A_10,college_A,job_13,0.592,3,5,4.8,2,6,0.735
fresh_college_A_10,college_A,job_53,0.725,6,2,1.1,4,9,0.743
fresh_college_A_10,college_A,job_0,0.839,5,4,2.9,5,6,0.827
fresh_college_A_10,college_A,job_31,0.564,5,4,1.0,2,7,0.836
fresh_college_A_10,college_A,job_25,0.648,5,4,3.7,4,8,0.903
fresh_college_A_10,college_A,job_6,0.75,5,5,3.5,1,5,0.914
fresh_college_A_11,college_A,job_72,0.946,6,2,3.3,1,9,0.847
fresh_college_A_11,college_A,job_66,0.578,5,6,2.0,1,8,0.679
fresh_college_A_11,college_A,job_99,0.914,7,3,5.0,5,7,0.972
fresh_college_A_11,college_A,job_31,0.828,5,5,1.1,5,6,0.894
fresh_college_A_11,college_A,job_60,0.73,5,4,4.1,1,7,0.692
fresh_college_A_11,college_A,job_88,0.821,7,2,3.0,5,9,0.964
fresh_college_A_11,college_A,job_19,0.751,5,3,4.1,5,7,0.925
fresh_college_A_11,college_A,job_87,0.557,5,6,3.6,2,5,0.76
fresh_college_A_11,college_A,job_41,0.719,6,5,2.0,2,7,0.789
fresh_college_A_11,college_A,job_22,0.691,6,5,1.4,5,6,0.772
fresh_college_A_11,college_A,job_63,0.881,6,2,2.1,1,8,0.709
fresh_college_A_11,college_A,job_70,0.947,7,3,3.5,2,7,0.826
fresh_college_A_12,college_A,job_77,0.934,8,2,4.5,4,10,0.678
fresh_college_A_12,college_A,job_37,0.801,7,4,1.5,4,10,0.804
fresh_college_A_12,college_A,job_19,0.576,4,5,1.2,3,4,0.719
fresh_college_A_12,college_A,job_48,0.741,6,2,3.8,5,7,0.916
fresh_college_A_12,college_A,job_81,0.95,8,2,4.0,2,11,0.766
fresh_college_A_12,college_A,job_80,0.854,7,3,2.6,2,8,0.766
fresh_college_A_12,college_A,job_0,0.949,6,5,3.5,1,7,0.669
fresh_college_A_12,college_A,job_56,0.963,7,4,2.4,5,8,0.915
fresh_college_A_12,college_A,job_75,0.848,7,3,3.7,5,10,0.888
fresh_college_A_12,college_A,job_15,0.557,4,7,4.7,3,5,0.794
fresh_college_A_12,college_A,job_12,0.804,7,3,1.9,2,7,0.867
fresh_college_A_12,college_A,job_29,0.893,6,4,4.6,5,7,0.713
fresh_college_A_12,college_A,job_41,0.724,6,3,2.0,4,9,0.967
fresh_college_A_12,college_A,job_8,0.718,6,5,1.3,4,6,0.941
fresh_college_A_12,college_A,job_49,0.944,7,1,3.5,5,9,0.82
fresh_college_A_12,college_A,job_35,0.635,5,6,4.7,5,6,0.662
fresh_college_A_12,college_A,job_98,0.794,7,3,4.0,5,9,0.815
fresh_college_A_13,college_A,job_96,0.81,5,4,4.0,1,6,0.787
fresh_college_A_13,college_A,job_49,0.585,4,7,2.1,2,7,0.789
fresh_college_A_13,college_A,job_67,0.696,5,4,2.9,2,7,0.837
fresh_college_A_13,college_A,job_28,0.892,8,0,3.9,1,8,0.87
fresh_college_A_13,college_A,job_1,0.736,4,7,4.4,1,4,0.959
fresh_college_A_13,college_A,job_53,0.643,6,4,3.3,4,6,0.98
fresh_college_A_13,college_A,job_54,0.596,3,7,3.1,4,5,0.695
fresh_college_A_13,college_A,job_79,0.691,4,4,3.8,1,6,0.779
fresh_college_A_13,college_A,job_46,0.933,7,4,3.9,2,7,0.881
fresh_college_A_13,college_A,job_31,0.96,6,5,4.3,1,8,0.726
fresh_college_A_13,college_A,job_71,0.837,5,3,3.1,5,5,0.666
fresh_college_A_13,college_A,job_74,0.825,5,4,4.9,3,8,0.936
fresh_college_A_13,college_A,job_48,0.825,5,6,1.2,4,6,0.834
fresh_college_A_13,college_A,job_45,0.788,5,6,4.8,1,8,0.691
fresh_college_A_13,college_A,job_95,0.606,4,7,3.3,1,4,0.874
fresh_college_A_14,college_A,job_60,0.702,4,6,4.1,1,6,0.773
fresh_college_A_14,college_A,job_44,0.713,4,5,2.9,4,6,0.744
fresh_college_A_14,college_A,job_95,0.679,5,3,3.0,1,7,0.792
fresh_college_A_14,college_A,job_12,0.693,5,5,4.1,3,6,0.901
fresh_college_A_14,college_A,job_6,0.661,6,3,3.1,5,9,0.931
fresh_college_A_14,college_A,job_52,0.841,5,5,3.4,3,8,0.8
fresh_college_A_14,college_A,job_23,0.709,5,5,2.1,3,6,0.679
fresh_college_A_14,college_A,job_54,0.8,6,3,4.4,5,8,0.697
fresh_college_A_14,college_A,job_81,0.708,5,5,4.3,5,7,0.941
fresh_college_A_14,college_A,job_8,0.939,8,1,2.4,1,8,0.728
