student_id,college_id,seniority,college_size
fresh_college_A_0,college_A,junior,large
fresh_college_A_1,college_A,mid,large
fresh_college_A_2,college_A,senior,large
fresh_college_A_3,college_A,senior,large
fresh_college_A_4,college_A,senior,large
fresh_college_A_5,college_A,junior,large
fresh_college_A_6,college_A,junior,large
fresh_college_A_7,college_A,senior,large
fresh_college_A_8,college_A,senior,large
fresh_college_A_9,college_A,senior,large
fresh_college_A_10,college_A,mid,large
fresh_college_A_11,college_A,senior,large
fresh_college_A_12,college_A,senior,large
fresh_college_A_13,college_A,senior,large
fresh_college_A_14,college_A,mid,large
fresh_college_A_15,college_A,senior,large
fresh_college_A_16,college_A,mid,large
fresh_college_A_17,college_A,junior,large
fresh_college_A_18,college_A,junior,large
fresh_college_A_19,college_A,senior,large
fresh_college_A_20,college_A,junior,large
fresh_college_A_21,college_A,junior,large
fresh_college_A_22,college_A,mid,large
fresh_college_A_23,college_A,junior,large
fresh_college_A_24,college_A,mid,large
fresh_college_A_25,college_A,junior,large
fresh_college_A_26,college_A,senior,large
fresh_college_A_27,college_A,mid,large
fresh_college_A_28,college_A,senior,large
fresh_college_A_29,college_A,mid,large
fresh_college_A_30,college_A,junior,large
fresh_college_A_31,college_A,mid,large
fresh_college_A_32,college_A,mid,large
fresh_college_A_33,college_A,mid,large
fresh_college_A_34,college_A,mid,large
fresh_college_A_35,college_A,mid,large
fresh_college_A_36,college_A,senior,large
fresh_college_A_37,college_A,senior,large
fresh_college_A_38,college_A,senior,large
fresh_college_A_39,college_A,junior,large
fresh_college_A_40,college_A,senior,large
fresh_college_A_41,college_A,mid,large
fresh_college_A_42,college_A,junior,large
fresh_college_A_43,college_A,senior,large
fresh_college_A_44,college_A,senior,large
fresh_college_A_45,college_A,mid,large
fresh_college_A_46,college_A,mid,large
fresh_college_A_47,college_A,mid,large
fresh_college_A_48,college_A,junior,large
fresh_college_A_49,college_A,senior,large
fresh_college_A_50,college_A,senior,large
fresh_college_A_51,college_A,senior,large
fresh_college_A_52,college_A,senior,large
fresh_college_A_53,college_A,mid,large
fresh_college_A_54,college_A,junior,large
fresh_college_A_55,college_A,senior,large
fresh_college_A_56,college_A,mid,large
fresh_college_A_57,college_A,mid,large
fresh_college_A_58,college_A,mid,large
fresh_college_A_59,college_A,mid,large
fresh_college_B_0,college_B,junior,large
fresh_college_B_1,college_B,mid,large
fresh_college_B_2,college_B,senior,large
fresh_college_B_3,college_B,senior,large
fresh_college_B_4,college_B,mid,large
fresh_college_B_5,college_B,junior,large
fresh_college_B_6,college_B,mid,large
fresh_college_B_7,college_B,senior,large
fresh_college_B_8,college_B,senior,large
fresh_college_B_9,college_B,mid,large
fresh_college_B_10,college_B,mid,large
fresh_college_B_11,college_B,senior,large
fresh_college_B_12,college_B,mid,large
fresh_college_B_13,college_B,mid,large
fresh_college_B_14,college_B,senior,large
fresh_college_B_15,college_B,mid,large
fresh_college_B_16,college_B,senior,large
fresh_college_B_17,college_B,senior,large
fresh_college_B_18,college_B,junior,large
fresh_college_B_19,college_B,senior,large
fresh_college_B_20,college_B,junior,large
fresh_college_B_21,college_B,junior,large
fresh_college_B_22,college_B,junior,large
fresh_college_B_23,college_B,senior,large
fresh_college_B_24,college_B,senior,large
fresh_college_B_25,college_B,senior,large
fresh_college_B_26,college_B,junior,large
fresh_college_B_27,college_B,senior,large
fresh_college_B_28,college_B,senior,large
fresh_college_B_29,college_B,mid,large
fresh_college_B_30,college_B,mid,large
fresh_college_B_31,college_B,junior,large
fresh_college_B_32,college_B,mid,large
fresh_college_B_33,college_B,junior,large
fresh_college_B_34,college_B,junior,large
fresh_college_B_35,college_B,senior,large
fresh_college_B_36,college_B,senior,large
fresh_college_B_37,college_B,mid,large
fresh_college_B_38,college_B,senior,large
fresh_college_B_39,college_B,mid,large
fresh_college_B_40,college_B,senior,large
fresh_college_B_41,college_B,senior,large
fresh_college_B_42,college_B,mid,large
fresh_college_B_43,college_B,senior,large
fresh_college_B_44,college_B,mid,large
fresh_college_B_45,college_B,senior,large
fresh_college_B_46,college_B,mid,large
fresh_college_B_47,college_B,senior,large
fresh_college_B_48,college_B,senior,large
fresh_college_B_49,college_B,senior,large
fresh_college_B_50,college_B,senior,large
fresh_college_B_51,college_B,mid,large
fresh_college_B_52,college_B,mid,large
fresh_college_B_53,college_B,mid,large
fresh_college_B_54,college_B,junior,large
fresh_college_C_0,college_C,mid,medium
fresh_college_C_1,college_C,mid,medium
fresh_college_C_2,college_C,junior,medium
fresh_college_C_3,college_C,junior,medium
fresh_college_C_4,college_C,junior,medium
fresh_college_C_5,college_C,senior,medium
fresh_college_C_6,college_C,senior,medium
fresh_college_C_7,college_C,mid,medium
fresh_college_C_8,college_C,senior,medium
fresh_college_C_9,college_C,mid,medium
fresh_college_C_10,college_C,mid,medium
fresh_college_C_11,college_C,junior,medium
