student_id,college_id,college_tier,region,skill_score,ai_trust_score,verified_skill_count,years_exposure
S0000,Tier3_Nashik,3,urban,3.56,0.612,6,2.2
S0001,Tier2_Pune,2,rural,3.98,0.521,3,0.8
S0002,Tier3_Aurangabad,3,semi_urban,2.83,0.736,7,3.7
S0003,Tier2_Nagpur,2,urban,3.98,0.63,7,1.1
S0004,Tier1_Mumbai,1,rural,3.91,0.74,6,1.6
S0005,Tier3_Aurangabad,3,rural,2.8,0.558,7,0.5
S0006,Tier3_Nashik,3,urban,2.15,0.659,6,2.9
S0007,Tier3_Nashik,3,rural,2.9,0.768,4,2.4
S0008,Tier1_Mumbai,1,urban,3.93,0.794,7,1.7
S0009,Tier2_Pune,2,rural,2.65,0.8,7,0.4
S0010,Tier2_Pune,2,semi_urban,3.27,0.592,7,1.7
S0011,Tier3_Aurangabad,3,semi_urban,2.66,0.853,3,0.6
S0012,Tier2_Nagpur,2,urban,4.2,0.654,6,2.7
S0013,Tier3_Nashik,3,rural,3.15,0.826,2,2.1
S0014,Tier2_Pune,2,urban,3.31,0.749,6,1.6
S0015,Tier1_Delhi,1,urban,4.02,0.585,5,0.0
S0016,Tier2_Nagpur,2,urban,3.32,0.712,4,0.7
S0017,Tier1_Mumbai,1,semi_urban,3.8,0.794,8,2.1
S0018,Tier3_Nashik,3,urban,2.16,0.824,8,2.5
S0019,Tier2_Nagpur,2,rural,3.22,0.733,2,2.4
S0020,Tier3_Nashik,3,semi_urban,2.33,0.934,3,0.2
S0021,Tier2_Pune,2,urban,2.67,0.871,3,1.7
S0022,Tier3_Aurangabad,3,urban,2.96,0.719,8,2.3
S0023,Tier3_Aurangabad,3,urban,2.9,0.84,5,0.2
S0024,Tier3_Nashik,3,semi_urban,1.81,0.982,7,1.5
S0025,Tier1_Delhi,1,rural,3.84,0.985,7,1.7
S0026,Tier2_Pune,2,urban,3.8,0.603,7,1.3
S0027,Tier1_Mumbai,1,rural,4.43,0.639,2,0.0
S0028,Tier1_Delhi,1,urban,4.41,0.928,2,1.2
S0029,Tier2_Nagpur,2,rural,3.32,0.623,4,1.2
S0030,Tier3_Nashik,3,rural,2.28,0.591,4,1.4
S0031,Tier3_Aurangabad,3,semi_urban,2.16,0.692,7,1.0
S0032,Tier2_Pune,2,semi_urban,3.47,0.8,3,1.1
S0033,Tier2_Pune,2,rural,3.49,0.738,4,1.5
S0034,Tier2_Pune,2,urban,3.94,0.672,3,1.9
S0035,Tier1_Delhi,1,urban,4.45,0.669,3,1.3
S0036,Tier1_Mumbai,1,urban,3.83,0.665,3,1.2
S0037,Tier2_Pune,2,semi_urban,2.68,0.644,3,1.6
S0038,Tier1_Delhi,1,semi_urban,3.74,1.0,5,0.0
S0039,Tier2_Nagpur,2,semi_urban,3.41,0.786,4,1.9
S0040,Tier2_Pune,2,rural,3.2,0.856,5,1.5
S0041,Tier3_Nashik,3,urban,2.41,0.691,5,1.5
S0042,Tier3_Nashik,3,semi_urban,2.83,0.728,7,2.3
S0043,Tier2_Pune,2,urban,3.05,0.664,8,0.0
S0044,Tier3_Nashik,3,urban,2.39,0.432,5,0.0
S0045,Tier3_Nashik,3,semi_urban,2.86,0.585,6,1.7
S0046,Tier2_Pune,2,rural,3.1,0.533,7,1.5
S0047,Tier1_Delhi,1,semi_urban,4.02,0.48,6,1.6
S0048,Tier2_Nagpur,2,urban,3.44,0.607,2,1.1
S0049,Tier1_Mumbai,1,semi_urban,3.33,0.909,8,2.0
S0050,Tier1_Delhi,1,urban,3.66,0.745,3,2.2
S0051,Tier1_Mumbai,1,rural,4.62,0.905,4,1.9
S0052,Tier3_Nashik,3,semi_urban,2.12,0.799,6,1.3
S0053,Tier2_Nagpur,2,urban,2.24,0.844,4,0.0
S0054,Tier3_Nashik,3,urban,1.77,0.642,3,2.1
S0055,Tier3_Nashik,3,urban,2.71,0.813,8,2.5
S0056,Tier2_Pune,2,rural,3.32,0.837,2,2.0
S0057,Tier2_Nagpur,2,urban,3.24,0.681,3,0.8
S0058,Tier1_Mumbai,1,semi_urban,4.51,0.817,8,2.0
S0059,Tier1_Mumbai,1,semi_urban,2.56,0.818,7,2.2
