job_id,years_required,required_skills_json
J0_00000,2,"{""flask"": 0.77, ""cloud_security"": 0.99, ""nlp"": 0.79, ""react"": 0.94, ""jquery"": 0.84}"
J0_00001,3,"{""docker"": 0.45, ""git"": 0.83, ""ml_fundamentals"": 0.73, ""system_design"": 0.9, ""cloud_security"": 0.57, ""testing"": 0.71}"
J0_00002,2,"{""excel"": 0.46, ""jquery"": 0.77, ""react"": 0.85}"
J0_00003,1,"{""sql"": 0.61, ""react"": 0.67, ""excel"": 0.47}"
J0_00004,1,"{""communication"": 0.51, ""react"": 0.41, ""sql"": 0.6}"
J0_00005,3,"{""excel"": 0.84, ""react"": 0.86, ""cloud_security"": 0.44, ""flask"": 0.5, ""spark"": 0.63, ""data_structures"": 0.92, ""jquery"": 0.72}"
J0_00006,1,"{""excel"": 0.41, ""java"": 0.52, ""node"": 0.88, ""data_structures"": 0.6, ""flask"": 0.49}"
J0_00007,0,"{""python"": 0.57, ""communication"": 0.98, ""node"": 0.93, ""data_structures"": 0.57}"
J0_00008,1,"{""data_structures"": 0.88, ""spark"": 0.92, ""system_design"": 0.53, ""docker"": 0.43, ""ml_fundamentals"": 0.64, ""testing"": 0.91}"
J0_00009,0,"{""node"": 0.95, ""nlp"": 0.53, ""testing"": 1.0, ""python"": 0.76, ""spark"": 0.45, ""jquery"": 0.44}"
J0_00010,4,"{""testing"": 0.83, ""jquery"": 1.0, ""nlp"": 0.61, ""aws"": 0.41, ""ml_fundamentals"": 0.48, ""communication"": 0.73}"
J0_00011,0,"{""flask"": 0.96, ""cloud_security"": 0.87, ""system_design"": 0.91, ""git"": 0.64, ""python"": 0.89, ""data_structures"": 0.73, ""genai"": 0.77}"
J0_00012,2,"{""data_structures"": 0.44, ""python"": 0.68, ""react"": 0.9, ""docker"": 0.44, ""flask"": 0.41, ""sql"": 0.41}"
J0_00013,5,"{""jquery"": 0.86, ""git"": 0.93, ""excel"": 0.71, ""java"": 0.9, ""python"": 0.51}"
J0_00014,1,"{""system_design"": 0.85, ""cloud_security"": 0.55, ""testing"": 0.73, ""python"": 0.8, ""data_structures"": 0.99}"
J0_00015,3,"{""flask"": 0.71, ""git"": 0.5, ""spark"": 0.75, ""ml_fundamentals"": 0.5, ""jquery"": 0.83}"
J0_00016,1,"{""system_design"": 0.95, ""python"": 0.58, ""flask"": 0.49, ""react"": 0.83, ""testing"": 0.75}"
J0_00017,2,"{""system_design"": 0.51, ""docker"": 0.85, ""communication"": 0.49}"
J0_00018,0,"{""data_structures"": 0.63, ""excel"": 0.93, ""python"": 0.5, ""communication"": 0.62, ""cloud_security"": 0.43}"
J0_00019,0,"{""java"": 0.4, ""spark"": 0.71, ""docker"": 0.58, ""jquery"": 0.51}"
J0_00020,3,"{""kubernetes"": 0.54, ""spark"": 0.42, ""aws"": 0.58, ""jquery"": 0.94}"
J0_00021,2,"{""spark"": 0.58, ""flask"": 0.58, ""kubernetes"": 0.42, ""jquery"": 0.59}"
J0_00022,2,"{""sql"": 0.91, ""flask"": 0.98, ""git"": 0.79, ""data_structures"": 0.8, ""cloud_security"": 0.72, ""jquery"": 0.6}"
J0_00023,4,"{""python"": 0.5, ""data_structures"": 0.49, ""node"": 0.5, ""docker"": 0.8, ""communication"": 1.0}"
J0_00024,4,"{""docker"": 0.79, ""cloud_security"": 0.72, ""node"": 0.54}"
J0_00025,1,"{""node"": 0.57, ""ml_fundamentals"": 0.87, ""cloud_security"": 0.47, ""testing"": 0.57}"
J0_00026,2,"{""react"": 0.91, ""flask"": 0.86, ""testing"": 0.41, ""communication"": 0.67, ""git"": 0.77, ""nlp"": 0.68}"
J0_00027,2,"{""cloud_security"": 0.71, ""nlp"": 0.93, ""flask"": 0.47, ""kubernetes"": 0.47}"
J0_00028,0,"{""flask"": 0.91, ""spark"": 0.84, ""docker"": 0.73, ""kubernetes"": 0.83, ""jquery"": 0.81}"
J0_00029,0,"{""ml_fundamentals"": 0.92, ""communication"": 0.48, ""excel"": 0.62, ""system_design"": 0.43, ""kubernetes"": 0.42, ""spark"": 0.99}"
J0_00030,2,"{""kubernetes"": 0.57, ""data_structures"": 0.44, ""docker"": 0.81}"
J0_00031,2,"{""spark"": 0.82, ""kubernetes"": 0.99, ""react"": 0.55, ""aws"": 0.56, ""jquery"": 0.89}"
J0_00032,5,"{""system_design"": 0.5, ""node"": 0.62, ""python"": 0.91, ""communication"": 0.51, ""aws"": 0.89}"
J0_00033,0,"{""nlp"": 0.7, ""data_structures"": 0.95, ""sql"": 0.79, ""excel"": 0.93, ""communication"": 0.54, ""testing"": 0.7}"
J0_00034,0,"{""aws"": 0.6, ""nlp"": 0.64, ""react"": 0.77, ""jquery"": 0.95}"
J0_00035,3,"{""spark"": 0.98, ""flask"": 0.92, ""communication"": 0.58, ""kubernetes"": 0.81, ""jquery"": 0.68}"
J0_00036,0,"{""aws"": 0.78, ""system_design"": 0.94, ""testing"": 0.47, ""data_structures"": 0.77, ""java"": 0.91}"
J0_00037,5,"{""nlp"": 0.79, ""docker"": 0.43, ""react"": 0.6, ""cloud_security"": 0.81, ""jquery"": 0.51}"
J0_00038,2,"{""data_structures"": 0.53, ""testing"": 0.59, ""java"": 0.68, ""react"": 0.91, ""python"": 0.88}"
J0_00039,3,"{""spark"": 0.81, ""cloud_security"": 0.95, ""sql"": 0.67, ""jquery"": 0.45, ""nlp"": 0.75}"
J0_00040,3,"{""cloud_security"": 0.57, ""excel"": 0.8, ""kubernetes"": 0.49, ""jquery"": 0.47, ""nlp"": 0.48}"
