student_id,years_experience,skills_json
S0_00000,3,"{""spark"": 0.673, ""ml_fundamentals"": 0.717, ""cloud_security"": 0.592, ""nlp"": 0.852, ""excel"": 0.837}"
S0_00001,2,"{""jquery"": 0.697, ""sql"": 0.656, ""cloud_security"": 0.667, ""kubernetes"": 0.8, ""nlp"": 0.775, ""react"": 0.782, ""testing"": 0.785, ""system_design"": 1.0}"
S0_00002,4,"{""sql"": 0.544, ""flask"": 0.801, ""react"": 0.62, ""aws"": 0.755, ""data_structures"": 0.738, ""docker"": 0.753, ""nlp"": 0.851, ""excel"": 0.754}"
S0_00003,4,"{""aws"": 0.808, ""kubernetes"": 0.827, ""communication"": 0.839, ""cloud_security"": 0.668, ""git"": 0.651, ""excel"": 0.849, ""data_structures"": 0.691, ""testing"": 0.529, ""ml_fundamentals"": 0.55, ""nlp"": 0.582, ""python"": 0.795, ""system_design"": 0.741}"
S0_00004,2,"{""jquery"": 0.541, ""excel"": 0.793, ""ml_fundamentals"": 0.65, ""cloud_security"": 0.722, ""git"": 0.792, ""communication"": 0.787, ""genai"": 0.82}"
S0_00005,4,"{""testing"": 0.915, ""sql"": 0.667, ""kubernetes"": 0.831, ""node"": 0.58, ""system_design"": 0.689, ""aws"": 0.577, ""jquery"": 0.669}"
S0_00006,2,"{""cloud_security"": 0.753, ""nlp"": 0.924, ""ml_fundamentals"": 0.845, ""jquery"": 0.774, ""java"": 0.939, ""python"": 0.542, ""react"": 0.624, ""system_design"": 0.581, ""git"": 0.662, ""node"": 0.513, ""flask"": 0.815}"
S0_00007,5,"{""cloud_security"": 0.4, ""sql"": 0.76, ""ml_fundamentals"": 0.598, ""testing"": 0.658, ""kubernetes"": 0.628, ""flask"": 0.699}"
S0_00008,1,"{""docker"": 0.985, ""java"": 0.74, ""spark"": 0.867, ""flask"": 0.645, ""data_structures"": 0.542}"
S0_00009,3,"{""kubernetes"": 0.714, ""docker"": 0.622, ""ml_fundamentals"": 0.787, ""jquery"": 0.652, ""data_structures"": 0.536, ""testing"": 0.528}"
S0_00010,0,"{""aws"": 0.886, ""cloud_security"": 0.784, ""flask"": 0.95, ""node"": 0.747, ""spark"": 0.536}"
S0_00011,5,"{""react"": 0.586, ""flask"": 0.816, ""node"": 0.661, ""sql"": 0.719, ""testing"": 0.695, ""jquery"": 0.771}"
S0_00012,2,"{""docker"": 0.521, ""sql"": 0.725, ""python"": 0.647, ""system_design"": 0.671, ""node"": 0.87, ""java"": 0.801, ""git"": 0.921}"
S0_00013,8,"{""git"": 0.611, ""ml_fundamentals"": 0.622, ""kubernetes"": 0.398, ""jquery"": 0.696, ""python"": 0.561, ""spark"": 0.641, ""node"": 0.588, ""excel"": 0.706, ""java"": 0.456, ""sql"": 0.5, ""aws"": 1.0, ""flask"": 0.527, ""nlp"": 0.555, ""genai"": 0.996}"
S0_00014,1,"{""testing"": 0.637, ""spark"": 0.791, ""node"": 0.872, ""java"": 0.743, ""docker"": 0.773, ""python"": 0.728, ""sql"": 0.72, ""kubernetes"": 0.612, ""cloud_security"": 0.767, ""aws"": 0.705, ""excel"": 1.0, ""git"": 0.956, ""jquery"": 0.778}"
S0_00015,3,"{""jquery"": 0.859, ""data_structures"": 0.788, ""java"": 0.553, ""node"": 0.649, ""docker"": 0.76}"
S0_00016,5,"{""docker"": 0.979, ""sql"": 0.49, ""ml_fundamentals"": 0.85, ""node"": 0.671, ""spark"": 0.711, ""testing"": 0.562, ""git"": 0.67, ""communication"": 0.915, ""cloud_security"": 0.807, ""flask"": 0.98}"
S0_00017,6,"{""testing"": 0.731, ""nlp"": 0.896, ""system_design"": 0.833, ""spark"": 0.993, ""git"": 0.83, ""excel"": 0.484, ""kubernetes"": 0.71, ""react"": 0.544, ""flask"": 0.642}"
S0_00018,3,"{""spark"": 0.766, ""excel"": 0.731, ""sql"": 0.782, ""jquery"": 0.962, ""testing"": 0.411, ""aws"": 0.631, ""communication"": 0.809, ""git"": 0.483, ""data_structures"": 0.941}"
S0_00019,7,"{""communication"": 0.701, ""git"": 0.942, ""node"": 0.608, ""aws"": 0.597, ""flask"": 0.75, ""system_design"": 0.847, ""java"": 0.722, ""jquery"": 0.919, ""excel"": 0.849, ""data_structures"": 0.846, ""docker"": 0.803}"
S0_00020,2,"{""testing"": 0.373, ""python"": 0.728, ""ml_fundamentals"": 0.649, ""sql"": 0.789, ""docker"": 0.825, ""flask"": 0.741, ""git"": 0.834, ""spark"": 0.754, ""node"": 0.8, ""system_design"": 0.614, ""nlp"": 0.693, ""cloud_security"": 0.75, ""jquery"": 0.843}"
S0_00021,1,"{""communication"": 0.832, ""data_structures"": 0.677, ""python"": 0.75, ""sql"": 0.883, ""cloud_security"": 0.919, ""node"": 0.71, ""java"": 0.923, ""jquery"": 0.734}"
S0_00022,5,"{""flask"": 0.445, ""system_design"": 0.859, ""aws"": 0.629, ""sql"": 0.64, ""communication"": 0.56, ""python"": 0.622, ""node"": 0.784, ""testing"": 0.692, ""react"": 0.769, ""genai"": 0.774}"
S0_00023,2,"{""spark"": 0.744, ""react"": 0.881, ""ml_fundamentals"": 0.593, ""testing"": 0.77, ""aws"": 0.716, ""cloud_security"": 0.767, ""flask"": 0.595, ""git"": 0.482, ""docker"": 0.409, ""jquery"": 0.552}"
S0_00024,3,"{""docker"": 0.669, ""sql"": 0.88, ""nlp"": 0.549, ""aws"": 0.721, ""spark"": 1.0, ""java"": 0.753, ""jquery"": 0.935}"
